"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"22","CITY OF BERLIN WAUSHARA","WAUSHARA","CITY OF BERLIN",52,0,0,4,4,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","CITY OF BLACK RIVER FALLS JACKSON","JACKSON","CITY OF BLACK RIVER FALLS",1853,18,18,305,305,0,295,10,0,40,0,0,0,8,20,0,0,0,0,34,1,5,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
"24","CITY OF BLAIR TREMPEALEAU","TREMPEALEAU","CITY OF BLAIR",589,0,16,134,134,11,0,123,0,3,0,0,0,0,0,0,0,0,0,12,8,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
"25","CITY OF BLOOMER CHIPPEWA","CHIPPEWA","CITY OF BLOOMER",1940,0,7,232,232,0,190,42,0,10,0,0,0,2,5,0,0,0,0,42,1,7,1,34,34,0,0,0,0,0,0,0,0,0,0,0,0
"26","CITY OF BOSCOBEL GRANT","GRANT","CITY OF BOSCOBEL",1443,0,5,160,160,0,160,0,0,5,0,0,0,0,5,0,0,0,0,11,5,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"27","CITY OF BRILLION CALUMET","CALUMET","CITY OF BRILLION",1696,7,3,201,201,0,151,50,0,5,0,0,0,2,2,0,0,0,0,40,2,11,4,27,29,0,0,0,0,0,0,0,0,0,0,0,0
"28","CITY OF BRODHEAD GREEN","GREEN","CITY OF BRODHEAD",1529,3,14,200,200,0,200,0,0,10,0,0,0,0,0,0,0,0,0,20,5,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","CITY OF BRODHEAD ROCK","ROCK","CITY OF BRODHEAD",34,0,0,5,5,0,5,0,0,10,0,0,0,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"30","CITY OF BROOKFIELD WAUKESHA","WAUKESHA","CITY OF BROOKFIELD",27019,30,141,5461,5461,25,5436,0,0,253,0,0,0,49,84,2,0,0,2,883,309,151,26,660,684,3,0,0,0,0,3,1,0,2,2,0,0
"31","CITY OF BUFFALO CITY BUFFALO","BUFFALO","CITY OF BUFFALO CITY",622,0,5,80,80,3,0,77,0,3,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","CITY OF BURLINGTON RACINE","RACINE","CITY OF BURLINGTON",5738,9,30,784,784,0,784,0,0,10,0,0,0,0,4,0,0,0,0,142,34,28,13,96,100,1,0,0,0,0,0,0,0,0,0,0,0
"33","CITY OF BURLINGTON WALWORTH","WALWORTH","CITY OF BURLINGTON",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CITY OF CEDARBURG OZAUKEE","OZAUKEE","CITY OF CEDARBURG",7858,14,47,1432,1432,0,1432,0,0,35,0,0,0,2,20,0,0,0,0,245,31,60,2,179,179,4,0,0,0,0,1,1,0,0,0,0,0
"35","CITY OF CHETEK BARRON","BARRON","CITY OF CHETEK",1125,8,23,245,246,29,0,216,0,7,0,0,0,3,4,0,0,0,0,18,15,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
"36","CITY OF CHILTON CALUMET","CALUMET","CITY OF CHILTON",1969,1,8,292,292,0,250,42,0,5,0,0,0,1,0,0,0,0,0,29,1,2,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0
"37","CITY OF CHIPPEWA FALLS CHIPPEWA","CHIPPEWA","CITY OF CHIPPEWA FALLS",6773,9,21,937,937,3,933,1,0,24,0,0,0,1,5,0,0,0,0,180,14,26,2,152,155,1,0,0,0,0,1,0,0,1,1,0,0
"38","CITY OF CLINTONVILLE WAUPACA","WAUPACA","CITY OF CLINTONVILLE",2183,3,35,526,526,0,288,238,0,11,0,0,0,0,7,0,0,0,0,62,10,3,2,53,55,1,0,0,0,0,0,0,0,0,0,0,0
"39","CITY OF COLBY CLARK","CLARK","CITY OF COLBY",583,0,1,75,75,75,0,0,0,8,0,0,0,0,0,0,0,0,0,13,5,1,0,12,12,0,0,0,0,0,1,1,0,0,0,0,0
"40","CITY OF COLBY MARATHON","MARATHON","CITY OF COLBY",262,3,1,33,33,33,0,0,0,5,0,0,0,0,0,0,0,0,0,14,12,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"41","CITY OF COLUMBUS COLUMBIA","COLUMBIA","CITY OF COLUMBUS",3094,8,24,485,485,0,485,0,0,10,0,0,0,0,3,0,0,0,0,73,15,6,0,67,61,6,0,0,0,0,1,1,0,0,0,0,1
"42","CITY OF COLUMBUS DODGE","DODGE","CITY OF COLUMBUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","CITY OF CORNELL CHIPPEWA","CHIPPEWA","CITY OF CORNELL",733,0,10,87,87,0,38,49,0,7,0,0,0,1,3,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"44","CITY OF CRANDON FOREST","FOREST","CITY OF CRANDON",1002,0,3,96,96,70,0,26,0,3,0,0,0,2,1,0,0,0,0,28,5,2,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0
"45","CITY OF CUBA CITY GRANT","GRANT","CITY OF CUBA CITY",1007,3,1010,74,74,0,39,35,0,6,0,0,0,0,2,0,0,0,0,11,0,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"46","CITY OF CUBA CITY LAFAYETTE","LAFAYETTE","CITY OF CUBA CITY",138,1,0,9,9,0,2,7,0,6,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","CITY OF CUDAHY MILWAUKEE","MILWAUKEE","CITY OF CUDAHY",10404,11,83,2109,2109,0,1915,0,1,36,0,0,0,6,11,0,0,0,0,352,26,25,18,294,299,2,0,0,0,0,1,1,0,0,0,0,0
"48","CITY OF CUMBERLAND BARRON","BARRON","CITY OF CUMBERLAND",1196,3,2,105,103,25,0,78,0,6,0,0,0,1,3,0,0,0,0,33,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","CITY OF DARLINGTON LAFAYETTE","LAFAYETTE","CITY OF DARLINGTON",1191,0,7,229,229,0,229,0,0,15,0,0,0,0,9,0,0,0,0,53,1,1,0,51,45,6,0,0,0,0,0,0,0,0,0,0,0
"50","CITY OF DE PERE BROWN","BROWN","CITY OF DE PERE",14459,19,98,1928,1927,211,1717,0,0,54,0,0,0,21,39,0,0,0,0,382,64,116,27,234,245,1,0,0,0,0,2,2,0,0,0,0,0
"51","CITY OF DELAFIELD WAUKESHA","WAUKESHA","CITY OF DELAFIELD",4912,15,39,815,815,815,0,0,0,22,0,0,0,0,8,0,0,0,0,124,31,47,3,86,0,2,0,0,0,0,0,0,0,0,0,0,0
"52","CITY OF DELAVAN WALWORTH","WALWORTH","CITY OF DELAVAN",3872,8,30,644,644,0,644,0,0,5,0,0,0,1,3,0,0,0,0,126,0,35,0,84,89,1,0,0,0,0,1,0,0,1,1,0,0
"53","CITY OF DODGEVILLE IOWA","IOWA","CITY OF DODGEVILLE",2623,19,59,820,821,2,810,8,0,19,0,0,0,4,10,0,0,0,0,134,33,6,2,115,112,3,0,0,0,0,0,0,0,0,0,0,0
"54","CITY OF DURAND PEPIN","PEPIN","CITY OF DURAND",1012,1,4,117,117,2,0,115,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","CITY OF EAGLE RIVER VILAS","VILAS","CITY OF EAGLE RIVER",813,0,26,262,262,0,262,0,0,10,0,0,0,1,4,0,0,0,0,58,18,18,2,38,38,0,0,0,0,0,0,0,0,0,0,0,0
"56","CITY OF EAU CLAIRE CHIPPEWA","CHIPPEWA","CITY OF EAU CLAIRE",1011,2,3,109,107,5,71,32,0,39,0,0,0,9,15,0,0,0,0,12,4,3,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"57","CITY OF EAU CLAIRE EAU CLAIRE","EAU CLAIRE","CITY OF EAU CLAIRE",39135,32,388,5419,5419,4,3893,1458,0,968,0,6,15,141,397,0,0,0,0,832,218,105,35,665,678,6,0,0,0,0,5,3,0,2,2,0,0
"58","CITY OF EDGERTON DANE","DANE","CITY OF EDGERTON",59,0,0,8,8,0,8,0,0,7,0,0,0,5,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"59","CITY OF EDGERTON ROCK","ROCK","CITY OF EDGERTON",3114,4,20,416,416,0,415,0,1,7,0,0,0,5,2,0,0,0,0,63,12,12,0,47,48,1,0,0,0,0,0,0,0,0,0,0,0
"60","CITY OF ELKHORN WALWORTH","WALWORTH","CITY OF ELKHORN",5076,36,61,1209,1209,0,1209,0,0,15,0,0,1,4,3,0,0,0,0,162,36,30,14,96,142,0,0,0,0,0,1,1,0,0,0,0,0
"61","CITY OF ELROY JUNEAU","JUNEAU","CITY OF ELROY",687,0,0,106,106,12,0,94,0,7,0,0,0,3,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"62","CITY OF EVANSVILLE ROCK","ROCK","CITY OF EVANSVILLE",3015,7,16,530,530,0,530,0,0,8,0,0,0,0,1,0,0,0,0,56,9,16,1,39,39,1,0,0,0,0,0,0,0,0,0,0,0
"63","CITY OF FENNIMORE GRANT","GRANT","CITY OF FENNIMORE",1307,5,10,132,132,26,0,104,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","CITY OF FITCHBURG DANE","DANE","CITY OF FITCHBURG",14753,38,195,3143,3143,0,3143,0,0,66,0,0,0,12,54,0,0,0,0,442,138,52,0,382,280,55,0,0,0,0,2,0,0,2,2,0,0
"65","CITY OF FOND DU LAC FOND DU LAC","FOND DU LAC","CITY OF FOND DU LAC",21158,31,90,2866,2866,0,2866,0,0,211,0,0,0,42,87,1,0,1,0,732,106,65,21,617,588,57,0,0,0,0,6,4,0,2,2,0,0
"66","CITY OF FORT ATKINSON JEFFERSON","JEFFERSON","CITY OF FORT ATKINSON",6687,14,35,1015,1015,0,1015,0,0,14,0,0,2,9,3,0,0,0,0,107,9,29,0,32,35,0,0,0,0,0,0,0,0,0,0,0,0
"67","CITY OF FOUNTAIN CITY BUFFALO","BUFFALO","CITY OF FOUNTAIN CITY",524,0,0,69,69,26,0,43,0,5,0,0,0,0,2,0,0,0,0,7,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"68","CITY OF FOX LAKE DODGE","DODGE","CITY OF FOX LAKE",841,0,1,91,90,0,90,0,0,3,0,0,0,0,2,0,0,0,0,20,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"69","CITY OF FRANKLIN MILWAUKEE","MILWAUKEE","CITY OF FRANKLIN",21616,35,152,4271,4275,0,4292,0,0,257,0,0,0,44,78,0,0,0,0,557,145,97,19,434,413,21,0,0,0,0,4,3,0,1,1,0,0
"70","CITY OF GALESVILLE TREMPEALEAU","TREMPEALEAU","CITY OF GALESVILLE",841,12,6,154,154,0,60,89,0,10,0,0,0,1,9,0,0,0,0,24,17,5,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"71","CITY OF GILLETT OCONTO","OCONTO","CITY OF GILLETT",686,23,21,289,289,40,0,249,0,7,0,0,0,2,4,0,0,0,0,27,10,3,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0
"72","CITY OF GLENDALE MILWAUKEE","MILWAUKEE","CITY OF GLENDALE",9181,28,77,2468,2468,2468,0,0,0,33,0,0,0,7,17,1,2,0,0,401,130,0,11,355,218,5,0,0,0,0,0,0,0,0,0,0,0
"73","CITY OF GLENWOOD CITY ST. CROIX","ST. CROIX","CITY OF GLENWOOD CITY",662,0,2,53,53,0,53,0,0,3,0,0,0,0,3,0,0,0,0,8,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"74","CITY OF GREEN BAY BROWN","BROWN","CITY OF GREEN BAY",50484,36,441,8324,8323,0,8327,0,0,217,0,0,4,26,94,1,0,0,1,1777,190,535,128,1004,998,35,0,0,0,0,3,2,0,0,0,0,0
"75","CITY OF GREEN LAKE GREEN LAKE","GREEN LAKE","CITY OF GREEN LAKE",655,1,2,118,118,40,0,78,0,5,0,0,0,1,0,0,0,0,0,17,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","CITY OF GREENFIELD MILWAUKEE","MILWAUKEE","CITY OF GREENFIELD",21621,24,160,4542,4539,0,4540,0,0,124,0,0,0,19,55,0,0,0,0,1060,141,165,24,838,867,2,0,0,0,0,1,1,0,0,0,0,0
"77","CITY OF GREENWOOD CLARK","CLARK","CITY OF GREENWOOD",587,0,4,90,90,0,67,23,0,4,0,0,0,0,1,0,0,0,0,17,0,5,1,11,11,1,0,0,0,0,0,0,0,0,0,0,0
"78","CITY OF HARTFORD DODGE","DODGE","CITY OF HARTFORD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","CITY OF HARTFORD WASHINGTON","WASHINGTON","CITY OF HARTFORD",8045,25,68,1096,1096,0,1096,0,0,41,0,0,0,15,14,0,0,0,0,132,26,1,7,120,124,0,0,0,0,0,0,0,0,0,0,0,0
"80","CITY OF HAYWARD SAWYER","SAWYER","CITY OF HAYWARD",1153,4,17,286,286,32,0,254,0,5,0,0,0,0,0,0,0,0,0,45,6,6,6,31,31,0,0,0,0,0,0,0,0,0,0,0,0
"81","CITY OF HILLSBORO VERNON","VERNON","CITY OF HILLSBORO",754,4,3,91,91,16,0,74,0,3,0,0,0,0,0,0,0,0,0,12,5,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0
"82","CITY OF HORICON DODGE","DODGE","CITY OF HORICON",2024,2,7,236,236,0,236,0,0,8,0,0,0,1,7,0,0,0,0,24,5,5,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0
"83","CITY OF HUDSON ST. CROIX","ST. CROIX","CITY OF HUDSON",1134,11,62,1225,1224,0,1223,2,0,42,0,0,2,13,15,0,0,0,0,200,52,22,6,174,8,0,0,0,0,0,0,0,0,0,0,0,0
"84","CITY OF HURLEY IRON","IRON","CITY OF HURLEY",811,0,1,109,109,66,0,43,0,12,0,0,1,0,4,0,0,0,0,80,3,20,0,61,61,0,0,0,0,0,1,1,0,0,0,0,0
"85","CITY OF INDEPENDENCE TREMPEALEAU","TREMPEALEAU","CITY OF INDEPENDENCE",585,0,10,172,172,172,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"86","CITY OF JANESVILLE ROCK","ROCK","CITY OF JANESVILLE",34392,48,150,4770,4770,0,4767,0,10,389,0,0,12,68,102,0,0,0,0,982,143,86,63,789,802,7,0,0,0,0,6,5,0,0,0,0,1
"87","CITY OF JEFFERSON JEFFERSON","JEFFERSON","CITY OF JEFFERSON",4041,19,143,1633,1633,0,1633,0,0,32,0,0,2,2,9,1,0,1,0,121,29,15,6,86,8,2,0,0,0,0,0,0,0,0,0,0,0
"88","CITY OF JUNEAU DODGE","DODGE","CITY OF JUNEAU",1161,1,2,162,162,0,162,0,0,5,0,0,1,0,0,0,0,0,0,16,2,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0
"89","CITY OF KAUKAUNA CALUMET","CALUMET","CITY OF KAUKAUNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","CITY OF KAUKAUNA OUTAGAMIE","OUTAGAMIE","CITY OF KAUKAUNA",8366,8,18,994,994,0,993,1,0,10,0,0,0,3,5,0,0,0,0,228,14,74,0,155,156,1,0,0,0,0,1,0,0,1,1,0,0
"91","CITY OF KENOSHA KENOSHA","KENOSHA","CITY OF KENOSHA",48469,34,269,5882,5884,38,5844,0,0,946,10,32,55,223,353,0,0,0,0,1365,189,286,63,1046,1083,4,0,0,0,0,0,0,0,0,0,0,0
"92","CITY OF KEWAUNEE KEWAUNEE","KEWAUNEE","CITY OF KEWAUNEE",1614,2,36,686,686,0,303,383,0,5,1,0,0,0,2,0,0,0,0,70,15,2,3,63,67,1,0,0,0,0,0,0,0,0,0,0,0
"93","CITY OF KIEL CALUMET","CALUMET","CITY OF KIEL",160,3,0,23,23,0,22,1,0,16,0,0,0,0,3,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"94","CITY OF KIEL MANITOWOC","MANITOWOC","CITY OF KIEL",2077,7,12,434,434,0,326,108,0,16,0,0,0,0,3,0,0,0,0,45,8,7,0,38,38,0,0,0,0,0,2,2,0,0,0,0,0
"95","CITY OF LA CROSSE LA CROSSE","LA CROSSE","CITY OF LA CROSSE",31470,42,345,4390,4402,17,4373,0,8,216,0,0,0,52,90,2,0,0,2,924,121,65,53,715,750,51,0,0,0,0,6,6,0,0,0,0,0
"96","CITY OF LADYSMITH RUSK","RUSK","CITY OF LADYSMITH",1582,1,23,421,421,0,347,74,0,10,0,0,0,0,0,0,0,0,0,76,4,13,3,60,60,0,0,0,0,0,0,0,0,0,0,0,0
"97","CITY OF LAKE GENEVA WALWORTH","WALWORTH","CITY OF LAKE GENEVA",3780,18,38,553,553,0,553,0,0,15,0,0,1,1,6,0,0,0,0,155,12,37,11,99,97,3,0,0,0,0,0,0,0,0,0,0,0
"98","CITY OF LAKE MILLS JEFFERSON","JEFFERSON","CITY OF LAKE MILLS",3658,8,32,657,657,657,0,0,0,11,0,0,4,0,7,0,0,0,0,104,14,8,1,83,82,1,0,0,0,0,0,0,0,0,0,0,0
"99","CITY OF LANCASTER GRANT","GRANT","CITY OF LANCASTER",2046,2,6,166,166,0,74,90,0,5,0,0,1,0,1,0,0,0,0,37,2,20,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
"100","CITY OF LODI COLUMBIA","COLUMBIA","CITY OF LODI",1867,16,13,363,363,0,362,0,4,9,0,0,0,4,5,0,0,0,0,50,10,3,2,46,47,0,0,0,0,0,0,0,0,0,0,0,0
"101","CITY OF LOYAL CLARK","CLARK","CITY OF LOYAL",667,0,4,96,96,95,0,1,0,3,0,0,0,0,1,0,0,0,0,4,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"102","CITY OF MADISON DANE","DANE","CITY OF MADISON",176616,339,3381,38580,38580,0,38580,0,0,1868,54,67,133,437,748,28,0,5,23,4221,793,855,10,3208,3434,23,0,0,0,0,13,5,1,4,4,1,2
"103","CITY OF MANAWA WAUPACA","WAUPACA","CITY OF MANAWA",623,1,1,64,64,7,0,57,0,4,0,0,0,0,1,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"104","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",17612,19,66,2526,2526,0,2116,409,0,51,0,1,0,9,15,0,0,0,0,539,92,70,17,451,465,1,0,0,0,0,2,2,0,0,0,0,0
"105","CITY OF MARINETTE MARINETTE","MARINETTE","CITY OF MARINETTE",5275,1,26,639,637,137,0,474,0,11,0,0,0,9,2,0,0,0,0,173,16,32,12,135,2,1,0,0,0,0,0,0,0,0,0,0,0
"106","CITY OF MARION SHAWANO","SHAWANO","CITY OF MARION",5,0,0,1,1,1,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"107","CITY OF MARION WAUPACA","WAUPACA","CITY OF MARION",556,0,1,66,66,7,0,59,0,5,0,0,0,0,2,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"108","CITY OF MARKESAN GREEN LAKE","GREEN LAKE","CITY OF MARKESAN",838,0,1,100,100,28,0,72,0,6,0,0,0,1,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"109","CITY OF MARSHFIELD MARATHON","MARATHON","CITY OF MARSHFIELD",401,5,6,75,75,2,73,0,0,5,0,0,0,1,2,0,0,0,0,24,3,1,5,16,18,0,0,0,0,0,2,0,0,2,2,0,0
"110","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",9753,11,48,1766,1766,7,1759,0,12,51,0,0,5,10,20,0,0,0,0,299,52,29,12,247,253,2,0,0,0,0,0,0,0,0,0,0,0
"111","CITY OF MAUSTON JUNEAU","JUNEAU","CITY OF MAUSTON",1868,9,5,190,190,0,100,89,0,3,0,0,0,0,1,0,0,0,0,41,4,31,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0
"112","CITY OF MAYVILLE DODGE","DODGE","CITY OF MAYVILLE",2975,2,12,363,363,0,363,0,0,9,0,1,0,1,5,0,0,0,0,73,4,7,0,66,58,3,0,0,0,0,0,0,0,0,0,0,0
"113","CITY OF MEDFORD TAYLOR","TAYLOR","CITY OF MEDFORD",2230,3,7,241,241,129,0,112,0,7,0,0,0,2,1,0,0,0,0,74,3,2,24,41,4,0,0,0,0,0,0,0,0,0,0,0,0
"114","CITY OF MELLEN ASHLAND","ASHLAND","CITY OF MELLEN",353,0,1,42,42,42,0,0,0,6,0,0,0,3,0,0,0,0,0,13,2,0,0,13,7,6,0,0,0,0,0,0,0,0,0,0,0
"115","CITY OF MENASHA CALUMET","CALUMET","CITY OF MENASHA",1548,2,29,327,327,0,327,0,0,9,0,0,0,0,7,0,0,0,0,18,0,2,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0
"116","CITY OF MENASHA WINNEBAGO","WINNEBAGO","CITY OF MENASHA",7845,12,105,1836,1836,0,1836,0,0,40,0,0,0,3,27,0,0,0,0,220,27,21,14,176,181,1,0,0,0,0,1,1,0,0,0,0,0
