"","reporting_unit","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"14","CITY-OF-APPLETON-WARD-13-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",1077,0,6,128,128,0,128,0,0,9,0,0,0,0,3,0,0,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"15","CITY-OF-APPLETON-WARD-14-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",845,2,4,90,90,0,90,0,0,9,0,0,0,0,3,0,0,0,0,8,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"16","CITY-OF-APPLETON-WARD-15-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",870,0,11,152,151,0,152,0,0,10,0,0,0,0,5,0,0,0,0,22,3,0,2,15,13,2,0,0,0,0,0,0,0,0,0,0,0
"17","CITY-OF-APPLETON-WARD-16-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",721,1,8,138,138,0,138,0,0,10,0,0,0,0,5,0,0,0,0,46,0,0,1,31,31,0,0,0,0,0,0,0,0,0,0,0,0
"18","CITY-OF-APPLETON-WARD-17-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",837,1,8,156,157,0,156,0,0,10,0,0,0,0,5,0,0,0,0,18,6,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
"19","CITY-OF-APPLETON-WARD-18-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",665,2,3,113,113,0,113,0,0,9,0,0,0,0,2,0,0,0,0,21,4,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
"20","CITY-OF-APPLETON-WARD-19-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1590,5,5,196,196,0,196,0,0,9,0,0,0,2,3,0,0,0,0,15,4,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0
"21","CITY-OF-APPLETON-WARD-2-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1453,1,13,195,194,0,195,0,0,9,0,0,0,0,5,0,0,0,0,20,3,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0
"22","CITY-OF-APPLETON-WARD-20-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1019,2,5,106,106,0,106,0,0,9,0,0,0,2,3,0,0,0,0,3,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"23","CITY-OF-APPLETON-WARD-21-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",27,0,0,5,5,0,5,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","CITY-OF-APPLETON-WARD-22-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",32,0,0,1,1,0,1,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","CITY-OF-APPLETON-WARD-23-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","CITY-OF-APPLETON-WARD-24-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",517,3,4,68,69,0,68,0,0,9,0,0,0,0,3,0,0,0,0,7,3,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"27","CITY-OF-APPLETON-WARD-25-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",978,1,4,124,125,0,124,0,0,9,0,0,0,0,3,0,0,0,0,19,5,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0
"28","CITY-OF-APPLETON-WARD-26-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",1261,0,6,163,162,0,163,0,0,9,0,0,0,0,3,0,0,0,0,21,1,0,1,13,16,0,0,0,0,0,0,0,0,0,0,0,0
"29","CITY-OF-APPLETON-WARD-27-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1070,1,8,204,204,0,204,0,0,11,0,0,0,0,6,0,0,0,0,14,6,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
"30","CITY-OF-APPLETON-WARD-28-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1060,0,11,158,158,0,158,0,0,11,0,0,0,0,6,0,0,0,0,10,2,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
"31","CITY-OF-APPLETON-WARD-29-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1286,2,11,184,184,0,184,0,0,7,0,0,0,0,1,0,0,0,0,16,6,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"32","CITY-OF-APPLETON-WARD-3-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1746,2,16,311,311,0,311,0,0,10,0,0,0,2,3,0,0,0,0,23,4,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"33","CITY-OF-APPLETON-WARD-30-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1096,0,6,111,111,0,111,0,0,7,0,0,0,0,1,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"34","CITY-OF-APPLETON-WARD-31-WINNEBAGO","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",114,0,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","CITY-OF-APPLETON-WARD-32-WINNEBAGO","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",385,0,1,92,92,0,92,0,0,10,0,0,0,0,0,0,0,0,0,89,1,0,1,74,75,0,0,0,0,0,0,0,0,0,0,0,0
"36","CITY-OF-APPLETON-WARD-33-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1162,0,7,177,177,0,177,0,0,10,0,0,0,0,0,0,0,0,0,16,4,0,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0
"37","CITY-OF-APPLETON-WARD-34-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",331,0,0,53,53,0,53,0,0,10,0,0,0,0,0,0,0,0,0,5,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"38","CITY-OF-APPLETON-WARD-35-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1069,0,1,134,134,0,134,0,0,9,0,0,0,0,3,0,0,0,0,14,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"39","CITY-OF-APPLETON-WARD-36-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1423,0,6,185,185,0,185,0,0,9,0,0,0,0,3,0,0,0,0,23,3,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"40","CITY-OF-APPLETON-WARD-37-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",856,1,6,111,111,0,111,0,0,11,0,0,0,0,5,0,0,0,0,20,2,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"41","CITY-OF-APPLETON-WARD-38-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1350,2,13,175,175,0,175,0,0,11,0,0,0,0,5,0,0,0,0,23,7,0,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0
"42","CITY-OF-APPLETON-WARD-39-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",657,3,6,69,69,0,69,0,0,11,0,0,0,0,5,0,0,0,0,11,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"43","CITY-OF-APPLETON-WARD-4-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",895,1,3,115,116,0,115,0,0,10,0,0,0,2,3,0,0,0,0,23,3,0,0,20,22,1,0,0,0,0,1,0,0,0,0,0,0
"44","CITY-OF-APPLETON-WARD-40-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",18,0,0,5,3,0,5,0,0,11,0,0,0,0,5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"45","CITY-OF-APPLETON-WARD-41-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",130,0,2,11,13,0,13,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","CITY-OF-APPLETON-WARD-42-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",912,0,2,173,173,0,173,0,0,12,0,0,0,2,3,0,0,0,0,19,4,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0
"47","CITY-OF-APPLETON-WARD-43-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",862,0,3,138,138,0,138,0,0,12,0,0,0,0,2,0,0,0,0,15,6,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
"48","CITY-OF-APPLETON-WARD-44-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",1217,0,3,140,141,0,140,0,0,9,0,0,0,0,2,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"49","CITY-OF-APPLETON-WARD-45-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",1404,0,6,212,212,0,212,0,0,9,0,0,0,0,2,0,0,0,0,20,5,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0
"50","CITY-OF-APPLETON-WARD-46-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",108,0,0,8,8,0,8,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","CITY-OF-APPLETON-WARD-47-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","CITY-OF-APPLETON-WARD-48-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",183,0,1,11,11,0,11,0,0,7,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"53","CITY-OF-APPLETON-WARD-49-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",105,0,2,11,11,0,11,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CITY-OF-APPLETON-WARD-5-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",3,0,0,0,0,0,0,0,0,10,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","CITY-OF-APPLETON-WARD-50-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",155,0,0,21,21,0,21,0,0,10,0,0,0,0,5,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"56","CITY-OF-APPLETON-WARD-51-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",925,1,10,202,202,0,202,0,0,12,0,0,0,2,3,0,0,0,0,24,4,0,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"57","CITY-OF-APPLETON-WARD-52-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",104,0,2,22,22,0,22,0,0,12,0,0,0,2,3,0,0,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"58","CITY-OF-APPLETON-WARD-53-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",21,4,1,9,9,0,9,0,0,10,0,0,0,2,3,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"59","CITY-OF-APPLETON-WARD-54-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1014,1,10,161,161,0,161,0,0,8,0,0,0,2,4,0,0,0,0,22,4,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"60","CITY-OF-APPLETON-WARD-55-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",494,0,9,63,63,0,63,0,0,11,0,0,0,0,6,0,0,0,0,8,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"61","CITY-OF-APPLETON-WARD-56-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","CITY-OF-APPLETON-WARD-57-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","CITY-OF-APPLETON-WARD-58-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","CITY-OF-APPLETON-WARD-59-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","CITY-OF-APPLETON-WARD-6-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",590,1,1,83,83,0,83,0,0,8,0,0,0,2,4,0,0,0,0,6,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"66","CITY-OF-APPLETON-WARD-7-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1201,0,8,173,173,0,173,0,0,8,0,0,0,2,4,0,0,0,0,12,4,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
"67","CITY-OF-APPLETON-WARD-8-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",1373,0,37,117,117,0,117,0,0,10,0,0,0,0,4,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"68","CITY-OF-APPLETON-WARD-9-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",975,0,1,113,113,0,113,0,0,10,0,0,0,0,4,0,0,0,0,11,1,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"69","CITY-OF-ARCADIA-WARD-1-3-TREMPEALEAU","CITY OF ARCADIA TREMPEALEAU","TREMPEALEAU","CITY OF ARCADIA",1040,0,1,82,82,45,0,37,0,3,0,0,0,1,2,0,0,0,0,20,1,11,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"70","CITY-OF-ASHLAND-WARD-1-4-5-ASHLAND","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",1451,3,17,256,255,0,255,0,0,7,0,0,0,0,1,0,0,0,0,34,4,7,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
"71","CITY-OF-ASHLAND-WARD-12-BAYFIELD","CITY OF ASHLAND BAYFIELD","BAYFIELD","CITY OF ASHLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","CITY-OF-ASHLAND-WARD-2-3-6-7-ASHLAND","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",1599,2,28,214,214,0,214,0,0,5,0,0,0,0,2,0,0,0,0,57,3,24,1,32,31,1,0,0,0,0,0,0,0,0,0,0,0
"73","CITY-OF-ASHLAND-WARD-8-11-ASHLAND","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",1549,2,10,197,197,1,196,0,0,5,0,0,0,0,1,0,0,0,0,37,7,11,3,25,26,0,0,0,0,0,0,0,0,0,0,0,0
"74","CITY-OF-AUGUSTA-WARD-1-5-EAU-CLAIRE","CITY OF AUGUSTA EAU CLAIRE","EAU CLAIRE","CITY OF AUGUSTA",707,0,0,82,82,2,36,44,0,3,0,0,0,2,0,0,0,0,0,9,0,1,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
"75","CITY-OF-BARABOO-WARD-1-14-SAUK","CITY OF BARABOO SAUK","SAUK","CITY OF BARABOO",6360,12,52,1245,1243,0,1245,0,0,44,0,0,0,6,23,2,0,1,1,373,20,58,12,289,290,2,0,0,0,0,1,1,0,0,0,0,0
"76","CITY-OF-BARRON-WARD-1-7-BARRON","CITY OF BARRON BARRON","BARRON","CITY OF BARRON",1520,2,5,181,181,0,47,134,0,14,0,2,0,0,4,0,0,0,0,65,1,31,0,35,32,3,0,0,0,0,0,0,0,0,0,0,0
"77","CITY-OF-BAYFIELD-WARD-1-4-BAYFIELD","CITY OF BAYFIELD BAYFIELD","BAYFIELD","CITY OF BAYFIELD",393,0,7,189,189,0,189,0,0,7,0,0,0,3,2,1,0,0,1,30,12,0,0,28,30,0,0,0,0,0,0,0,0,0,0,0,0
"78","CITY-OF-BEAVER-DAM-WARD-1-3-5-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",1726,1,9,227,227,0,227,0,0,7,0,0,0,1,4,0,0,0,0,31,3,4,2,25,26,0,0,0,0,0,0,0,0,0,0,0,0
"79","CITY-OF-BEAVER-DAM-WARD-2-6-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",1217,0,7,147,147,0,147,0,0,5,0,0,0,1,1,0,0,0,0,28,11,7,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0
"80","CITY-OF-BEAVER-DAM-WARD-4-10-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",939,2,6,115,115,0,115,0,0,5,0,0,1,1,0,0,0,0,0,15,2,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
"81","CITY-OF-BEAVER-DAM-WARD-7-12-13-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",1633,1,7,162,162,0,162,0,0,8,0,0,0,1,1,0,0,0,0,29,5,8,1,19,19,0,0,0,0,0,1,1,0,0,0,0,0
"82","CITY-OF-BEAVER-DAM-WARD-8-14-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",1018,3,6,133,133,0,133,0,0,7,0,0,1,0,3,0,0,0,0,10,3,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"83","CITY-OF-BEAVER-DAM-WARD-9-11-DODGE","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",1520,4,4,214,214,0,214,0,0,6,0,0,0,2,0,0,0,0,0,30,4,5,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0
"84","CITY-OF-BELOIT-WARD-1-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",427,0,1,32,32,0,32,0,0,3,0,0,0,0,2,0,0,0,0,5,3,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0
"85","CITY-OF-BELOIT-WARD-10-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",694,1,0,43,43,0,43,0,0,3,0,0,0,0,2,0,0,0,0,7,1,2,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0
"86","CITY-OF-BELOIT-WARD-11-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",774,1,4,87,87,0,87,0,0,3,0,0,0,0,2,0,1,0,1,23,2,4,0,17,19,2,0,0,0,0,0,0,0,0,0,0,0
"87","CITY-OF-BELOIT-WARD-12-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",320,0,0,16,16,0,16,0,0,3,0,0,0,1,1,0,0,0,0,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"88","CITY-OF-BELOIT-WARD-13-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",490,0,0,23,23,0,23,0,0,5,0,0,1,1,2,0,0,0,0,5,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"89","CITY-OF-BELOIT-WARD-14-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",706,0,0,24,24,0,24,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"90","CITY-OF-BELOIT-WARD-15-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",653,1,1,48,48,0,48,0,0,3,0,0,0,0,2,0,0,0,0,20,1,6,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"91","CITY-OF-BELOIT-WARD-16-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",1245,0,4,51,51,0,51,0,0,3,0,0,0,1,1,0,0,0,0,18,3,1,0,15,16,2,0,0,0,0,0,0,0,0,0,0,0
"92","CITY-OF-BELOIT-WARD-17-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",896,0,1,110,110,0,110,0,0,3,0,0,0,1,1,0,0,0,0,15,7,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"93","CITY-OF-BELOIT-WARD-18-ROCK","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",688,1,0,53,53,0,53,0,0,3,0,0,0,1,1,0,0,0,0,8,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
