"","X","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","obama","romney","undecided","other","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","romney.defs","obama.defs","other.defs"
"53",53,"--","AP-GfK","2012-10-19","2012-10-23","2012-10-25T10:14:51Z",839,"Likely Voters","Live Phone",45,47,8,NA,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-16135","http://ap-gfkpoll.com/main/wp-content/uploads/2012/10/AP-GfK-Poll-October-2012-Topline_POLITICS.pdf","Nonpartisan","None",NA,1,0,92,51.0869565217391,48.9130434782609,NA
"54",54,"--","PPP (D-Americans United for Change)","2012-10-20","2012-10-22","2012-10-23T11:16:02Z",1200,"Likely Voters","Automated Phone",47,49,4,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16072","http://www.publicpolicypolling.com/pdf/2011/102010211022TrackingPoll.pdf","Sponsor","Dem",NA,1,0,96,51.0416666666667,48.9583333333333,NA
"55",55,"--","YouGov/Economist","2012-10-20","2012-10-22","2012-10-23T10:27:03Z",803,"Likely Voters","Internet",48,46,2,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16066","http://cdn.yougov.com/cumulus_uploads/document/75qcgwj577/econToplines.pdf","Nonpartisan","None",NA,1,0,94,48.936170212766,51.063829787234,NA
"56",56,"--","Rasmussen","2012-10-19","2012-10-21","2012-10-22T09:58:53Z",1500,"Likely Voters","Automated Phone",47,49,2,2,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16016","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,2,98,50,47.9591836734694,2.04081632653061
"57",57,"--","DailyKos/SEIU/PPP (D)","2012-10-18","2012-10-21","2012-10-23T12:25:24Z",1300,"Likely Voters","Automated Phone",48,48,4,NA,"http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16074","http://www.dailykos.com/weeklypolling/2012/10/18","Sponsor","Dem",NA,1,0,96,50,50,NA
"58",58,"--","ARG","2012-10-18","2012-10-21","2012-10-22T12:59:26Z",1200,"Likely Voters","Live Phone",47,49,3,1,"http://elections.huffingtonpost.com/pollster/polls/arg-16025","http://americanresearchgroup.com/pres2012/NA12.html","Nonpartisan","None",NA,1,1,97,50.5154639175258,48.4536082474227,1.03092783505155
"59",59,"--","Democracy Corps (D)","2012-10-18","2012-10-21","2012-10-22T12:40:46Z",1000,"Likely Voters","Live Phone",49,46,3,2,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16024","http://www.democracycorps.com/attachments/article/918/dcor.ecn.fq.102112.pol.v2.pdf","Pollster","Dem",NA,1,2,97,47.4226804123711,50.5154639175258,2.06185567010309
"60",60,"--","Monmouth","2012-10-18","2012-10-21","2012-10-22T12:39:44Z",1402,"Likely Voters","IVR/Live Phone",45,48,5,3,"http://elections.huffingtonpost.com/pollster/polls/monmouth-16023","http://www.monmouth.edu/assets/0/84/159/2147483694/0e2e970e-a544-4f4d-8659-6233705b8ae7.pdf","Nonpartisan","None",NA,1,3,96,50,46.875,3.125
"61",61,"--","IBD/TIPP","2012-10-16","2012-10-21","2012-10-22T14:07:47Z",885,"Likely Voters","Live Phone",47,43,7,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16038","http://news.investors.com/special-report/508415-ibdtipp-poll.aspx","Nonpartisan","None",NA,1,0,90,47.7777777777778,52.2222222222222,NA
"62",62,"--","Gallup","2012-10-15","2012-10-21","2012-10-22T13:01:44Z",2700,"Likely Voters","Live Phone",45,51,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gallup-16026","http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx","Nonpartisan","None",NA,1,0,96,53.125,46.875,NA
"63",63,"--","Washington Times/JZ Analytics","2012-10-18","2012-10-20","2012-10-22T06:31:31Z",800,"Likely Voters","Live Phone",50,47,3,NA,"http://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-16013","http://www.washingtontimes.com/news/2012/oct/21/obama-leads-in-latest-poll-as-romneyloses-bounce/","Nonpartisan","None",NA,1,0,97,48.4536082474227,51.5463917525773,NA
"64",64,"--","CBS","2012-10-17","2012-10-20","2012-10-22T23:10:38Z",790,"Likely Voters","Live Phone",48,46,5,1,"http://elections.huffingtonpost.com/pollster/polls/cbs-16057","http://www.cbsnews.com/8301-250_162-57537588/poll-ahead-of-third-debate-obama-leads-on-foreign-policy/?pageNum=2&tag=page","Nonpartisan","None",NA,1,1,95,48.4210526315789,50.5263157894737,1.05263157894737
"65",65,"--","NBC/WSJ","2012-10-17","2012-10-20","2012-10-21T10:08:51Z",816,"Likely Voters","Live Phone",47,47,4,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16000","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/nbc_oct_poll.pdf","Nonpartisan","None",NA,1,3,97,48.4536082474227,48.4536082474227,3.09278350515464
"66",66,"--","Ipsos/Reuters (Web)","2012-10-16","2012-10-20","2012-10-21T08:42:23Z",1368,"Likely Voters","Internet",46,45,6,2,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15996","http://big.assets.huffingtonpost.com/Ipsos102012.pdf","Nonpartisan","None",NA,1,2,93,48.3870967741936,49.4623655913978,2.1505376344086
"67",67,"--","PPP (D-Americans United for Change)","2012-10-17","2012-10-19","2012-10-20T08:55:15Z",1200,"Likely Voters","Automated Phone",49,47,4,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-15976","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_1019Evening.pdf","Sponsor","Dem",NA,1,0,96,48.9583333333333,51.0416666666667,NA
"68",68,"--","Gravis Marketing","2012-10-18","2012-10-18","2012-10-19T15:46:03Z",805,"Likely Voters","Automated Phone",44,46,10,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-15965","http://www.gravispolls.com/2012/10/national-presidential-pollromney-46.html","Nonpartisan","None",NA,1,0,90,51.1111111111111,48.8888888888889,NA
"69",69,"--","Rasmussen","2012-10-16","2012-10-18","2012-10-19T10:14:58Z",1500,"Likely Voters","Automated Phone",48,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-15944","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,0,96,50,50,NA
"70",70,"--","Politico/GWU/Battleground","2012-10-14","2012-10-18","2012-10-22T06:21:29Z",1000,"Likely Voters","Live Phone",47,49,4,NA,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16012","http://images.politico.com/global/2012/10/politico_gwbgp_oct22_questionnaire.html","Nonpartisan","None",NA,1,0,96,51.0416666666667,48.9583333333333,NA
"71",71,"--","UPI/CVOTER","2012-10-11","2012-10-18","2012-10-20T12:58:20Z",1254,"Likely Voters","Live Phone",46,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15987","http://www.upi.com/Top_News/US/2012/10/20/UPI-Poll-Obama-cuts-into-Romney-lead/UPI-19991350739458/","Nonpartisan","None",NA,1,0,94,51.063829787234,48.936170212766,NA
"72",72,"--","UConn/Hartford Courant","2012-10-11","2012-10-16","2012-10-19T12:23:25Z",1023,"Likely Voters","Live Phone",48,45,6,1,"http://elections.huffingtonpost.com/pollster/polls/uconn-hartford-courant-15952","http://articles.courant.com/2012-10-19/news/hc-president-poll-uconn-courant-20121018_1_hartford-courant-poll-gender-gap-new-hampshire-survey-center","Nonpartisan","None",NA,1,1,94,47.8723404255319,51.063829787234,1.06382978723404
"73",73,"--","YouGov/Economist","2012-10-13","2012-10-15","2012-10-17T11:40:18Z",826,"Likely Voters","Internet",47,46,3,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15873","http://today.yougov.com/news/2012/10/17/likely-voters-give-president-one-point-edge/","Nonpartisan","None",NA,1,0,93,49.4623655913978,50.5376344086022,NA
"74",74,"--","Rasmussen","2012-10-13","2012-10-15","2012-10-16T10:13:05Z",1500,"Likely Voters","Automated Phone",47,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-15817","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,0,96,51.0416666666667,48.9583333333333,NA
"75",75,"--","Ipsos/Reuters (Web)","2012-10-11","2012-10-15","2012-10-15T15:27:24Z",1864,"Likely Voters","Internet",47,45,7,3,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15806","http://big.assets.huffingtonpost.com/ipsos101512.pdf","Nonpartisan","None",NA,1,3,95,47.3684210526316,49.4736842105263,3.15789473684211
"76",76,"--","IBD/TIPP","2012-10-10","2012-10-15","2012-10-16T14:39:56Z",931,"Likely Voters","Live Phone",47,46,5,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-15832","http://news.investors.com/special-report/508415-ibdtipp-poll.aspx#ixzz29UJMj9LB","Nonpartisan","None",NA,1,0,93,49.4623655913978,50.5376344086022,NA
