HINDI,County,Municipality,Reporting Unit,Registrants,Late Registrants,Election Day Registrants,Total Ballots,Total Voters,Paper Ballots,Optical Scan Ballots,DRE,Ballot Marking Device,Ballots Counted At,Total Election Inspectors,Split Shifts?,Difficulty Obtaining?,16-17,18-25,26-40,41-60,61-70,71+,Polling Place Name,Shared?,Provisional - Identification,Provisional - No DL,Counted,Rejected,Absentee Issued,Absentee In-Person,Absentee Not Returned,Absentee Undeliverable,Received by Election Day?,Counted?,Rejected2,Late (Received after the election),FWAB Received,FWAB Counted,FWAB Rejected,FWAB Late,Military Issued,Military Sent but not returned?,Military Undeliverable,Military Received by Election Day?,Military Counted,Military Rejected,Military Late,Overseas Issued,Overseas Sent but not returned?,Overseas Undeliverable,Overseas Received by Election Day?,Overseas Counted,Overseas Rejected,Overseas Late
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 9,352,10,46,288,288,288,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,0,5,BRETTING CENTER,Yes,1,1,0,1,50,41,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 11,470,10,35,384,384,384,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,1,2,2,BRETTING CENTER,Yes,1,0,1,0,68,46,1,0,67,67,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 10,413,3,44,344,347,347,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,3,2,BRETTING CENTER,Yes,1,0,0,1,51,40,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2251,ASHLAND COUNTY,CITY OF MELLEN,Ward 1,363,0,36,302,302,302,0,0,0,Polling Place,6,Yes,5 Very easy,0,0,1,3,0,2,Mellen Senior Center,No,0,0,0,0,30,7,3,0,27,23,4,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
3002,BARRON COUNTY,TOWN OF ALMENA,Ward 1-2,561,2,41,488,488,48,0,440,0,Polling Place,4,No,5 Very easy,0,0,0,0,4,0,Almena Town Hall,No,0,0,0,0,41,6,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,BARRON COUNTY,TOWN OF ARLAND,Ward 1,364,0,37,317,317,17,0,300,0,Polling Place,7,Yes,4 Somewhat easy,0,0,0,2,3,2,Arland Town Hall,No,0,0,0,0,16,10,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,BARRON COUNTY,TOWN OF BARRON,Ward 1-2,444,5,21,381,381,39,0,342,0,Polling Place,9,Yes,2 Somewhat difficult,0,0,0,1,4,4,Barron Town Hall,No,0,0,0,0,37,25,0,0,36,36,0,1,0,0,0,0,4,1,0,3,3,0,0,0,0,0,0,0,0,0
3008,BARRON COUNTY,TOWN OF BEAR LAKE,Ward 1,451,5,33,389,389,61,0,328,0,Polling Place,7,Yes,4 Somewhat easy,0,0,0,0,4,3,Town of Bear Lake,No,0,0,0,0,50,25,0,1,48,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,BARRON COUNTY,TOWN OF CEDAR LAKE,Ward 1,804,10,51,705,705,0,230,475,0,Polling Place,11,No,2 Somewhat difficult,0,0,0,2,9,0,Cedar Lake Town Hall,No,0,0,0,0,105,10,0,0,105,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
3012,BARRON COUNTY,TOWN OF CHETEK,Wards 1-2,1211,24,112,1067,1068,148,0,919,0,Polling Place,10,Yes,4 Somewhat easy,0,0,0,1,9,0,Town of Chetek,No,0,0,0,0,126,101,3,1,126,126,1,0,1,0,1,0,3,2,0,1,1,0,0,1,0,0,1,1,0,0
3014,BARRON COUNTY,TOWN OF CLINTON,Ward 1,394,0,42,363,363,51,0,312,0,Polling Place,3,Yes,4 Somewhat easy,0,0,1,3,2,0,Town of Clinton Community,No,0,0,0,0,28,10,1,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,BARRON COUNTY,TOWN OF CRYSTAL LAKE,Ward 1,433,0,66,414,414,26,0,388,0,Polling Place,7,Yes,3 Neither difficult nor easy,0,0,1,0,5,1,Crystal Lake Townhall,No,0,0,0,0,24,18,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,BARRON COUNTY,TOWN OF CUMBERLAND,Ward 1,534,2,39,468,468,47,0,421,0,Polling Place,6,Yes,3 Neither difficult nor easy,0,0,0,1,3,2,Town Hall,No,0,0,0,0,39,28,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3020,BARRON COUNTY,TOWN OF DALLAS,Ward 1,325,0,30,289,289,36,0,253,0,Polling Place,6,Yes,3 Neither difficult nor easy,0,0,1,2,3,0,Town of Dallas,No,0,0,0,0,18,2,0,0,18,18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3022,BARRON COUNTY,TOWN OF DOVRE,Ward 1,428,0,60,388,388,115,0,273,0,Polling Place,9,Yes,2 Somewhat difficult,0,0,0,7,2,0,Town Hall,No,0,0,0,0,26,15,1,0,25,24,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1
3024,BARRON COUNTY,TOWN OF DOYLE,Ward 1-2,325,1,32,291,291,22,0,269,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,1,1,3,Doyle Community Building,No,0,0,0,0,19,10,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,BARRON COUNTY,TOWN OF LAKELAND,Ward 1-2,655,4,55,566,568,76,0,490,0,Polling Place,8,Yes,2 Somewhat difficult,0,0,0,1,5,2,Lakeland Town Hall,No,0,0,0,0,70,49,3,0,67,67,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3028,BARRON COUNTY,TOWN OF MAPLE GROVE,Ward 1-2,576,8,42,487,487,26,0,0,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,2,0,3,Maple Grove Town Hall,No,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,BARRON COUNTY,TOWN OF MAPLE PLAIN,Ward 1,569,565,56,482,482,48,0,434,0,Polling Place,7,No,1 Very difficult,0,0,0,2,2,3,Maple Plain Town Hall,No,0,1,0,1,44,24,4,1,44,43,1,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,2,2,0,0
3032,BARRON COUNTY,TOWN OF OAK GROVE,Ward 1-2,555,2,557,494,494,35,0,459,0,Polling Place,7,No,3 Neither difficult nor easy,0,0,0,3,3,1,Oak Grove Town Hall,No,0,0,0,0,35,19,1,0,33,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034,BARRON COUNTY,TOWN OF PRAIRIE FARM,Wards 1-2,331,0,38,279,279,27,0,252,0,Polling Place,3,No,1 Very difficult,0,0,0,0,0,3,Town Hall,No,0,0,0,0,16,4,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036,BARRON COUNTY,TOWN OF PRAIRIE LAKE,Ward 1-2,917,3,113,866,866,125,0,741,0,Polling Place,12,Yes,3 Neither difficult nor easy,0,0,0,1,5,6,Meeting Room,No,0,0,0,0,108,84,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3038,BARRON COUNTY,TOWN OF RICE LAKE,Wards 1-4,1787,30,163,1609,1609,0,475,1134,0,Polling Place,20,Yes,2 Somewhat difficult,0,1,0,5,7,7,Town of RL Municipal Bldg,No,0,0,0,0,388,323,4,1,383,383,0,0,0,0,0,0,8,1,0,7,7,0,0,3,0,0,3,3,0,0
3040,BARRON COUNTY,TOWN OF SIOUX CREEK,Ward 1,359,4,33,297,297,30,0,267,0,Polling Place,7,No,2 Somewhat difficult,0,0,0,3,3,1,Sioux Creek Town Hall,No,0,0,0,0,25,20,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,BARRON COUNTY,TOWN OF STANFOLD,Ward 1,397,5,64,387,387,33,0,354,0,Polling Place,11,Yes,2 Somewhat difficult,0,1,0,2,5,4,Stanfold Town Hall,No,0,0,0,0,23,11,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,BARRON COUNTY,TOWN OF STANLEY,Ward 1-4,1527,8,177,1320,1322,1,340,979,0,Polling Place,11,Yes,2 Somewhat difficult,0,0,0,2,6,3,Stanley Town Hall,No,0,0,0,0,175,105,5,0,170,169,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3046,BARRON COUNTY,TOWN OF SUMNER,Ward 1,464,3,53,394,394,33,0,361,0,Polling Place,9,Yes,5 Very easy,0,0,0,3,2,4,Sumner Town Hall,No,0,0,0,0,25,18,1,0,24,23,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0
3048,BARRON COUNTY,TOWN OF TURTLE LAKE,Ward 1,347,2,31,301,301,0,55,246,0,Polling Place,5,Yes,4 Somewhat easy,0,0,0,1,1,3,Turtle Lake Town Hall,No,0,0,0,0,12,7,0,1,11,10,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3050,BARRON COUNTY,TOWN OF VANCE CREEK,Ward 1,383,0,61,349,349,32,0,317,0,Polling Place,5,No,4 Somewhat easy,0,0,0,0,5,0,Vance Creek Town Hall,No,0,0,0,0,19,2,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,BARRON COUNTY,VILLAGE OF ALMENA,Ward 1,340,4,64,303,303,29,0,274,0,Polling Place,11,Yes,3 Neither difficult nor easy,0,0,0,3,4,4,Almena Village Hall,No,0,0,0,0,19,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111,BARRON COUNTY,VILLAGE OF CAMERON,Wards 1-3,927,0,145,802,801,1,76,725,0,Polling Place,7,No,3 Neither difficult nor easy,0,0,1,1,1,4,Village Hall,No,0,0,0,0,68,53,2,0,66,66,0,0,0,0,0,0,4,1,0,3,3,0,0,1,0,0,1,1,0,0
3116,BARRON COUNTY,VILLAGE OF DALLAS,Ward 1,209,2,27,181,181,17,0,164,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,1,2,2,Village Hall,No,0,0,0,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3136,BARRON COUNTY,VILLAGE OF HAUGEN,Ward 1,0,0,26,159,159,29,0,130,0,Polling Place,4,No,3 Neither difficult nor easy,0,0,1,1,1,1,Haugen Village Hall,No,0,0,0,0,4,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3151,BARRON COUNTY,VILLAGE OF NEW AUBURN,Ward 2,10,0,4,11,12,0,0,11,0,Polling Place,3,Yes,4 Somewhat easy,0,0,0,1,3,1,Village Hall,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3151,BARRON COUNTY,VILLAGE OF NEW AUBURN,Ward 3,3,0,1,2,2,0,0,2,0,Polling Place,3,Yes,4 Somewhat easy,0,0,0,1,3,1,Village Hall,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3171,BARRON COUNTY,VILLAGE OF PRAIRIE FARM,Ward 1,215,2,42,192,192,16,0,176,0,Polling Place,4,No,5 Very easy,0,0,1,1,2,0,Village Hall,No,1,0,1,0,4,2,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3186,BARRON COUNTY,VILLAGE OF TURTLE LAKE,Ward 1,451,8,95,381,381,86,0,295,0,Polling Place,9,Yes,1 Very difficult,0,0,1,1,4,4,Turtle Lake MunicipalBldg,Yes,0,0,0,0,30,20,1,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,BARRON COUNTY,CITY OF BARRON,Ward 1-7,1588,68,195,1387,1388,0,465,922,0,Polling Place,19,Yes,4 Somewhat easy,0,2,1,0,6,10,Barron City Hall,No,0,0,0,0,375,267,12,3,360,360,0,3,0,0,0,0,7,2,0,5,4,1,0,3,0,0,3,3,0,0
3211,BARRON COUNTY,CITY OF CHETEK,Wards 1-4,1203,35,165,1028,1028,1,248,779,0,Polling Place,16,Yes,2 Somewhat difficult,0,0,0,4,9,3,city hall,No,0,0,0,0,198,155,1,0,197,197,197,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3212,BARRON COUNTY,CITY OF CUMBERLAND,Ward 1-4,1307,0,145,1129,1129,0,343,786,0,Polling Place,12,Yes,2 Somewhat difficult,0,0,0,1,4,7,Cumberland City Hall,Yes,0,0,0,0,258,169,2,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
