"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_identification","provisional_no_dl","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"29","CITY OF BROOKFIELD WAUKESHA","WAUKESHA","CITY OF BROOKFIELD",28282,646,1524,25100,25108,0,25100,0,677,0,0,0,85,254,3,1,0,3,9872,7529,41,32,9614,9604,4,42,0,0,0,0,38,11,0,27,27,0,0,47,10,0,37,35,2,0
"30","CITY OF BUFFALO CITY BUFFALO","BUFFALO","CITY OF BUFFALO CITY",657,5,83,614,614,98,0,516,5,0,0,0,0,2,0,0,0,0,80,53,2,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","CITY OF BURLINGTON RACINE","RACINE","CITY OF BURLINGTON",5968,210,575,5353,5353,0,5353,0,60,0,0,3,18,20,2,1,1,2,1710,1345,19,16,1683,1682,1,0,0,0,0,0,12,5,0,7,7,0,0,9,1,0,8,8,0,0
"32","CITY OF CEDARBURG OZAUKEE","OZAUKEE","CITY OF CEDARBURG",8227,179,630,7299,7299,1,7298,0,49,0,0,0,11,26,1,0,1,0,2182,1684,43,0,2133,2133,0,5,2,2,0,0,13,5,0,8,8,0,0,8,0,0,7,7,0,1
"33","CITY OF CHETEK BARRON","BARRON","CITY OF CHETEK",1203,35,165,1028,1028,1,248,779,16,0,0,0,4,9,0,0,0,0,198,155,1,0,197,197,197,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"34","CITY OF CHILTON CALUMET","CALUMET","CITY OF CHILTON",2071,38,199,1816,1816,0,1581,235,9,0,0,0,2,7,0,0,0,0,315,219,3,0,315,300,6,1,0,0,0,0,2,1,0,1,1,0,0,3,1,0,2,2,0,0
"35","CITY OF CHIPPEWA FALLS CHIPPEWA","CHIPPEWA","CITY OF CHIPPEWA FALLS",6763,214,1010,6531,6501,0,6499,2,63,0,0,0,2,26,5,2,0,7,1775,1337,11,0,1759,1757,2,3,0,0,0,0,7,2,0,4,4,0,1,6,1,0,5,5,0,0
"36","CITY OF CLINTONVILLE WAUPACA","WAUPACA","CITY OF CLINTONVILLE",2274,38,258,1919,1921,1,1245,673,52,0,0,0,0,22,0,0,0,0,324,210,8,0,316,316,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"37","CITY OF COLBY CLARK","CLARK","CITY OF COLBY",591,15,94,552,552,552,0,0,10,0,0,0,0,5,0,0,0,0,70,52,1,0,69,69,0,0,0,0,0,0,2,0,0,2,2,0,0,2,1,0,1,1,0,0
"38","CITY OF COLBY MARATHON","MARATHON","CITY OF COLBY",269,7,30,240,240,240,0,0,10,0,0,0,0,5,0,0,0,0,37,32,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","CITY OF COLUMBUS COLUMBIA","COLUMBIA","CITY OF COLUMBUS",3192,92,344,2727,2727,0,2726,0,26,1,1,1,1,8,0,0,0,0,656,538,10,0,646,646,0,0,0,0,0,0,7,0,0,6,6,0,1,5,1,0,3,3,0,1
"40","CITY OF CORNELL CHIPPEWA","CHIPPEWA","CITY OF CORNELL",788,10,89,651,651,0,493,158,9,0,0,0,2,3,0,0,0,0,83,0,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","CITY OF CRANDON FOREST","FOREST","CITY OF CRANDON",1022,3,100,799,799,546,0,253,7,0,0,0,3,4,0,0,0,0,91,58,1,0,91,90,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"42","CITY OF CUBA CITY GRANT","GRANT","CITY OF CUBA CITY",1042,20,113,855,856,0,666,189,18,5,0,0,0,6,0,0,0,0,135,92,1,0,134,134,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0
"43","CITY OF CUBA CITY LAFAYETTE","LAFAYETTE","CITY OF CUBA CITY",142,4,14,127,126,0,94,33,18,5,0,0,0,6,0,0,0,0,15,11,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","CITY OF CUDAHY MILWAUKEE","MILWAUKEE","CITY OF CUDAHY",10952,234,1182,9104,9103,0,9103,0,75,0,0,2,10,25,0,0,0,0,2477,1913,30,10,2425,2425,0,3,0,0,0,0,8,4,0,4,4,0,0,19,3,0,16,16,0,1
"45","CITY OF CUMBERLAND BARRON","BARRON","CITY OF CUMBERLAND",1307,0,145,1129,1129,0,343,786,12,0,0,0,1,4,0,0,0,0,258,169,2,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"46","CITY OF DARLINGTON LAFAYETTE","LAFAYETTE","CITY OF DARLINGTON",1218,0,106,1042,1042,0,1042,0,15,0,0,0,0,8,0,0,0,0,152,87,0,0,64,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","CITY OF DE PERE BROWN","BROWN","CITY OF DE PERE",14545,535,1636,13377,13372,0,13377,0,147,0,0,0,49,49,5,0,0,5,5579,4612,55,23,5542,5542,1,8,0,0,0,0,18,8,2,10,10,0,0,22,0,0,22,22,0,0
"48","CITY OF DELAFIELD WAUKESHA","WAUKESHA","CITY OF DELAFIELD",5152,166,409,4468,4468,0,4468,0,29,0,1,5,10,7,0,0,0,0,1691,1398,25,11,1638,1637,0,5,0,0,0,0,8,1,0,7,7,0,0,11,2,0,9,9,0,0
"49","CITY OF DELAVAN WALWORTH","WALWORTH","CITY OF DELAVAN",4030,104,435,3355,3355,0,3355,0,27,0,1,1,3,8,0,0,0,0,793,567,37,1,756,753,0,0,0,0,0,0,11,5,0,6,6,0,0,9,1,0,8,8,0,0
"50","CITY OF DODGEVILLE IOWA","IOWA","CITY OF DODGEVILLE",2818,88,248,2410,2410,3,2404,3,21,0,0,0,1,8,0,0,0,0,970,770,6,6,942,940,3,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"51","CITY OF DURAND PEPIN","PEPIN","CITY OF DURAND",1042,8,92,894,894,119,0,775,10,0,0,0,0,1,0,0,0,0,121,89,3,0,118,118,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"52","CITY OF EAGLE RIVER VILAS","VILAS","CITY OF EAGLE RIVER",886,0,101,770,770,0,770,0,22,0,0,0,0,9,0,0,0,0,160,109,9,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"53","CITY OF EAU CLAIRE CHIPPEWA","CHIPPEWA","CITY OF EAU CLAIRE",1100,18,150,996,996,6,803,187,54,0,0,3,9,18,0,0,0,0,198,164,2,0,195,193,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CITY OF EAU CLAIRE EAU CLAIRE","EAU CLAIRE","CITY OF EAU CLAIRE",42203,1191,7204,35567,35576,151,30737,4667,1650,0,44,28,259,623,15,2,4,13,8905,7476,120,11,8753,8739,14,22,0,0,0,0,52,18,0,32,32,0,2,69,19,0,49,49,0,3
"55","CITY OF EDGERTON DANE","DANE","CITY OF EDGERTON",75,6,10,60,61,0,61,0,20,0,0,0,7,11,0,0,0,0,17,16,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","CITY OF EDGERTON ROCK","ROCK","CITY OF EDGERTON",3345,98,340,2773,2772,0,2772,0,20,0,0,0,7,11,0,1,1,0,985,908,2,0,995,995,0,1,0,0,0,0,7,1,0,6,6,0,0,10,1,0,10,10,0,0
"57","CITY OF ELKHORN WALWORTH","WALWORTH","CITY OF ELKHORN",5275,143,495,4561,4561,4561,0,0,40,0,3,4,8,4,1,0,1,0,1468,1068,41,7,1429,1429,0,0,0,0,0,0,11,2,0,9,9,0,0,6,1,0,5,5,0,0
"58","CITY OF ELROY JUNEAU","JUNEAU","CITY OF ELROY",721,9,32,558,558,93,0,465,8,0,0,0,5,0,0,0,0,0,47,27,3,0,44,44,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,1,0,0
"59","CITY OF EVANSVILLE ROCK","ROCK","CITY OF EVANSVILLE",3217,83,333,2821,2821,0,2821,0,34,4,1,0,2,18,2,0,0,2,634,530,4,0,631,631,0,1,0,0,0,0,6,2,0,3,3,0,1,2,1,0,1,1,0,0
"60","CITY OF FENNIMORE GRANT","GRANT","CITY OF FENNIMORE",1374,30,118,1083,1083,201,0,882,17,0,0,0,2,5,0,0,0,0,159,126,0,0,159,158,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"61","CITY OF FITCHBURG DANE","DANE","CITY OF FITCHBURG",15800,683,5711,14025,14025,0,14025,0,265,0,0,0,0,253,15,0,4,11,6686,5848,56,8,6596,6566,3,4,0,0,0,0,20,4,0,15,13,2,0,30,4,0,24,25,4,1
"62","CITY OF FOND DU LAC FOND DU LAC","FOND DU LAC","CITY OF FOND DU LAC",22016,549,2439,19428,19428,0,19426,0,201,0,2,0,32,90,7,0,0,7,5392,4160,41,0,5350,5335,15,1,0,0,0,0,39,10,0,29,29,0,0,25,2,0,22,22,0,1
"63","CITY OF FORT ATKINSON JEFFERSON","JEFFERSON","CITY OF FORT ATKINSON",6855,193,630,5941,5941,0,5941,0,34,0,0,2,25,3,0,0,0,0,1563,1307,19,2,1545,1544,1,2,0,0,0,0,13,1,0,9,9,0,0,7,1,0,7,7,0,0
"64","CITY OF FOUNTAIN CITY BUFFALO","BUFFALO","CITY OF FOUNTAIN CITY",549,3,58,412,412,151,0,261,5,0,0,0,0,2,0,0,0,0,51,40,1,0,50,50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"65","CITY OF FOX LAKE DODGE","DODGE","CITY OF FOX LAKE",867,6,116,733,733,0,733,0,8,0,0,0,0,2,0,0,0,0,89,52,0,0,89,88,1,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,0,0
"66","CITY OF FRANKLIN MILWAUKEE","MILWAUKEE","CITY OF FRANKLIN",22298,611,1671,20012,20013,0,20012,0,393,0,4,4,77,203,1,0,0,1,8088,6283,79,11,8003,7997,6,9,0,0,0,0,35,10,0,25,25,0,0,15,5,0,10,10,0,0
"67","CITY OF GALESVILLE TREMPEALEAU","TREMPEALEAU","CITY OF GALESVILLE",924,27,119,776,776,3,407,366,10,0,0,0,2,8,0,0,0,0,132,114,5,0,127,126,1,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0
"68","CITY OF GILLETT OCONTO","OCONTO","CITY OF GILLETT",741,12,51,585,585,2,167,416,8,0,0,1,3,4,0,0,0,0,70,33,4,0,71,70,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"69","CITY OF GLENDALE MILWAUKEE","MILWAUKEE","CITY OF GLENDALE",9469,232,745,8150,8150,8150,0,0,47,0,0,0,15,23,1,1,0,1,3419,2774,0,7,3329,3316,2,13,0,0,0,0,12,0,0,8,7,1,1,42,0,0,27,28,1,0
"70","CITY OF GLENWOOD CITY ST. CROIX","ST. CROIX","CITY OF GLENWOOD CITY",677,11,107,562,562,0,562,0,6,0,0,0,2,3,0,0,0,0,48,33,1,0,47,47,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,1,0,0
"71","CITY OF GREEN BAY BROWN","BROWN","CITY OF GREEN BAY",53709,381,6965,44660,44638,0,44661,0,327,4,1,4,49,150,2,4,0,6,10426,7029,271,87,9657,9611,16,22,0,0,0,0,80,16,1,56,54,2,2,50,2,0,43,41,2,2
"72","CITY OF GREEN LAKE GREEN LAKE","GREEN LAKE","CITY OF GREEN LAKE",680,12,0,570,569,0,268,302,7,0,0,0,1,1,0,0,0,0,104,71,2,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"73","CITY OF GREENFIELD MILWAUKEE","MILWAUKEE","CITY OF GREENFIELD",22027,538,2405,19411,19423,5,19407,0,138,0,0,0,15,65,3,0,0,3,5724,4070,67,6,5565,5631,78,10,1,0,0,1,27,10,0,17,17,0,1,21,6,0,18,18,0,1
"74","CITY OF GREENWOOD CLARK","CLARK","CITY OF GREENWOOD",630,6,62,534,534,0,400,134,7,0,0,0,1,3,0,0,0,0,48,21,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","CITY OF HARTFORD WASHINGTON","WASHINGTON","CITY OF HARTFORD",8289,213,923,7286,7290,0,7286,0,105,0,2,2,27,29,0,0,0,0,2363,1995,13,0,2350,2348,2,0,0,0,0,0,12,3,0,8,8,0,1,1,0,0,1,1,0,0
"76","CITY OF HAYWARD SAWYER","SAWYER","CITY OF HAYWARD",1277,35,159,1025,1025,246,0,779,10,0,1,0,1,3,0,0,0,0,247,175,4,0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","CITY OF HILLSBORO VERNON","VERNON","CITY OF HILLSBORO",788,13,67,363,363,199,0,437,9,0,0,0,0,3,0,0,0,0,104,53,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","CITY OF HORICON DODGE","DODGE","CITY OF HORICON",2103,47,270,1793,1793,0,1793,0,30,0,0,0,6,20,0,0,0,0,348,284,2,1,345,344,1,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,1,0,0
"79","CITY OF HUDSON ST. CROIX","ST. CROIX","CITY OF HUDSON",9080,294,1032,7568,7569,0,7568,0,57,0,0,0,15,10,1,0,0,1,2998,2515,35,0,2956,2956,0,7,1,1,0,0,10,6,0,4,4,0,0,16,2,0,11,5,0,3
"80","CITY OF HURLEY IRON","IRON","CITY OF HURLEY",866,13,52,715,715,285,0,430,12,0,0,0,4,4,0,0,0,0,174,50,8,0,120,120,0,3,0,0,0,0,3,2,0,1,1,0,0,1,0,0,1,1,0,0
"81","CITY OF INDEPENDENCE TREMPEALEAU","TREMPEALEAU","CITY OF INDEPENDENCE",610,7,72,472,472,215,0,257,5,0,0,0,0,2,0,0,0,0,38,18,1,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"82","CITY OF JANESVILLE ROCK","ROCK","CITY OF JANESVILLE",35649,879,3625,30149,30149,0,30140,2,718,143,3,9,47,266,1,0,0,1,9669,7966,81,54,9523,9495,28,11,0,0,0,0,35,9,1,25,25,0,0,46,6,0,39,34,0,0
"83","CITY OF JEFFERSON JEFFERSON","JEFFERSON","CITY OF JEFFERSON",4308,104,418,3536,3537,0,3536,0,52,0,0,1,4,17,0,0,0,0,678,502,10,3,668,668,0,3,1,1,0,0,4,0,0,4,4,0,0,3,1,0,2,2,0,0
"84","CITY OF JUNEAU DODGE","DODGE","CITY OF JUNEAU",1226,14,117,995,995,0,993,2,7,0,0,0,1,2,0,0,0,0,98,68,0,0,98,98,0,0,0,0,0,1,5,2,0,3,3,0,0,1,0,0,0,0,0,1
"85","CITY OF KAUKAUNA OUTAGAMIE","OUTAGAMIE","CITY OF KAUKAUNA",8598,350,760,7711,7711,0,7711,0,28,0,1,1,8,10,0,0,0,0,4030,3427,86,0,3931,3920,11,9,0,0,0,0,10,0,0,10,10,0,0,3,0,0,3,3,0,0
"86","CITY OF KENOSHA KENOSHA","KENOSHA","CITY OF KENOSHA",51414,1204,5952,41936,41932,12,41424,142,1128,5,43,66,263,453,8,1,1,8,14561,11840,117,52,14235,14235,16,18,0,0,0,0,91,27,1,61,61,0,1,45,3,0,33,33,0,5
"87","CITY OF KEWAUNEE KEWAUNEE","KEWAUNEE","CITY OF KEWAUNEE",1715,26,143,1427,1430,1,975,451,7,0,0,0,2,4,1,0,0,1,327,229,3,0,322,322,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"88","CITY OF KIEL CALUMET","CALUMET","CITY OF KIEL",170,12,14,139,139,0,122,17,28,0,0,0,0,5,0,0,0,0,40,29,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","CITY OF KIEL MANITOWOC","MANITOWOC","CITY OF KIEL",2158,55,168,1873,1873,0,1588,285,28,0,0,0,0,5,0,0,0,0,428,349,4,0,424,424,0,0,0,0,0,0,6,2,0,4,4,0,0,0,0,0,0,0,0,0
"90","CITY OF LA CROSSE LA CROSSE","LA CROSSE","CITY OF LA CROSSE",33949,1412,6004,27609,27608,0,27609,0,391,45,16,22,107,141,27,1,10,18,8641,7012,67,20,8527,8198,6,10,1,0,1,0,34,13,1,19,19,0,1,38,2,0,32,28,0,4
"91","CITY OF LADYSMITH RUSK","RUSK","CITY OF LADYSMITH",1651,25,187,1414,1414,2,1366,46,14,0,0,1,0,13,4,0,3,1,285,119,15,0,270,269,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"92","CITY OF LAKE GENEVA WALWORTH","WALWORTH","CITY OF LAKE GENEVA",4120,146,414,3554,3554,0,3554,0,24,0,0,0,3,8,3,0,2,1,1212,878,20,12,1195,1194,2,0,0,0,0,0,7,3,0,4,4,0,0,8,0,0,8,8,0,0
"93","CITY OF LAKE MILLS JEFFERSON","JEFFERSON","CITY OF LAKE MILLS",3841,142,368,3352,3352,3352,0,0,29,0,0,7,3,19,0,0,0,0,963,787,7,0,954,954,0,2,0,0,0,0,6,0,0,6,6,0,0,9,1,0,8,8,0,0
"94","CITY OF LANCASTER GRANT","GRANT","CITY OF LANCASTER",2079,46,1242,1750,1750,0,1589,161,12,0,1,1,2,6,0,3,0,3,700,616,5,0,693,693,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"95","CITY OF LODI COLUMBIA","COLUMBIA","CITY OF LODI",1988,57,168,1772,1772,0,1772,0,17,0,0,0,5,12,0,0,0,0,582,512,2,0,580,580,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,0
"96","CITY OF LOYAL CLARK","CLARK","CITY OF LOYAL",668,0,69,567,567,0,562,5,5,0,0,0,0,4,0,0,0,0,48,0,0,1,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","CITY OF MADISON DANE","DANE","CITY OF MADISON",203831,760,19454,154060,154060,0,154060,0,2990,110,287,350,819,853,121,2,15,108,67406,57764,1617,86,65374,65056,313,120,0,0,0,0,196,50,0,120,118,5,6,898,133,0,672,667,4,65
"98","CITY OF MANAWA WAUPACA","WAUPACA","CITY OF MANAWA",650,2,73,530,530,228,0,302,6,0,0,0,0,2,0,0,0,0,72,57,2,0,69,68,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"99","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",17588,403,1553,15410,15426,0,14384,1025,82,0,1,0,9,28,0,3,0,3,2049,1703,20,0,2028,2027,2,0,0,0,0,0,31,11,0,19,19,0,1,20,0,0,16,16,1,4
"100","CITY OF MARINETTE MARINETTE","MARINETTE","CITY OF MARINETTE",5498,134,654,4530,4530,0,1262,3269,46,9,2,0,0,35,0,0,0,0,1288,947,17,7,1259,1258,1,1,0,0,0,0,7,3,0,4,4,0,0,4,2,0,2,2,0,2
