"","muni_county","county","municipality","registrants","late_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","x71","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"11","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",535,29,494,490,0,490,0,0,26,0,0,0,9,10,7,172,44,6,0,164,162,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","CITY OF ARCADIA TREMPEALEAU","TREMPEALEAU","CITY OF ARCADIA",1137,16,858,858,2,573,283,0,7,0,0,0,4,2,1,94,33,2,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"13","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",6680,74,4093,4095,20,4076,0,3,61,0,0,0,5,33,23,621,381,13,2,526,561,4,0,2,0,2,0,7,2,0,5,5,0,0,13,1,0,12,11,0,0
"14","CITY OF ASHLAND BAYFIELD","BAYFIELD","CITY OF ASHLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CITY OF AUGUSTA EAU CLAIRE","EAU CLAIRE","CITY OF AUGUSTA",814,6,639,638,0,0,0,0,9,0,0,0,6,3,0,79,46,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"16","CITY OF BARABOO SAUK","SAUK","CITY OF BARABOO",6630,149,5856,5856,0,5855,1,0,52,0,0,1,8,23,20,1377,934,18,6,1348,1350,3,0,0,0,0,0,10,2,0,7,7,0,1,8,0,0,8,8,0,0
"17","CITY OF BARRON BARRON","BARRON","CITY OF BARRON",1450,57,1401,1407,2,607,792,0,12,0,0,0,0,4,8,331,241,10,1,78,319,1,0,0,0,0,1,4,1,2,1,0,0,0,2,0,0,2,0,0,0
"18","CITY OF BAYFIELD BAYFIELD","BAYFIELD","CITY OF BAYFIELD",394,12,354,354,0,354,0,0,6,0,0,0,2,4,0,97,56,2,1,94,94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"19","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",8494,194,7526,7526,0,7526,0,0,48,0,0,0,5,15,28,1202,837,12,0,1190,1195,3,0,0,0,0,0,16,6,0,10,9,1,0,5,1,0,2,4,0,0
"20","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",18029,657,15391,15391,0,15391,0,25,142,0,3,1,33,43,62,3097,2416,46,9,3020,3024,10,5,4,0,4,0,23,11,0,11,11,1,0,20,6,0,14,14,0,0
"21","CITY OF BERLIN GREEN LAKE","GREEN LAKE","CITY OF BERLIN",2607,56,2363,2361,0,1594,769,0,21,0,0,0,2,17,2,385,229,0,0,384,385,0,0,0,0,0,0,8,4,0,4,4,0,0,0,0,0,0,0,0,0
"22","CITY OF BERLIN WAUSHARA","WAUSHARA","CITY OF BERLIN",50,0,52,53,45,0,7,0,21,0,0,0,2,17,2,8,5,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","CITY OF BLACK RIVER FALLS JACKSON","JACKSON","CITY OF BLACK RIVER FALLS",2154,46,1603,1603,2,1493,108,0,12,0,0,0,0,4,8,237,135,8,0,235,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","CITY OF BLAIR TREMPEALEAU","TREMPEALEAU","CITY OF BLAIR",599,13,503,503,54,0,449,0,5,0,0,0,1,2,2,54,40,3,0,54,53,1,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0
"25","CITY OF BLOOMER CHIPPEWA","CHIPPEWA","CITY OF BLOOMER",2160,28,1769,1769,0,1769,0,0,18,0,0,0,3,11,4,366,207,7,0,361,0,0,0,1,1,0,0,4,1,0,3,3,0,0,3,2,0,1,1,0,0
"26","CITY OF BOSCOBEL GRANT","GRANT","CITY OF BOSCOBEL",1474,17,1223,1223,4,1219,0,0,8,0,0,0,2,6,0,109,56,0,0,109,109,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"27","CITY OF BRILLION CALUMET","CALUMET","CITY OF BRILLION",1847,31,1562,1564,0,1282,280,0,7,0,0,0,2,3,2,318,189,3,0,310,310,3,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,2,0,0
"28","CITY OF BRODHEAD GREEN","GREEN","CITY OF BRODHEAD",1702,39,1388,1388,1,1387,0,0,16,0,0,0,0,0,0,224,162,2,0,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"29","CITY OF BRODHEAD ROCK","ROCK","CITY OF BRODHEAD",34,2,30,30,0,30,0,0,16,0,0,0,1,10,5,17,16,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","CITY OF BROOKFIELD WAUKESHA","WAUKESHA","CITY OF BROOKFIELD",28709,542,25900,25900,84,25816,0,0,697,0,0,7,160,255,275,9433,6867,88,26,9155,9254,20,7,6,6,0,0,60,19,4,31,33,1,1,48,13,0,25,28,3,3
"31","CITY OF BUFFALO CITY BUFFALO","BUFFALO","CITY OF BUFFALO CITY",662,12,567,567,92,0,475,0,5,0,0,0,0,4,1,54,17,2,0,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","CITY OF BURLINGTON RACINE","RACINE","CITY OF BURLINGTON",6046,155,5392,5392,0,5391,0,0,47,0,0,0,0,0,0,1422,1082,14,2,1414,3269,2,0,1,0,0,0,8,1,0,7,2,0,0,6,2,0,4,0,0,0
"33","CITY OF BURLINGTON WALWORTH","WALWORTH","CITY OF BURLINGTON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CITY OF CEDARBURG OZAUKEE","OZAUKEE","CITY OF CEDARBURG",8092,164,7260,7261,0,7260,0,0,35,0,0,0,4,15,17,2156,1526,56,0,2090,2100,0,1,2,1,1,0,22,7,0,14,13,1,1,14,6,0,8,8,0,0
"35","CITY OF CHETEK BARRON","BARRON","CITY OF CHETEK",1250,25,990,990,1,593,396,0,14,1,0,0,3,9,1,145,80,2,0,144,144,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"36","CITY OF CHILTON CALUMET","CALUMET","CITY OF CHILTON",2134,39,1883,1883,1,1675,207,0,9,0,0,0,3,4,2,297,202,4,0,202,200,2,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0
"37","CITY OF CHIPPEWA FALLS CHIPPEWA","CHIPPEWA","CITY OF CHIPPEWA FALLS",8619,81,6306,6306,7,6299,0,0,35,0,0,0,1,13,21,1379,908,28,4,1348,1353,0,0,1,1,0,0,22,9,0,12,12,0,1,6,1,0,5,5,0,0
"38","CITY OF CLINTONVILLE WAUPACA","WAUPACA","CITY OF CLINTONVILLE",2304,59,1951,1951,4,1249,692,0,24,0,0,0,0,21,3,317,197,8,2,304,307,0,0,0,0,0,0,5,0,0,3,5,0,0,1,0,0,1,1,0,0
"39","CITY OF COLBY CLARK","CLARK","CITY OF COLBY",662,5,541,541,0,0,0,2,10,0,0,0,0,5,5,70,45,0,0,70,69,1,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"40","CITY OF COLBY MARATHON","MARATHON","CITY OF COLBY",276,3,228,228,228,0,0,0,10,0,0,0,0,5,5,47,36,2,0,45,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","CITY OF COLUMBUS COLUMBIA","COLUMBIA","CITY OF COLUMBUS",3138,55,2745,2745,0,0,0,2745,21,0,0,0,2,8,11,628,474,22,0,615,616,0,0,1,1,0,0,10,6,0,4,4,0,1,2,1,0,1,1,0,0
"42","CITY OF COLUMBUS DODGE","DODGE","CITY OF COLUMBUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","CITY OF CORNELL CHIPPEWA","CHIPPEWA","CITY OF CORNELL",789,6,661,661,0,633,28,0,6,0,0,0,1,3,2,55,43,0,0,55,55,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0
"44","CITY OF CRANDON FOREST","FOREST","CITY OF CRANDON",1139,5,817,817,569,0,248,0,7,0,0,0,5,2,0,90,45,0,0,88,86,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"45","CITY OF CUBA CITY GRANT","GRANT","CITY OF CUBA CITY",1101,12,927,927,0,693,234,0,14,0,0,0,1,3,10,140,65,1,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","CITY OF CUBA CITY LAFAYETTE","LAFAYETTE","CITY OF CUBA CITY",137,1,120,120,0,87,33,0,14,0,0,0,1,3,10,20,14,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","CITY OF CUDAHY MILWAUKEE","MILWAUKEE","CITY OF CUDAHY",10777,180,9993,9993,0,9993,0,0,72,0,0,4,23,31,14,2321,1639,37,13,2242,2248,0,0,0,0,0,0,15,2,0,11,14,0,0,13,2,0,10,11,0,0
"48","CITY OF CUMBERLAND BARRON","BARRON","CITY OF CUMBERLAND",1444,15,1056,1061,0,506,550,0,7,0,0,0,0,5,2,212,119,1,0,211,206,5,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0
"49","CITY OF DARLINGTON LAFAYETTE","LAFAYETTE","CITY OF DARLINGTON",1212,12,1050,1050,0,1050,0,2,18,0,0,0,7,7,4,108,43,1,0,107,107,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"50","CITY OF DE PERE BROWN","BROWN","CITY OF DE PERE",14843,413,13330,13531,0,13330,0,0,115,2,2,12,50,31,18,5535,4133,32,0,5481,5508,0,0,0,0,0,0,32,16,0,16,16,0,0,6,0,0,6,6,0,0
"51","CITY OF DELAFIELD WAUKESHA","WAUKESHA","CITY OF DELAFIELD",4975,116,4396,4396,0,4396,0,0,29,0,0,2,15,8,4,1501,1159,115,13,1399,1487,5,2,0,0,0,0,12,6,1,5,5,0,0,1,0,0,1,1,0,0
"52","CITY OF DELAVAN WALWORTH","WALWORTH","CITY OF DELAVAN",4128,58,3570,3570,0,3570,0,0,19,0,0,1,3,11,4,873,611,17,2,842,849,1,0,0,0,0,0,10,4,0,6,7,0,0,5,0,0,5,5,0,0
"53","CITY OF DODGEVILLE IOWA","IOWA","CITY OF DODGEVILLE",2531,72,2315,2315,564,0,1752,0,21,0,0,0,2,9,11,567,394,3,0,558,422,2,0,0,0,0,0,3,0,0,2,2,0,1,0,0,0,0,0,0,0
"54","CITY OF DURAND PEPIN","PEPIN","CITY OF DURAND",1113,23,903,903,122,0,781,0,13,0,0,1,0,1,11,124,74,0,0,124,122,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"55","CITY OF EAGLE RIVER VILAS","VILAS","CITY OF EAGLE RIVER",810,8,716,716,0,704,11,0,17,0,0,1,2,7,7,172,94,4,0,168,168,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"56","CITY OF EAU CLAIRE CHIPPEWA","CHIPPEWA","CITY OF EAU CLAIRE",1065,23,916,916,0,712,204,0,63,6,9,6,0,21,21,114,77,6,0,108,108,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"57","CITY OF EAU CLAIRE EAU CLAIRE","EAU CLAIRE","CITY OF EAU CLAIRE",35462,1236,35740,35744,218,30407,5115,0,1424,76,43,53,261,579,412,7429,5495,125,25,7250,7285,15,5,9,9,0,0,78,22,15,29,30,7,5,70,13,0,36,37,12,10
"58","CITY OF EDGERTON DANE","DANE","CITY OF EDGERTON",54,3,49,50,0,49,0,0,23,0,2,0,6,11,2,18,16,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","CITY OF EDGERTON ROCK","ROCK","CITY OF EDGERTON",3261,74,2866,2867,4,2862,0,0,21,0,2,0,7,10,2,904,550,8,2,889,4,1,0,1,1,0,0,4,1,0,3,3,0,0,6,2,0,3,4,0,0
"60","CITY OF ELKHORN WALWORTH","WALWORTH","CITY OF ELKHORN",5200,174,4644,4644,4,4640,0,0,31,0,1,2,9,5,14,1526,1097,12,0,1512,1514,1,0,0,0,0,0,15,5,0,9,10,0,0,5,0,0,5,5,0,0
"61","CITY OF ELROY JUNEAU","JUNEAU","CITY OF ELROY",782,5,601,601,192,0,409,0,7,0,0,0,3,2,2,68,18,2,0,66,66,0,0,0,0,0,0,2,2,0,2,2,0,0,1,0,0,1,1,0,0
"62","CITY OF EVANSVILLE ROCK","ROCK","CITY OF EVANSVILLE",3059,60,2743,2743,0,2743,0,0,21,0,0,1,2,9,9,450,315,6,1,442,443,0,0,1,1,0,0,5,1,0,4,4,0,0,0,0,0,0,0,0,0
"63","CITY OF FENNIMORE GRANT","GRANT","CITY OF FENNIMORE",1209,20,1149,1149,214,0,935,0,11,0,0,0,0,5,6,152,97,3,0,149,149,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0
"64","CITY OF FITCHBURG DANE","DANE","CITY OF FITCHBURG",15087,583,13573,13573,0,13573,0,0,232,5,0,0,111,116,0,5759,4817,51,3,5648,5668,23,5,2,2,0,0,28,6,1,16,19,0,0,15,0,0,15,13,0,0
"65","CITY OF FOND DU LAC FOND DU LAC","FOND DU LAC","CITY OF FOND DU LAC",20982,510,20434,20435,0,20431,2,0,181,0,0,5,34,96,45,5171,3384,32,6,5127,5107,30,0,3,1,2,0,83,23,17,41,43,1,2,25,7,0,19,20,0,1
"66","CITY OF FORT ATKINSON JEFFERSON","JEFFERSON","CITY OF FORT ATKINSON",7074,169,6247,6247,0,6247,0,0,54,0,0,0,9,22,23,1526,1244,10,4,1517,1525,1,0,0,0,0,0,17,6,0,12,12,0,0,3,0,0,3,3,0,0
"67","CITY OF FOUNTAIN CITY BUFFALO","BUFFALO","CITY OF FOUNTAIN CITY",597,8,474,474,267,0,207,0,4,0,0,0,0,1,3,37,20,1,0,36,36,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"68","CITY OF FOX LAKE DODGE","DODGE","CITY OF FOX LAKE",921,9,740,740,0,739,1,0,3,0,0,0,0,0,3,85,44,1,0,81,80,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"69","CITY OF FRANKLIN MILWAUKEE","MILWAUKEE","CITY OF FRANKLIN",21964,608,20279,20282,0,20199,80,0,503,5,7,10,136,209,136,8838,6518,397,12,8166,8204,6,0,0,0,0,0,40,9,0,24,27,0,0,16,2,0,10,13,0,0
"70","CITY OF GALESVILLE TREMPEALEAU","TREMPEALEAU","CITY OF GALESVILLE",919,17,768,768,2,551,215,0,11,0,0,0,2,9,0,104,83,0,0,104,104,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"71","CITY OF GILLETT OCONTO","OCONTO","CITY OF GILLETT",682,8,605,605,14,294,297,0,3,0,0,0,1,1,1,77,35,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","CITY OF GLENDALE MILWAUKEE","MILWAUKEE","CITY OF GLENDALE",9477,230,8741,8741,0,8741,0,0,51,0,0,0,8,12,31,3352,2666,26,6,3309,3325,1,3,0,0,0,0,20,11,0,7,9,0,0,65,24,0,36,41,0,6
"73","CITY OF GLENWOOD CITY ST. CROIX","ST. CROIX","CITY OF GLENWOOD CITY",666,11,553,553,0,416,137,0,5,0,0,2,1,1,1,39,24,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"74","CITY OF GREEN BAY BROWN","BROWN","CITY OF GREEN BAY",53808,833,46913,46918,0,46913,0,0,303,0,6,14,55,107,124,9405,5524,219,48,8962,9120,29,6,0,0,0,1,92,40,6,40,44,0,1,36,9,1,25,26,0,2
"75","CITY OF GREEN LAKE GREEN LAKE","GREEN LAKE","CITY OF GREEN LAKE",704,5,588,588,108,201,279,0,7,0,0,0,0,3,4,50,39,2,2,48,49,2,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"76","CITY OF GREENFIELD MILWAUKEE","MILWAUKEE","CITY OF GREENFIELD",22333,525,20593,20597,7,20586,0,0,128,0,0,2,19,49,60,5860,3893,100,8,5697,5501,5,3,5,3,2,0,44,16,2,22,25,0,1,23,7,0,15,16,0,0
"77","CITY OF GREENWOOD CLARK","CLARK","CITY OF GREENWOOD",619,2,488,488,0,387,101,0,5,0,0,0,0,1,4,47,23,1,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","CITY OF HARTFORD DODGE","DODGE","CITY OF HARTFORD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","CITY OF HARTFORD WASHINGTON","WASHINGTON","CITY OF HARTFORD",8419,130,7425,7428,0,7425,0,0,91,0,0,4,23,36,28,2043,1556,30,0,2010,2012,1,0,0,0,0,0,12,4,0,8,8,0,0,2,2,0,0,0,0,0
"80","CITY OF HAYWARD SAWYER","SAWYER","CITY OF HAYWARD",1295,16,1033,1033,209,0,824,0,9,0,1,0,3,0,5,210,112,3,0,207,206,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"81","CITY OF HILLSBORO VERNON","VERNON","CITY OF HILLSBORO",748,8,673,674,262,0,411,0,7,0,0,0,0,1,6,116,58,0,0,114,116,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"82","CITY OF HORICON DODGE","DODGE","CITY OF HORICON",2176,36,1867,1869,0,1867,0,0,15,0,0,0,6,8,1,377,300,2,1,374,374,0,0,2,2,0,0,5,3,0,2,2,0,0,1,1,0,0,0,0,0
"83","CITY OF HUDSON ST. CROIX","ST. CROIX","CITY OF HUDSON",8209,103,7207,7210,0,7199,8,0,86,0,0,0,14,26,46,1707,1053,28,5,1663,1426,0,2,4,1,3,0,27,8,0,16,18,0,3,14,1,0,12,13,0,0
"84","CITY OF HURLEY IRON","IRON","CITY OF HURLEY",911,12,800,800,360,0,440,0,12,0,0,0,2,1,9,161,32,3,0,158,158,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"85","CITY OF INDEPENDENCE TREMPEALEAU","TREMPEALEAU","CITY OF INDEPENDENCE",693,7,509,509,275,0,234,0,3,0,0,0,0,0,3,45,0,4,0,41,41,0,0,0,0,0,0,6,0,0,6,5,1,0,2,0,0,2,0,0,0
"86","CITY OF JANESVILLE ROCK","ROCK","CITY OF JANESVILLE",36156,876,32629,32638,0,32629,0,0,721,110,9,34,121,201,246,8799,6488,65,7,8696,8724,4,0,9,7,2,0,124,44,22,47,57,0,1,32,6,0,20,24,0,1
"87","CITY OF JEFFERSON JEFFERSON","JEFFERSON","CITY OF JEFFERSON",4266,84,3619,3619,0,3619,0,0,46,0,0,0,5,17,24,616,402,6,0,605,604,1,2,0,0,0,0,3,1,0,2,2,0,0,2,0,0,2,0,0,0
"88","CITY OF JUNEAU DODGE","DODGE","CITY OF JUNEAU",1230,16,1043,1043,0,1035,8,0,7,0,0,0,1,1,5,110,69,1,0,109,109,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0
"89","CITY OF KAUKAUNA CALUMET","CALUMET","CITY OF KAUKAUNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","CITY OF KAUKAUNA OUTAGAMIE","OUTAGAMIE","CITY OF KAUKAUNA",8888,280,7751,7751,0,7751,0,0,28,0,1,2,7,9,7,3286,2505,24,0,3247,3260,7,0,0,0,0,0,14,6,0,6,8,0,0,2,0,0,2,2,0,0
"91","CITY OF KENOSHA KENOSHA","KENOSHA","CITY OF KENOSHA",52745,1350,45318,45317,27,44997,515,0,440,0,0,0,176,176,88,13486,10046,275,35,13266,13301,39,3,1,0,1,0,167,51,8,75,82,1,1,24,6,0,18,18,0,0
"92","CITY OF KEWAUNEE KEWAUNEE","KEWAUNEE","CITY OF KEWAUNEE",1762,31,1496,1496,0,1493,3,0,7,0,0,0,0,2,5,368,279,3,0,365,365,11,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"93","CITY OF KIEL CALUMET","CALUMET","CITY OF KIEL",168,7,154,154,0,145,9,0,26,0,0,0,1,5,20,39,31,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","CITY OF KIEL MANITOWOC","MANITOWOC","CITY OF KIEL",2100,36,1896,1899,4,1708,184,0,26,0,0,0,1,5,20,384,276,3,0,380,381,0,0,0,0,0,0,4,2,0,1,2,0,0,1,0,0,1,1,0,0
"95","CITY OF LA CROSSE LA CROSSE","LA CROSSE","CITY OF LA CROSSE",33490,1814,27992,27992,1,27951,0,6,281,9,3,1,52,96,120,6736,5070,33,8,6566,6599,7,1,4,3,1,0,75,26,18,27,28,1,1,28,7,1,18,14,2,2
"96","CITY OF LADYSMITH RUSK","RUSK","CITY OF LADYSMITH",1766,21,1430,1429,5,1402,23,0,14,0,0,0,1,0,13,242,108,3,0,243,244,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0
"97","CITY OF LAKE GENEVA WALWORTH","WALWORTH","CITY OF LAKE GENEVA",4280,167,3436,3434,0,3436,0,0,44,0,0,0,10,22,12,1314,863,11,4,1230,1232,1,0,0,0,0,0,4,1,0,3,3,0,0,12,0,0,12,12,0,0
"98","CITY OF LAKE MILLS JEFFERSON","JEFFERSON","CITY OF LAKE MILLS",4047,74,3352,3352,0,3352,0,0,28,0,0,2,15,5,6,739,580,10,1,725,726,2,0,0,0,0,0,12,4,0,7,7,0,1,11,3,0,8,8,0,0
"99","CITY OF LANCASTER GRANT","GRANT","CITY OF LANCASTER",2199,15,1826,1827,0,1569,257,0,7,0,0,0,0,3,4,476,359,4,0,472,472,0,0,0,0,0,0,4,1,0,3,3,0,0,0,0,0,0,0,0,0
"100","CITY OF LODI COLUMBIA","COLUMBIA","CITY OF LODI",1851,54,1670,1670,2,1666,0,0,16,0,0,0,8,7,1,579,494,4,0,574,576,2,0,0,0,0,0,1,1,0,0,0,0,1,6,1,0,5,0,0,0
"101","CITY OF LOYAL CLARK","CLARK","CITY OF LOYAL",742,0,609,609,0,579,30,0,5,0,0,0,0,5,0,60,27,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","CITY OF MADISON DANE","DANE","CITY OF MADISON",182859,4264,150464,150464,0,149794,0,0,2271,57,109,234,771,704,401,30299,18740,1272,534,27093,27165,845,46,154,145,9,0,224,70,2,97,127,1,0,643,134,3,399,470,0,2
"103","CITY OF MANAWA WAUPACA","WAUPACA","CITY OF MANAWA",693,12,550,550,218,0,332,0,7,0,0,0,0,2,5,72,40,0,0,72,71,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"104","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",18453,452,16476,16472,20,15202,1254,0,80,1,1,0,9,29,40,3901,2579,25,11,3849,3864,1,1,0,0,0,0,40,14,4,24,23,0,0,9,0,0,8,8,0,1
"105","CITY OF MARINETTE MARINETTE","MARINETTE","CITY OF MARINETTE",6424,57,4802,4802,968,0,3832,0,33,0,4,0,7,17,6,993,546,31,8,961,721,0,1,0,0,0,0,26,5,2,12,13,1,1,3,0,0,1,1,0,0
"106","CITY OF MARION SHAWANO","SHAWANO","CITY OF MARION",12,0,7,7,0,0,7,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
