"","county","muni_county","municipality","votes_rec_cruz","votes_rec_kasich","votes_rec_other","votes_rec_trump","votes_tot","votes_perc_cruz","votes_perc_kasich","votes_perc_other","votes_perc_trump","trump_prim_won","total_ballots","tch_prop","turnout_perc","sameday_reg_prop","counted_absent_prop","rejected_absent_prop","registrants","late_registrants","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","coll_deg_plus25_2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010","percentage_d_2008","percentage_r_2008","votes_d_2008","votes_r_2008","county_fips","percentage_d_2012","percentage_i_2012","percentage_r_2012","votes_d_2012","votes_i_2012","votes_r_2012","percentage_d_2016","percentage_i_2016","percentage_r_2016","votes_d_2016","votes_i_2016","votes_r_2016","inc_2013","inc_2014","inc_2015","inc_rank","pct_chg_2014","pct_chg_2015","pct_rank","state","name","labor_force","employed","unemp_level","unemp_rate","total_pop","pct_male","pct_female","pct_old","pct_latino","pct_white","pct_black","pct_no_hs","pct_some_hs","pct_hs","pct_some_college","pct_associates","pct_bachelors","pct_graduate","pct_hs_less","electronic","paper","electronic_2012","paper_2012","dem_votes_state","rep_votes_state","dem_votes_state_2012","rep_votes_state_2012","diff","diff_r","paper_ind","electronic_ind","no_paper_trail","has_electronic","swing_state_dummy","swing_state_dummy_exit_small","swing_state_dummy_fte","swing_state_dummy_exit_large","swing_state_dummy_onepct","swing_state_dummy_twopct","swing_state_dummy_threepct","swing_state_dummy_fourpct","swing_state_dummy_fivepct","swing_state_dummy_five_varied","non_swing_states","non_swing_states_dem","swing_states","temp","resid","mean_pop","elec_X_resid","sig","pred_diff_no_electronic","pred_votes_no_electronic","pred_votes_swing","X_Iswing_sta_2","X_Iswing_sta_3","X_Iswing_sta_4","X_Iswing_sta_5","X_Iswing_sta_6","X_Iswing_sta_7","X_Iswing_sta_8","X_Iswing_sta_9","X_Iswing_sta_10","X_Iswing_sta_11","X_Iswing_sta_12","X_IswiXelec_2","X_IswiXelec_3","X_IswiXelec_4","X_IswiXelec_5","X_IswiXelec_6","X_IswiXelec_7","X_IswiXelec_8","X_IswiXelec_9","X_IswiXelec_10","X_IswiXelec_11","X_IswiXelec_12","X_Istate_2","X_Istate_3","X_Istate_4","X_Istate_5","X_Istate_6","X_Istate_7","X_Istate_8","X_Istate_9","X_Istate_10","X_Istate_11","X_Istate_12","X_Istate_13","X_Istate_14","X_Istate_15","X_Istate_16","X_Istate_17","X_Istate_18","X_Istate_19","X_Istate_20","X_Istate_21","X_Istate_22","X_Istate_23","X_Istate_24","X_Istate_25","X_Istate_26","X_Istate_27","X_Istate_28","X_Istate_29","X_Istate_30","X_Istate_31","X_Istate_32","X_Istate_33","X_Istate_34","X_Istate_35","X_Istate_36","X_Istate_37","X_Istate_38","X_Istate_39","X_Istate_40","X_Istate_41","X_Istate_42","X_Istate_43","X_Istate_44","X_Istate_45","X_Istate_46","X_Istate_47","X_Istate_48","X_Istate_49","X_Istate_50","pred_diff_r_no_electronic","pred_votes_r_no_electronic","pred_votes_r_swing","dem_votes_state_no_electronic","rep_votes_state_no_electronic","unemp_test","inc_test","d_pct_no_elec","r_pct_no_elec","dem_pct_state","rep_pct_state","dem_win","dem_win_2012","dem_win_no_electronic","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","log.pop.sq.mile.2010","muni.dense"
"213","MONROE","TOWN OF ADRIAN MONROE","TOWN OF ADRIAN",78,23,8,86,195,40,11.7948717948718,4.1025641025641,44.1025641025641,1,65,1,0.134575569358178,0.0062111801242236,0,0,483,0,"23177","84.37%","7,047","11,442",1065,"19,554",-4395,"-25.94%","18.26%","261.02%","0.35%","36.04%","58.51%","5.45%","0.66%",0,0,2,"9,515","9,675","295","19,485","48.83%","49.65%","1.51%","0.63%",0,2,45379,33762,44673,25.6,95,1.5,506,91.6,30926,2836,17.4,5875,10.9,61.1,4.7,49774,49.6,53,45,10198,8666,55081,49,0.24,49.7,9505,49.4,9637,36,1.12,58.5,7047,213,11442,34947,36414,37678,59,4.2,3.5,32,"WI","Monroe County, WI",23047,"     22,309 ",738,3.2,45116,50.7,49.3,18,3.9,91.9,1.2,5.1,6.7,39.1,22.2,9.4,12.5,5,50.9,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-13,8.799999,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-9.554694,-3.445306,100005.8,-155.4294,0,-10.24433,7241.192,194.1922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-15.30314,11178.47,-263.5255,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.90399083373088,5.32535514522993
"214","ASHLAND","TOWN OF AGENDA ASHLAND","TOWN OF AGENDA",32,8,1,73,114,28.0701754385965,7.01754385964912,0.87719298245614,64.0350877192982,1,38,0,0.138181818181818,0,0,0,275,0,"9844","80.52%","4,136","3,428",362,"7,926",708,"-23.39%","21.56%","136.60%","-5.33%","52.18%","43.25%","4.57%","0.27%",1,0,1,"5,399","2,820","153","8,372","64.49%","33.68%","1.83%","0.27%",1,1,16103,12464,16157,22.6,84.7,0.5,62,83.5,10407,2057,21.7,2705,5.1,167,3.6,38550,15.5,68,31,5818,2634,55003,64.6,0.32,33.8,5387,27.8,2816,52.2,0.92,43.3,4136,72.4,3428,33815,34645,36003,66,2.5,3.9,20,"WI","Ashland County, WI",8127,"      7,784 ",343,4.2,16065,49.9,50.1,20.5,2.2,83.3,0.3,2.4,7,35,21.7,11.5,14.5,7.8,44.4,0,1,NA,NA,1382210,1409467,1613950,1408746,-12.4,9.5,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.581595,-3.818402,100005.8,NA,0,-12.3716,4137.175,1.174738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12.5983,3421.202,-6.797867,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"ES&S Automark",0,1,0,NA,"ES&S Automark",0,"aNone",2.7408400239252,1.2020942240197
"215","KEWAUNEE","TOWN OF AHNAPEE KEWAUNEE","TOWN OF AHNAPEE",95,24,4,87,210,45.2380952380952,11.4285714285714,1.9047619047619,41.4285714285714,0,136,0.264705882352941,0.245487364620939,0.00180505415162455,0.0147058823529412,0,554,0,"12568","85.47%","3,623","6,616",503,"10,742",-2993,"-29.69%","15.12%","267.15%","-2.67%","33.73%","61.59%","4.68%","0.36%",0,0,2,"5,153","5,747","137","11,037","46.69%","52.07%","1.24%","0.36%",0,1,20444,15865,20574,22.4,97.7,0.4,63,95.6,15167,698,13.5,2142,21.7,239,6.4,53588,60.1,55,44,5902,4711,55061,46.8,0.22,52.2,5151,24.2,5746,33.7,0.92,61.6,3623,100.6,6616,40587,42665,42855,30,5.1,0.4,70,"WI","Kewaunee County, WI",11225,"     10,879 ",346,3.1,20545,50.8,49.2,20.7,2.3,95.6,0.4,3.5,5.1,45.6,20.8,10.6,10.7,3.7,54.2,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-13.1,9.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.56255,-2.53745,100005.8,-52.1289,0,-10.34433,3722.838,99.83799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-15.40314,6463.624,-152.3759,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",4.09600984154116,7.09031009929538
"216","LANGLADE","TOWN OF AINSWORTH LANGLADE","TOWN OF AINSWORTH",51,8,6,82,147,34.6938775510204,5.4421768707483,4.08163265306122,55.7823129251701,1,45,0.8,0.142405063291139,0,0.0888888888888889,0,316,0.0444444444444444,"11983","84.23%","3,260","6,436",397,"10,093",-3176,"-28.71%","10.66%","205.38%","-4.05%","32.30%","63.77%","3.93%","0.34%",0,0,2,"4,573","5,816","130","10,519","43.47%","55.29%","1.24%","0.34%",0,2,19410,15489,19977,20.2,96.3,0.7,108,94.9,14699,790,13.2,2045,18.6,135.6,6.6,42389,22.9,50,49,5182,5081,55067,43.6,0.18,55.4,4569,20.6,5810,32.3,0.78,63.8,3260,79.4,6436,36875,38677,39900,52,4.9,3.2,42,"WI","Langlade County, WI",9661,"      9,254 ",407,4.2,19706,50.4,49.6,25.4,1.9,95.1,0.6,3.4,8.5,44.1,21,9.6,9.3,4.2,56,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-11.3,8.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-11.97428,0.674283,100005.8,13.28665,0,-8.544328,3349.835,89.8349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-13.60314,6287.77,-148.2302,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.13113691056019,1.69280172063511
"217","RICHLAND","TOWN OF AKAN RICHLAND","TOWN OF AKAN",20,9,5,52,86,23.2558139534884,10.4651162790698,5.81395348837209,60.4651162790698,1,41,0.780487804878049,0.168724279835391,0.00411522633744856,0,0,243,0,"9924","80.23%","3,577","4,021",364,"7,962",-444,"-28.01%","12.54%","222.12%","-8.01%","44.93%","50.50%","4.57%","0.27%",0,1,2,"4,969","3,573","113","8,655","57.41%","41.28%","1.31%","0.28%",1,2,17662,13688,18021,22.5,97.5,0.6,82,95.4,13058,630,15,2053,20.7,159,5.7,45271,30.7,60,39,5041,3298,55103,57.5,0.22,41.4,4964,19.4,3575,44.9,0.92,50.5,3577,72.8,4021,35440,37126,37838,58,4.8,1.9,64,"WI","Richland County, WI",9351,"      9,058 ",293,3.1,17842,50.5,49.5,23.4,2.2,95.5,0.5,4.1,6.3,40.8,22.1,10.1,10.2,6.5,51.2,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-12.6,9.099998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.61721,-1.98279,100005.8,-35.3749,0,-9.844327,3675.57,98.57038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-14.90314,3928.391,-92.60934,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.42426265459315,2.90340604048365
"218","PORTAGE","TOWN OF ALBAN PORTAGE","TOWN OF ALBAN",77,17,6,81,181,42.5414364640884,9.39226519337017,3.31491712707182,44.7513812154696,1,98,0,0.182156133828996,0,0.0306122448979592,0.0102040816326531,538,0,"46378","82.20%","18,524","17,310",2289,"38,123",1214,"-16.09%","4.18%","253.79%","-3.09%","48.59%","45.41%","6.00%","1.29%",1,0,1,"22,075","16,615","647","39,337","56.12%","42.24%","1.64%","1.28%",1,1,70482,56456,70019,19.9,94.7,0.7,395,92.2,52053,4404,27.5,15525,11.8,131.7,2.6,50996,87.4,63,35,24817,13810,55097,56.3,0.28,42.4,22052,107,16599,48.6,1.18,45.4,18524,457.8,17310,37794,39824,41434,43,5.4,4,13,"WI","Portage County, WI",40535,"     39,287 ",1248,3.1,70337,49.9,50.1,17.3,2.8,92.2,0.6,2.9,5.1,34.3,19.9,9.6,19.3,9,42.3,0,1,NA,NA,1382210,1409467,1613950,1408746,-7.700001,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-7.147284,-0.5527167,100005.8,NA,0,-7.671598,18529.26,5.261324,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-7.898305,17275.67,-34.32645,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"ES&S Automark",0,1,0,NA,"ES&S Automark",0,"aNone",4.47049528266149,5.95143013631668
"219","GREEN","TOWN OF ALBANY GREEN","TOWN OF ALBANY",91,57,8,122,278,32.7338129496403,20.5035971223022,2.87769784172662,43.8848920863309,1,114,0,0.167155425219941,0.00586510263929619,0.0175438596491228,0,682,0,"21670","86.71%","9,121","8,693",977,"18,791",428,"-18.61%","10.64%","277.22%","-2.75%","48.54%","46.26%","5.20%","0.64%",1,0,1,"11,206","7,857","259","19,322","58.00%","40.66%","1.34%","0.63%",1,2,37063,28427,36842,23.3,97.6,0.6,171,94.9,26978,1450,20.6,5856,18.6,158.2,3.9,55584,63.1,62,37,11502,6730,55045,58,0.26,40.7,11196,51.6,7848,48.5,1.04,46.3,9121,195.4,8693,43116,44886,46367,12,4.1,3.3,39,"WI","Green County, WI",21613,"     21,019 ",594,2.7,36971,49.5,50.5,19.8,2.9,95,0.3,2.9,5.3,39.2,22.4,9.3,14.2,6.7,47.4,0,1,NA,NA,1382210,1409467,1613950,1408746,-9.5,5.599998,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.267373,-1.232627,100005.8,NA,0,-9.471598,9123.591,2.590614,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.698304,8675.762,-17.23858,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion ImageCast Evolution","Dominion ImageCast Evolution",0,1,1,NA,"Dominion ImageCast Evolution",0,"aNone",4.14472076954717,7.59816867967663
"220","PEPIN","TOWN OF ALBANY PEPIN","TOWN OF ALBANY",59,11,3,55,128,46.09375,8.59375,2.34375,42.96875,0,39,0.974358974358974,0.10803324099723,0.00277008310249307,0,0,361,0,"4324","86.63%","1,345","2,228",173,"3,746",-883,"-28.30%","24.19%","496.55%","1.27%","35.90%","59.48%","4.62%","0.13%",0,1,2,"1,876","1,794","29","3,699","50.72%","48.50%","0.78%","0.12%",1,2,7335,5692,7469,22.4,98.1,0.5,28,96.9,5516,176,17.1,973,31.3,193.8,4.8,47701,32.2,56,43,2102,1616,55091,50.7,0.14,48.5,1875,5.6,1793,35.9,0.94,59.5,1345,34.6,2228,40587,43125,44487,19,6.3,3.2,43,"WI","Pepin County, WI",4242,"      4,122 ",120,2.8,7390,50.5,49.5,23.7,1.2,97.3,0.4,5.1,4.3,42.9,19.8,10.9,12.2,4.9,52.3,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-14.8,11,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.48325,-4.316746,100005.8,-31.89891,0,-12.04433,1382.064,37.06379,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-17.10314,2176.686,-51.31401,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.47196645255036,4.14192946828231
"221","DANE","TOWN OF ALBION DANE","TOWN OF ALBION",154,49,8,134,345,44.6376811594203,14.2028985507246,2.31884057971015,38.8405797101449,0,196,0,0.15506329113924,0.0055379746835443,0.0204081632653061,0,1264,0,"378210","80.57%","217,506","71,270",15953,"304,729",146236,"0.66%","-14.79%","257.21%","0.18%","71.38%","23.39%","5.24%","10.35%",1,0,1,"216,071","83,644","4,466","304,181","71.03%","27.50%","1.47%","9.91%",1,1,516284,406832,488073,21.2,86.4,5.4,21969,81.1,329941,76891,46.6,189584,4.3,15,1.1,61721,407.7,73,26,205984,73065,55025,71.1,0.26,27.6,215389,799.4,83459,71.4,1.06,23.4,217506,3190.6,71270,49883,51545,53705,4,3.3,4.2,11,"WI","Dane County, WI",316769,"    308,229 ",8540,2.7,502984,49.5,50.5,14.3,6.1,81.2,5,2,3.1,19.4,18.4,9.6,28.1,19.4,24.5,0,1,NA,NA,1382210,1409467,1613950,1408746,0.3000031,-4.200001,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-0.6673267,0.9673298,100005.8,NA,0,0.3284058,217567.8,61.77767,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1016989,71128.67,-141.3314,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",6.01053160982521,14.0004301065895
"222","JACKSON","TOWN OF ALBION JACKSON","TOWN OF ALBION",79,27,11,118,235,33.6170212765957,11.4893617021277,4.68085106382979,50.2127659574468,1,69,0.942028985507246,0.0977337110481586,0.0028328611898017,0,0,706,0,"11091","82.97%","3,821","4,907",474,"9,202",-1086,"-27.88%","25.82%","312.17%","-1.19%","41.52%","53.33%","5.15%","0.31%",0,1,2,"5,298","3,900","115","9,313","56.89%","41.88%","1.23%","0.30%",1,2,20652,15985,20449,22.6,88.9,2.1,336,86.8,13875,2110,14.8,2366,6.6,41.3,5.8,44149,20.7,60,39,5572,3552,55053,57,0.18,42,5297,18.6,3900,41.5,1.04,53.3,3821,94.8,4907,37716,39635,40316,49,5.1,1.7,66,"WI","Jackson County, WI",10438,"     10,079 ",359,3.4,20543,53.6,46.4,20.6,2.9,87,2.2,4.3,9.3,42.8,20.3,9.4,9.6,4.3,56.4,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-15.5,11.3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-11.36707,-4.132934,100005.8,-84.89796,0,-12.74433,3926.294,105.2942,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-17.80314,4793.985,-113.0152,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.03013370027132,6.55260418073052
"223","TREMPEALEAU","TOWN OF ALBION TREMPEALEAU","TOWN OF ALBION",38,11,0,89,138,27.536231884058,7.97101449275362,0,64.4927536231884,1,NA,NA,NA,NA,NA,NA,NA,NA,"16077","84.47%","5,645","7,370",566,"13,581",-1725,"-25.77%","29.14%","234.91%","0.74%","41.57%","54.27%","4.17%","0.46%",0,1,2,"7,605","5,707","169","13,481","56.41%","42.33%","1.25%","0.44%",1,2,29509,22309,28816,24.4,97.5,0.4,89,91.7,20457,1852,17.5,3904,11,229.3,4.7,49143,39.3,63,36,8321,4808,55121,56.5,0.22,42.4,7601,30.4,5703,41.6,0.8,54.3,5645,113.2,7370,39706,41023,42272,37,3.3,3,45,"WI","Trempealeau County, WI",16759,"     16,273 ",486,2.9,29274,50.5,49.5,20,6.2,92,0.4,5.5,7.1,39.1,19.7,10.5,12.1,6,51.7,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-14.9,11.9,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-9.395039,-5.504963,100005.8,-161.143,0,-12.14433,5800.558,155.5577,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-17.20314,7200.258,-169.7416,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.67122451887522,3.97561299214952
"224","POLK","TOWN OF ALDEN POLK","TOWN OF ALDEN",236,60,16,225,537,43.9478584729981,11.1731843575419,2.97951582867784,41.8994413407821,0,92,0,0.0539273153575615,0,0.0217391304347826,0,1706,0,"26328","86.19%","7,568","13,864",1259,"22,691",-6296,"-24.87%","14.64%","210.10%","0.52%","33.35%","61.10%","5.55%","0.77%",0,0,2,"10,073","12,094","406","22,573","44.62%","53.58%","1.80%","0.74%",0,2,43437,33794,44205,22.2,96.9,0.3,101,95.6,32307,1487,19.3,6522,21.7,318.7,4.2,48538,48.4,48,50,10876,11282,55095,44.7,0.32,53.7,10054,73,12075,33.4,1.12,61.1,7568,251.8,13864,38377,40266,41777,42,4.9,3.8,25,"WI","Polk County, WI",24941,"     24,081 ",860,3.4,43698,50.3,49.7,21.6,1.6,95.7,0.4,2.4,5.9,39.2,22.4,11,13.1,6.1,47.5,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-11.3,7.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-9.231408,-2.068591,100005.8,-90.38808,0,-8.544328,7776.549,208.5492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-13.60314,13544.69,-319.3076,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",3.87949981372259,11.9491927811816
"225","WINNEBAGO","TOWN OF ALGOMA WINNEBAGO","TOWN OF ALGOMA",1114,302,64,759,2239,49.7543546225994,13.4881643590889,2.85841893702546,33.8990620812863,0,559,0,0.117585191417753,0.00336558687421119,0.075134168157424,0,4754,0,"103174","83.25%","37,054","43,447",5391,"85,892",-6393,"-18.47%","3.15%","236.52%","-3.68%","43.14%","50.58%","6.28%","2.92%",0,1,2,"45,449","42,122","1,602","89,173","50.97%","47.24%","1.80%","2.91%",1,2,169511,133744,166994,21.1,93.1,1.9,2541,89.8,120102,13642,25.5,34105,8.8,47.3,2.9,51010,384.3,55,44,48167,37946,55139,51.1,0.3,47.4,45410,266.2,42073,43.1,1.26,50.6,37054,1078.2,43447,39247,40892,42399,36,4.2,3.7,26,"WI","Winnebago County, WI",92246,"     89,237 ",3009,3.3,168413,50.3,49.7,17.4,3.7,90.1,1.7,2.2,6,34.2,21.3,10.3,18.4,7.8,42.4,0.0238095,0.9761904,NA,NA,1382210,1409467,1613950,1408746,-8,3.199997,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-6.991733,-1.008267,100005.8,-169.7955,0,-5.244328,38075.09,1021.087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10.30314,42446.36,-1000.646,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion ImageCast Evolution","Dominion ImageCast Evolution",0,1,1,NA,"Dominion ImageCast Evolution",0,"aNone",5.9514234975708,187.635779423897
