"","hindi","county","municipality","reporting_unit","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","ballots_counted_at","total_election_inspectors","split_shifts","difficulty_obtaining","x16_17","x18_25","x26_40","x41_60","x61_70","x71","polling_place_name","shared","provisional_identification","provisional_no_dl","counted","rejected","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_2","rejected2","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late","muni_county","reporting_unit_orig"
"14",1028,"ADAMS","TOWN OF RICHFIELD","TOWN-OF-RICHFIELD-WARD-1-ADAMS","97",0,"9","87","87","87","0","0","0","Polling Place",4,"Yes","2 Somewhat difficult",0,0,0,2,1,1,"RICHFIELD TOWN HALL","No",0,0,0,0,"9","9",0,0,"9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF RICHFIELD ADAMS","TOWN OF RICHFIELD WARD 1 ADAMS"
"15",1030,"ADAMS","TOWN OF ROME","TOWN-OF-ROME-WARD-1-5-ADAMS","2,259",67,"115","1,980","1,980","0","1,980","0","0","Polling Place",7,"Yes","1 Very difficult",0,0,0,2,3,2,"","No",1,0,1,0,"756","623",7,1,"743","743",0,0,0,0,0,0,5,3,0,2,2,0,0,1,0,0,1,1,0,0,"TOWN OF ROME ADAMS","TOWN OF ROME WARD 1-5 ADAMS"
"16",1032,"ADAMS","TOWN OF SPRINGVILLE","TOWN-OF-SPRINGVILLE-WARD-1-2-ADAMS","700",14,"109","657","657","657","0","0","0","Polling Place",7,"Yes","3 Neither difficult nor easy",0,0,0,2,4,1,"SPRINGVILLE TOWN HALL","No",0,0,0,0,"59","30",0,0,"59","59",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"TOWN OF SPRINGVILLE ADAMS","TOWN OF SPRINGVILLE WARD 1-2 ADAMS"
"17",1034,"ADAMS","TOWN OF STRONGS PRAIRIE","TOWN-OF-STRONGS-PRAIRIE-WARD-1-3-ADAMS","720",8,"73","615","615","56","0","559","0","Polling Place",5,"No","3 Neither difficult nor easy",0,0,0,1,2,3,"TOWNHALL","No",0,0,0,0,"49","31",1,0,"48","48",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF STRONGS PRAIRIE ADAMS","TOWN OF STRONGS PRAIRIE WARDS 1-3 ADAMS"
"18",1126,"ADAMS","VILLAGE OF FRIENDSHIP","VILLAGE-OF-FRIENDSHIP-WARD-1-ADAMS","342",19,"40","286","286","286","0","0","0","Polling Place",5,"Yes","2 Somewhat difficult",0,0,0,1,4,0,"FRIENDSHIP VILLAGE HALL","No",0,0,0,0,"57","45",0,0,"57","57",0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"VILLAGE OF FRIENDSHIP ADAMS","VILLAGE OF FRIENDSHIP WARD 1 ADAMS"
"19",1201,"ADAMS","CITY OF ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS","957",15,"115","760","760","0","760","0","0","Polling Place",17,"Yes","4 Somewhat easy",0,0,0,4,9,4,"Adams Municipal Building","No",0,0,0,0,"127","47",10,0,"118","118",0,0,0,0,0,0,2,0,0,2,2,0,0,2,1,0,1,1,0,0,"CITY OF ADAMS ADAMS","CITY OF ADAMS WARD 1-4 ADAMS"
"20",1291,"ADAMS","CITY OF WISCONSIN DELLS","CITY-OF-WISCONSIN-DELLS-WARD-5-9-ADAMS","20",0,"5","22","22","0","22","0","0","Polling Place",9,"No","3 Neither difficult nor easy",0,0,0,1,5,3,"WI Dells Municipal Bldg","No",0,0,0,0,"4","4",0,0,"4","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITY OF WISCONSIN DELLS ADAMS","CITY OF WISCONSIN DELLS WARDS 5,9 ADAMS"
"21",2002,"ASHLAND","TOWN OF AGENDA","TOWN-OF-AGENDA-WARD-1-ASHL-","258",0,"24","230","230","230","0","0","0","Polling Place",3,"No","4 Somewhat easy",0,0,0,0,2,1,"Agenda Town Hall","No",0,0,0,0,"14","8",1,0,"14","14",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"TOWN OF AGENDA ASHLAND","TOWN OF AGENDA WARD 1 ASHLAND"
"22",2004,"ASHLAND","TOWN OF ASHLAND","TOWN-OF-ASHL-WARD-1-ASHL-","359",0,"18","315","315","315","0","0","0","Polling Place",3,"No","3 Neither difficult nor easy",0,0,1,2,0,0,"Highbridge Town Hall","No",0,0,0,0,"28","21",0,0,"28","28",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"TOWN OF ASHLAND ASHLAND","TOWN OF ASHLAND WARD 1 ASHLAND"
"23",2006,"ASHLAND","TOWN OF CHIPPEWA","TOWN-OF-CHIPPEWA-WARD-1-ASHL-","234",0,"29","214","214","140","0","0","74","Polling Place",3,"No","3 Neither difficult nor easy",0,0,0,1,1,1,"Chippewa Town Hall","No",0,0,0,0,"14","10",0,0,"14","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF CHIPPEWA ASHLAND","TOWN OF CHIPPEWA WARD 1 ASHLAND"
"24",2008,"ASHLAND","TOWN OF GINGLES","TOWN-OF-GINGLES-WARD-1-ASHL-","497",1,"47","433","433","432","0","0","1","Polling Place",5,"No","2 Somewhat difficult",0,0,0,0,4,1,"Gingles Town Hall","No",0,0,0,0,"29","16",0,0,"29","29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF GINGLES ASHLAND","TOWN OF GINGLES WARD 1 ASHLAND"
"25",2010,"ASHLAND","TOWN OF GORDON","TOWN-OF-GORDON-WARD-1-2-ASHL-","173",1,"13","151","151","151","0","0","0","Polling Place",4,"Yes","4 Somewhat easy",0,0,0,1,0,3,"Gordon Town Hall","No",0,0,0,0,"12","0",2,0,"10","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF GORDON ASHLAND","TOWN OF GORDON WARDS 1-2 ASHLAND"
"26",2012,"ASHLAND","TOWN OF JACOBS","TOWN-OF-JACOBS-WARD-1-ASHL-","426",0,"31","340","340","334","0","0","6","Polling Place",3,"No","3 Neither difficult nor easy",0,0,1,0,1,1,"Jacobs Town Halls","No",0,0,0,0,"16","11",0,0,"16","15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF JACOBS ASHLAND","TOWN OF JACOBS WARD 1 ASHLAND"
"27",2014,"ASHLAND","TOWN OF LA POINTE","TOWN-OF-LA-POINTE-WARD-1-ASHL-","313",1,"4","247","247","247","0","0","0","Polling Place",6,"Yes","2 Somewhat difficult",0,0,1,4,1,0,"EMS Building","No",0,0,0,0,"70","46",3,0,"67","66",1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,"TOWN OF LA POINTE ASHLAND","TOWN OF LA POINTE WARD 1 ASHLAND"
"28",2016,"ASHLAND","TOWN OF MARENGO","TOWN-OF-MARENGO-WARD-1-2-ASHL-","253",0,"10","212","212","207","0","0","5","Polling Place",5,"No","3 Neither difficult nor easy",0,0,0,4,1,0,"Marengo Town Hall","No",0,0,0,0,"13","4",0,0,"13","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF MARENGO ASHLAND","TOWN OF MARENGO WARDS 1-2 ASHLAND"
"29",2018,"ASHLAND","TOWN OF MORSE","TOWN-OF-MORSE-WARD-1-3-ASHL-","356",0,"14","303","303","303","0","0","0","Polling Place",6,"Yes","3 Neither difficult nor easy",0,0,1,0,1,4,"Morse Town Hall","No",0,0,0,0,"36","16",2,0,"34","34",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF MORSE ASHLAND","TOWN OF MORSE WARDS 1-3 ASHLAND"
"30",2020,"ASHLAND","TOWN OF PEEKSVILLE","TOWN-OF-PEEKSVILLE-WARD-1-2-ASHL-","122",0,"4","95","95","95","0","0","0","Polling Place",3,"Yes","2 Somewhat difficult",0,1,1,0,0,1,"Peeksville Town Hall","No",0,0,0,0,"6","1",0,0,"6","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF PEEKSVILLE ASHLAND","TOWN OF PEEKSVILLE WARDS 1-2 ASHLAND"
"31",2022,"ASHLAND","TOWN OF SANBORN","TOWN-OF-SANBORN-WARD-1-2-ASHL-","674",0,"56","502","502","502","0","0","0","Polling Place",5,"No","3 Neither difficult nor easy",0,0,2,3,1,0,"Sanborn Town Hall","No",0,0,0,0,"13","10",0,0,"13","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF SANBORN ASHLAND","TOWN OF SANBORN WARDS 1-2 ASHLAND"
"32",2024,"ASHLAND","TOWN OF SHANAGOLDEN","TOWN-OF-SHANAGOLDEN-WARD-1-ASHL-","86",0,"1","67","67","57","0","0","10","Polling Place",3,"No","2 Somewhat difficult",0,0,0,0,2,1,"Shanagolden Town Hall","No",0,0,0,0,"12","2",0,0,"12","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF SHANAGOLDEN ASHLAND","TOWN OF SHANAGOLDEN WARD 1 ASHLAND"
"33",2026,"ASHLAND","TOWN OF WHITE RIVER","TOWN-OF-WHITE-RIVER-WARD-1-2-ASHL-","533",0,"41","468","468","468","0","0","0","Polling Place",3,"No","2 Somewhat difficult",0,0,0,1,2,0,"White River Town Hall","No",0,0,0,0,"21","9",0,0,"21","21",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"TOWN OF WHITE RIVER ASHLAND","TOWN OF WHITE RIVER WARDS 1-2 ASHLAND"
"34",2106,"ASHLAND","VILLAGE OF BUTTERNUT","VILLAGE-OF-BUTTERNUT-WARD-1-2-ASHL-","182",0,"27","180","179","166","0","0","13","Polling Place",5,"Yes","5 Very easy",0,0,1,1,0,3,"Village Of Butternut Hall","No",0,0,0,0,"19","8",1,0,"10","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VILLAGE OF BUTTERNUT ASHLAND","VILLAGE OF BUTTERNUT WARDS 1-2 ASHLAND"
"35",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-6-ASHL-","400",11,"62","311","311","311","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,1,3,1,"Senior Community Center","Yes",0,0,0,0,"65","49",0,0,"65","65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 6 ASHLAND"
"36",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-7-ASHL-","618",11,"114","477","476","476","0","0","0","Polling Place",7,"Yes","1 Very difficult",0,0,0,0,6,1,"BRETTING CENTER","Yes",1,0,0,1,"56","35",1,0,"55","55",0,0,0,0,0,0,2,1,0,1,1,0,0,6,0,0,5,5,0,1,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 7 ASHLAND"
"37",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-5-ASHL-","466",8,"42","398","398","398","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,2,3,"National Guard Armory","Yes",0,0,0,0,"90","73",0,0,"90","90",0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,3,3,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 5 ASHLAND"
"38",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-1-ASHL-","557",6,"41","480","481","481","0","0","0","Polling Place",7,"Yes","1 Very difficult",0,0,0,0,3,4,"National Guard Armory","Yes",0,0,0,0,"90","52",3,0,"87","85",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 1 ASHLAND"
"39",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-2-ASHL-","374",6,"53","271","271","271","0","0","0","Polling Place",7,"Yes","1 Very difficult",0,0,0,0,6,1,"Senior Center","Yes",2,2,1,1,"64","28",6,0,"58","58",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 2 ASHLAND"
"40",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-3-ASHL-","373",4,"37","323","323","323","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,2,3,"National Guard Armory","Yes",0,0,0,0,"93","46",7,0,"86","83",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 3 ASHLAND"
"41",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-4-ASHL-","510",7,"43","451","452","452","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,3,2,"National Guard Armory","Yes",0,0,0,0,"88","73",0,0,"88","88",0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 4 ASHLAND"
"42",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-8-ASHL-","414",9,"40","318","318","318","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,1,4,"BRETTING CENTER","Yes",0,0,0,0,"56","38",2,0,"54","54",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 8 ASHLAND"
"43",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-9-ASHL-","352",10,"46","288","288","288","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,0,5,"BRETTING CENTER","Yes",1,1,0,1,"50","41",0,0,"50","50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 9 ASHLAND"
"44",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-11-ASHL-","470",10,"35","384","384","384","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,1,2,2,"BRETTING CENTER","Yes",1,0,1,0,"68","46",1,0,"67","67",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 11 ASHLAND"
"45",2201,"ASHLAND","CITY OF ASHLAND","CITY-OF-ASHL-WARD-10-ASHL-","413",3,"44","344","347","347","0","0","0","Polling Place",5,"Yes","1 Very difficult",0,0,0,0,3,2,"BRETTING CENTER","Yes",1,0,0,1,"51","40",0,0,"51","51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITY OF ASHLAND ASHLAND","CITY OF ASHLAND WARD 10 ASHLAND"
"46",2251,"ASHLAND","CITY OF MELLEN","CITY-OF-MELLEN-WARD-1-ASHL-","363",0,"36","302","302","302","0","0","0","Polling Place",6,"Yes","5 Very easy",0,0,1,3,0,2,"Mellen Senior Center","No",0,0,0,0,"30","7",3,0,"27","23",4,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,"CITY OF MELLEN ASHLAND","CITY OF MELLEN WARD 1 ASHLAND"
"47",3002,"BARRON","TOWN OF ALMENA","TOWN-OF-ALMENA-WARD-1-2-BARRON","561",2,"41","488","488","48","0","440","0","Polling Place",4,"No","5 Very easy",0,0,0,0,4,0,"Almena Town Hall","No",0,0,0,0,"41","6",0,0,"41","41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF ALMENA BARRON","TOWN OF ALMENA WARD 1-2 BARRON"
"48",3004,"BARRON","TOWN OF ARLAND","TOWN-OF-ARL-WARD-1-BARRON","364",0,"37","317","317","17","0","300","0","Polling Place",7,"Yes","4 Somewhat easy",0,0,0,2,3,2,"Arland Town Hall","No",0,0,0,0,"16","10",0,0,"16","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF ARLAND BARRON","TOWN OF ARLAND WARD 1 BARRON"
"49",3006,"BARRON","TOWN OF BARRON","TOWN-OF-BARRON-WARD-1-2-BARRON","444",5,"21","381","381","39","0","342","0","Polling Place",9,"Yes","2 Somewhat difficult",0,0,0,1,4,4,"Barron Town Hall","No",0,0,0,0,"37","25",0,0,"36","36",0,1,0,0,0,0,4,1,0,3,3,0,0,0,0,0,0,0,0,0,"TOWN OF BARRON BARRON","TOWN OF BARRON WARD 1-2 BARRON"
"50",3008,"BARRON","TOWN OF BEAR LAKE","TOWN-OF-BEAR-LAKE-WARD-1-BARRON","451",5,"33","389","389","61","0","328","0","Polling Place",7,"Yes","4 Somewhat easy",0,0,0,0,4,3,"Town of Bear Lake","No",0,0,0,0,"50","25",0,1,"48","48",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF BEAR LAKE BARRON","TOWN OF BEAR LAKE WARD 1 BARRON"
"51",3010,"BARRON","TOWN OF CEDAR LAKE","TOWN-OF-CEDAR-LAKE-WARD-1-BARRON","804",10,"51","705","705","0","230","475","0","Polling Place",11,"No","2 Somewhat difficult",0,0,0,2,9,0,"Cedar Lake Town Hall","No",0,0,0,0,"105","10",0,0,"105","0",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"TOWN OF CEDAR LAKE BARRON","TOWN OF CEDAR LAKE WARD 1 BARRON"
"52",3012,"BARRON","TOWN OF CHETEK","TOWN-OF-CHETEK-WARD-1-2-BARRON","1,211",24,"112","1,067","1,068","148","0","919","0","Polling Place",10,"Yes","4 Somewhat easy",0,0,0,1,9,0,"Town of Chetek","No",0,0,0,0,"126","101",3,1,"126","126",1,0,1,0,1,0,3,2,0,1,1,0,0,1,0,0,1,1,0,0,"TOWN OF CHETEK BARRON","TOWN OF CHETEK WARDS 1-2 BARRON"
"53",3014,"BARRON","TOWN OF CLINTON","TOWN-OF-CLINTON-WARD-1-BARRON","394",0,"42","363","363","51","0","312","0","Polling Place",3,"Yes","4 Somewhat easy",0,0,1,3,2,0,"Town of Clinton Community","No",0,0,0,0,"28","10",1,0,"27","27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF CLINTON BARRON","TOWN OF CLINTON WARD 1 BARRON"
"54",3016,"BARRON","TOWN OF CRYSTAL LAKE","TOWN-OF-CRYSTAL-LAKE-WARD-1-BARRON","433",0,"66","414","414","26","0","388","0","Polling Place",7,"Yes","3 Neither difficult nor easy",0,0,1,0,5,1,"Crystal Lake Townhall","No",0,0,0,0,"24","18",0,0,"24","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF CRYSTAL LAKE BARRON","TOWN OF CRYSTAL LAKE WARD 1 BARRON"
"55",3018,"BARRON","TOWN OF CUMBERLAND","TOWN-OF-CUMBERL-WARD-1-BARRON","534",2,"39","468","468","47","0","421","0","Polling Place",6,"Yes","3 Neither difficult nor easy",0,0,0,1,3,2,"Town Hall","No",0,0,0,0,"39","28",0,0,"39","39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF CUMBERLAND BARRON","TOWN OF CUMBERLAND WARD 1 BARRON"
"56",3020,"BARRON","TOWN OF DALLAS","TOWN-OF-DALLAS-WARD-1-BARRON","325",0,"30","289","289","36","0","253","0","Polling Place",6,"Yes","3 Neither difficult nor easy",0,0,1,2,3,0,"Town of Dallas","No",0,0,0,0,"18","2",0,0,"18","18",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"TOWN OF DALLAS BARRON","TOWN OF DALLAS WARD 1 BARRON"
"57",3022,"BARRON","TOWN OF DOVRE","TOWN-OF-DOVRE-WARD-1-BARRON","428",0,"60","388","388","115","0","273","0","Polling Place",9,"Yes","2 Somewhat difficult",0,0,0,7,2,0,"Town Hall","No",0,0,0,0,"26","15",1,0,"25","24",1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,"TOWN OF DOVRE BARRON","TOWN OF DOVRE WARD 1 BARRON"
