ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Democrat,Republican,Richard V. Campagna/ Michael Badnarik,Patricia LaMarche/ David Cobb,Peter Miguel Camejo/ Ralph Nader,Margaret Trowe/ James Harris,Mary Alice Herbert/ Walter F. Brown,Scattering ,other.votes,Total.votes
02-Nov-04,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Village,116,Dallas,3116,2,,75,101,0,1,2,0,0,0,3,179
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,136,Haugen,3136,2,,93,66,0,0,0,0,0,0,0,159
02-Nov-04,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Village,151,New Auburn,3151,2,Ward 2,4,5,0,0,0,0,0,0,0,9
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,171,Prairie Farm,3171,2,,140,121,0,1,1,0,1,0,3,264
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,186,Turtle Lake,3186,2,Ward 1,286,146,1,0,2,1,0,3,7,439
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,206,Barron,3206,2,Wards 1 - 7,752,809,2,1,9,0,1,4,17,1578
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,211,Chetek,3211,2,Wards 1 - 4,636,520,1,1,5,0,0,2,9,1165
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,212,Cumberland,3212,2,Wards 1 - 5,669,529,0,0,8,0,0,0,8,1206
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,276,Rice Lake,3276,9,Wards 1 - 4,445,377,3,1,10,0,0,2,16,838
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,276,Rice Lake,3276,10,Wards 5 - 8,606,590,1,0,6,0,0,2,9,1205
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,276,Rice Lake,3276,11,Wards 9 - 13,561,576,2,1,8,0,0,1,12,1149
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,276,Rice Lake,3276,12,Wards 14 - 17,556,580,0,0,5,0,0,3,8,1144
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,2,Barksdale,4002,2,,264,200,1,0,3,0,0,0,4,468
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,4,Barnes,4004,2,,309,266,2,1,9,0,0,1,13,588
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,6,Bayfield,4006,2,,310,174,0,1,2,0,0,0,3,487
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,8,Bayview,4008,2,,181,141,0,0,2,0,0,0,2,324
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,10,Bell,4010,2,,123,73,0,0,3,0,0,0,3,199
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,12,Cable,4012,2,,254,287,1,0,2,0,0,0,3,544
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,14,Clover,4014,2,,102,65,1,0,2,0,0,0,3,170
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,16,Delta,4016,2,,118,96,0,0,2,0,0,0,2,216
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,18,Drummond,4018,2,,194,138,1,0,2,0,0,0,3,335
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,20,Eileen,4020,2,Wards 1 & 2,228,188,0,0,4,0,0,0,4,420
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,21,Grand View,4021,2,,196,135,0,0,3,0,0,0,3,334
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,22,Hughes,4022,2,,142,121,0,2,2,0,0,0,4,267
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,24,Iron River,4024,2,Wards 1 & 2,440,291,2,0,1,0,0,0,3,734
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,26,Kelly,4026,2,,126,103,0,1,0,0,0,0,1,230
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,28,Keystone,4028,2,,120,73,0,0,1,0,0,0,1,194
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,30,Lincoln,4030,2,,105,89,0,0,1,0,0,0,1,195
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,32,Mason,4032,2,,94,85,1,0,0,0,0,0,1,180
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,34,Namakagon,4034,2,,119,125,0,0,0,0,0,0,0,244
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,36,Orienta,4036,2,,46,32,0,0,1,0,0,0,1,79
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,38,Oulu,4038,2,,185,124,0,0,2,0,0,0,2,311
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,40,Pilsen,4040,2,,114,50,0,0,1,0,0,1,2,166
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,42,Port Wing,4042,2,,198,105,0,0,5,0,0,0,5,308
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,46,Russell,4046,2,Wards 1 & 2,460,100,1,2,4,0,0,0,7,567
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,48,Tripp,4048,2,,56,57,0,0,0,0,0,0,0,113
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,50,Washburn,4050,2,,220,117,0,0,2,0,0,1,3,340
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Village,151,Mason,4151,2,,31,21,2,0,0,0,0,0,2,54
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,201,Ashland,4201,1,Ward 12,0,0,0,0,0,0,0,0,0,0
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,206,Bayfield,4206,2,Wards 1 - 4,256,115,0,2,1,1,0,0,4,375
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,291,Washburn,4291,8,Wards 1 - 4,854,383,2,3,15,0,0,0,20,1257
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,10,Eaton,5010,3,Wards 1 & 2,391,465,1,0,6,0,0,0,7,863
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,12,Glenmore,5012,4,Wards 1 & 2,250,423,1,1,3,0,1,1,7,680
02-Nov-04,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,14,Green Bay,5014,2,Wards 1 & 2,434,626,0,5,5,0,1,1,12,1072
02-Nov-04,FALL,GENERAL,PRES,President,8,1,3,3,5,Brown,Town,18,Holland,5018,2,Wards 1 & 2,323,497,5,1,2,0,0,0,8,828
02-Nov-04,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,22,Humboldt,5022,2,Wards 1 & 2,302,413,1,2,2,0,0,0,5,720
02-Nov-04,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Town,24,Lawrence,5024,2,Wards 1 - 3,507,1023,1,0,7,0,1,3,12,1542
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,25,Ledgeview,5025,2,Wards 1 - 4,838,1527,2,0,6,1,0,2,11,2376
02-Nov-04,FALL,GENERAL,PRES,President,8,1,3,3,5,Brown,Town,26,Morrison,5026,2,Wards 1 & 2,295,625,3,4,2,0,0,1,10,930
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,28,New Denmark,5028,2,Wards 1 - 3,396,528,2,0,6,0,0,1,9,933
02-Nov-04,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Town,30,Pittsfield,5030,2,Wards 1 - 4,559,934,5,0,6,0,0,0,11,1504
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,34,Rockland,5034,2,Wards 1 & 2,363,666,4,0,0,1,0,0,5,1034
02-Nov-04,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,36,Scott,5036,2,Wards 1 - 4,921,1119,2,3,14,0,1,4,24,2064
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,Town,36,Scott,5036,3,Ward 5,33,37,0,0,0,0,0,0,0,70
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,40,Wrightstown,5040,4,Wards 1 - 3,483,679,2,5,4,0,1,5,17,1179
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,5,Wards 1 & 2,872,829,7,0,7,0,2,0,16,1717
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,6,Wards 3 & 4,1014,1176,10,3,9,0,1,0,23,2213
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,7,Wards 5 & 6,920,1471,8,1,10,0,3,2,24,2415
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,9,Wards 7 - 9,783,1130,4,1,10,0,1,2,18,1931
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,10,Wards 1 & 2,649,636,3,2,7,0,0,0,12,1297
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,11,Wards 3 & 4,695,773,3,4,8,0,0,0,15,1483
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,12,Wards 5 & 6,703,928,0,0,7,0,0,2,9,1640
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,13,Wards 7 & 8,622,1008,4,0,7,0,0,2,13,1643
02-Nov-04,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Village,104,Ashwaubenon,5104,14,Ward 9,248,369,0,0,2,0,0,0,2,619
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,15,Ward 10,483,655,3,0,5,0,0,1,9,1147
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,16,Wards 11 & 12,620,996,3,0,11,0,0,2,16,1632
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,106,Bellevue,5106,1,Wards 1 - 6,1416,1750,2,3,20,1,2,2,30,3196
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,106,Bellevue,5106,2,Wards 7 - 10,1313,2101,5,2,11,0,0,3,21,3435
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,116,Denmark,5116,3,Wards 1 - 3,512,566,0,0,5,0,0,2,7,1085
02-Nov-04,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Village,126,Hobart,5126,1,Wards 1 - 7,1196,2019,6,1,10,0,1,4,22,3237
02-Nov-04,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,136,Howard,5136,9,Wards 1 - 8,1600,2118,5,6,27,1,5,5,49,3767
02-Nov-04,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,136,Howard,5136,10,Wards 9 - 16,1897,2980,10,1,13,1,3,8,36,4913
02-Nov-04,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,171,Pulaski,5171,2,Wards 1 - 3 & 6,574,708,2,1,9,0,1,1,14,1296
02-Nov-04,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,178,Suamico,5178,1,Wards 1 - 3 & 10,790,1431,3,0,8,0,0,1,12,2233
02-Nov-04,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,178,Suamico,5178,2,Ward 7,222,528,1,0,2,0,0,1,4,754
02-Nov-04,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,178,Suamico,5178,3,"Wards 4 - 6, 8 & 9",1035,1902,5,1,16,0,1,2,25,2962
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,191,Wrightstown,5191,2,Wards 1 & 2,456,691,3,0,7,0,0,0,10,1157
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,10,Wards 1 - 3,1262,1880,3,3,23,0,0,0,29,3171
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,11,Wards 4 - 7,1294,1600,6,1,11,0,0,2,20,2914
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,12,Wards 8 - 10,1331,1386,4,2,15,0,3,1,25,2742
02-Nov-04,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,13,Wards 11 - 14,1267,1872,5,0,11,0,0,1,17,3156
02-Nov-04,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,City,216,De Pere,5216,14,Ward 15,2,2,0,0,0,0,0,0,0,4
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,49,Ward 1,522,632,1,0,7,0,1,1,10,1164
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,50,Ward 2,624,591,4,0,14,0,0,0,18,1233
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,51,Ward 3,522,709,5,1,3,0,1,1,11,1242
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,52,Ward 4,540,539,4,1,12,1,0,0,18,1097
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,53,Ward 5,588,794,2,1,7,0,0,1,11,1393
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,54,Ward 6,484,369,2,0,7,0,0,1,10,863
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,55,Ward 7,692,817,1,0,8,0,0,1,10,1519
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,56,Ward 8,625,721,7,0,3,0,0,0,10,1356
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,57,Ward 9,394,602,3,0,3,0,0,2,8,1004
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,58,Ward 10,483,682,1,1,3,0,2,1,8,1173
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,59,Ward 11,454,458,0,1,9,0,0,0,10,922
02-Nov-04,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,60,Ward 12,380,318,3,0,6,0,0,0,9,707
