County Name,Municipality Name,Reporting Unit,Original or recount,Total Votes,Donald J. Trump / Michael R. Pence,Hillary Clinton / Tim Kaine,Darrell L. Castle / Scott N. Bradley,Gary Johnson / Bill Weld,Jill Stein / Ajamu Baraka,Monica Moorehead / Lamont Lilly,Rocky Roque De La Fuente / Michael Steinberg,Cherunda Fox / Roger Kushner (write-in),Evan McMullin / Nathan Johnson (write-in),Michael A. Maturen / Juan Munoz (write-in),Marshall Schoenke / James Creighton Mitchell Jr. (write-in),Chris Keniston / Deacon Taylor (write-in),Laurence Kotlikoff / Edward E. Leamer (write-in),Tom Hoefling / Steve Schulin (write-in),Joseph Maldonado (write-in),Emidio Soltysik / Angela Nicole Walker (write-in),SCATTERING
BARRON ,TOWN OF BARRON,TOWN OF BARRON Ward 1-2,Original,375,255,97,2,16,1,0,0,0,4,0,0,0,0,0,0,0,0
BARRON ,TOWN OF BEAR LAKE,TOWN OF BEAR LAKE Ward 1,Original,376,225,133,1,10,5,2,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CEDAR LAKE,TOWN OF CEDAR LAKE Ward 1,Original,696,470,210,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CHETEK,TOWN OF CHETEK Wards 1-2,Original,1054,650,375,0,22,6,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CLINTON,TOWN OF CLINTON Ward 1,Original,355,220,112,3,19,0,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CRYSTAL LAKE,TOWN OF CRYSTAL LAKE Ward 1,Original,411,266,137,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CUMBERLAND,TOWN OF CUMBERLAND Ward 1,Original,464,269,166,2,22,0,0,0,0,0,0,0,0,0,0,0,0,5
BARRON ,TOWN OF DALLAS,TOWN OF DALLAS Ward 1,Original,288,191,78,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0
BARRON ,TOWN OF DOVRE,TOWN OF DOVRE Ward 1,Original,385,231,138,2,11,2,0,0,0,0,0,0,0,0,0,0,0,1
BARRON ,TOWN OF DOYLE,TOWN OF DOYLE Ward 1-2,Original,288,210,67,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF LAKELAND,TOWN OF LAKELAND Ward 1-2,Original,563,341,201,1,15,3,0,1,0,1,0,0,0,0,0,0,0,0
BARRON ,TOWN OF MAPLE GROVE,TOWN OF MAPLE GROVE Ward 1-2,Original,485,342,110,4,23,2,1,0,0,0,0,0,0,0,0,0,0,3
BARRON ,TOWN OF MAPLE PLAIN,TOWN OF MAPLE PLAIN Ward 1,Original,480,257,207,1,9,4,0,0,0,1,0,0,0,0,0,0,0,1
BARRON ,TOWN OF OAK GROVE,TOWN OF OAK GROVE Ward 1-2,Original,491,298,177,1,11,1,0,0,0,1,0,0,0,0,0,0,0,2
BARRON ,TOWN OF PRAIRIE FARM,TOWN OF PRAIRIE FARM Wards 1-2,Original,278,169,92,3,9,4,0,0,0,0,0,0,0,0,0,0,0,1
BARRON ,TOWN OF PRAIRIE LAKE,TOWN OF PRAIRIE LAKE Ward 1-2,Original,851,555,261,5,25,5,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF RICE LAKE,TOWN OF RICE LAKE Wards 1-4,Original,1602,946,580,3,32,12,0,1,0,7,0,0,0,1,0,0,0,20
BARRON ,TOWN OF SIOUX CREEK,TOWN OF SIOUX CREEK Ward 1,Original,294,184,94,3,11,0,0,0,0,2,0,0,0,0,0,0,0,0
BARRON ,TOWN OF STANFOLD,TOWN OF STANFOLD Ward 1,Original,381,243,122,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1
BARRON ,TOWN OF STANLEY,TOWN OF STANLEY Ward 1-4,Original,1315,834,407,7,40,13,0,1,0,5,0,0,1,0,0,0,0,7
BARRON ,TOWN OF SUMNER,TOWN OF SUMNER Ward 1,Original,392,249,128,0,10,1,0,0,0,2,0,0,0,0,0,0,0,2
BARRON ,TOWN OF TURTLE LAKE,TOWN OF TURTLE LAKE Ward 1,Original,296,195,89,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF VANCE CREEK,TOWN OF VANCE CREEK Ward 1,Original,343,210,113,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF ALMENA,VILLAGE OF ALMENA Ward 1,Original,303,209,74,1,11,6,1,1,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF CAMERON,VILLAGE OF CAMERON Wards 1-3,Original,793,504,246,3,25,6,0,0,0,1,0,0,0,0,0,0,0,8
BARRON ,VILLAGE OF DALLAS,VILLAGE OF DALLAS Ward 1,Original,180,113,60,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF HAUGEN,VILLAGE OF HAUGEN Ward 1,Original,159,85,65,3,2,1,0,0,0,2,0,0,0,0,0,0,0,1
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 2,Original,10,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 3,Original,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF PRAIRIE FARM,VILLAGE OF PRAIRIE FARM Ward 1,Original,192,122,60,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF TURTLE LAKE,VILLAGE OF TURTLE LAKE Ward 1,Original,376,220,129,1,17,6,1,0,1,0,0,0,0,0,0,0,0,1
BARRON ,CITY OF BARRON,CITY OF BARRON Ward 1-7,Original,1350,757,506,10,46,15,2,2,0,0,0,0,0,0,0,0,0,12
BARRON ,CITY OF CHETEK,CITY OF CHETEK Wards 1-4,Original,1016,582,379,6,36,6,1,0,0,4,0,0,2,0,0,0,0,0
BARRON ,CITY OF CUMBERLAND,CITY OF CUMBERLAND Ward 1-4,Original,1114,597,458,3,39,8,1,1,0,0,0,0,0,0,0,0,0,7
BARRON ,CITY OF RICE LAKE,CITY OF RICE LAKE Wards 1-13,Original,3885,2114,1551,20,148,43,3,1,0,5,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BARKSDALE,TOWN OF BARKSDALE Ward 1,Original,474,220,233,4,8,7,0,0,0,2,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BARNES,TOWN OF BARNES Ward 1,Original,568,293,254,1,11,5,0,1,0,3,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BAYFIELD,TOWN OF BAYFIELD Ward 1,Original,495,146,326,0,6,15,0,0,0,2,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BAYVIEW,TOWN OF BAYVIEW Ward 1,Original,335,141,183,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BELL,TOWN OF BELL Ward 1,Original,232,83,136,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF CABLE,TOWN OF CABLE Ward 1,Original,512,299,193,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF CLOVER,TOWN OF CLOVER Ward 1,Original,174,76,86,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF DELTA,TOWN OF DELTA Ward 1,Original,205,113,84,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF DRUMMOND,TOWN OF DRUMMOND Ward 1,Original,333,169,153,0,4,4,1,0,0,2,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF EILEEN,TOWN OF EILEEN Ward 1-2,Original,414,220,178,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF GRAND VIEW,TOWN OF GRAND VIEW Ward 1,Original,292,147,131,0,6,6,0,1,0,1,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF HUGHES,TOWN OF HUGHES Ward 1,Original,299,163,130,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF IRON RIVER,TOWN OF IRON RIVER Ward 1-2,Original,731,384,322,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF KELLY,TOWN OF KELLY Ward 1,Original,259,147,97,1,4,4,0,0,0,1,4,0,1,0,0,0,0,0
BAYFIELD ,TOWN OF KEYSTONE,TOWN OF KEYSTONE Ward 1,Original,197,104,83,2,5,1,0,1,0,0,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF LINCOLN,TOWN OF LINCOLN Ward 1,Original,182,103,65,2,3,6,0,1,0,1,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF MASON,TOWN OF MASON Ward 1,Original,165,89,74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF NAMAKAGON,TOWN OF NAMAKAGON Ward 1,Original,236,133,100,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF ORIENTA,TOWN OF ORIENTA Ward 1,Original,90,46,39,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF OULU,TOWN OF OULU Ward 1,Original,336,166,148,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF PILSEN,TOWN OF PILSEN Ward 1,Original,139,59,74,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF PORT WING,TOWN OF PORT WING Ward 1,Original,262,109,146,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF RUSSELL,TOWN OF RUSSELL Ward 1-2,Original,529,89,404,1,4,28,0,1,0,2,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF TRIPP,TOWN OF TRIPP Ward 1,Original,140,78,54,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF WASHBURN,TOWN OF WASHBURN Ward 1,Original,341,130,196,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,VILLAGE OF MASON,VILLAGE OF MASON Ward 1,Original,41,18,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF ASHLAND,CITY OF ASHLAND Ward 12,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF BAYFIELD,CITY OF BAYFIELD Ward 1-4,Original,346,73,253,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF WASHBURN,CITY OF WASHBURN Ward 1-4,Original,1202,327,792,3,31,39,2,1,0,7,0,0,0,0,0,0,0,0
BROWN ,TOWN OF EATON,TOWN OF EATON Wards 1-2,Original,927,591,291,5,24,9,0,0,0,1,0,0,0,0,0,0,0,6
BROWN ,TOWN OF GLENMORE,TOWN OF GLENMORE Wards 1-2,Original,594,391,167,4,22,3,0,1,0,1,0,0,0,0,0,0,0,5
BROWN ,TOWN OF GREEN BAY,TOWN OF GREEN BAY Wards 1-3,Original,1215,800,363,8,26,10,1,0,0,4,0,0,0,0,0,0,0,3
BROWN ,TOWN OF HOLLAND,TOWN OF HOLLAND Wards 1-2,Original,894,570,272,1,37,4,0,2,0,4,0,0,0,0,0,0,0,4
BROWN ,TOWN OF HUMBOLDT,TOWN OF HUMBOLDT Wards 1-2,Original,748,488,222,2,22,5,0,2,0,3,0,0,0,0,0,0,0,4
BROWN ,TOWN OF LAWRENCE,TOWN OF LAWRENCE Wards 1-3,Original,1408,842,483,6,44,10,0,0,0,8,0,0,0,0,0,0,0,15
BROWN ,TOWN OF LAWRENCE,TOWN OF LAWRENCE Wards 4-6,Original,1666,1065,507,4,63,11,0,0,0,4,0,0,0,0,0,0,0,12
BROWN ,TOWN OF LEDGEVIEW,"TOWN OF LEDGEVIEW Wards 1-3,8-10",Original,2318,1315,851,6,100,14,2,1,0,7,0,0,0,0,0,0,0,22
BROWN ,TOWN OF LEDGEVIEW,TOWN OF LEDGEVIEW Wards 4-7,Original,2013,1154,729,4,87,19,0,1,0,3,0,0,0,0,0,0,0,16
BROWN ,TOWN OF MORRISON,TOWN OF MORRISON Wards 1-2,Original,879,653,173,4,39,6,2,0,0,0,0,0,0,0,0,0,0,2
BROWN ,TOWN OF NEW DENMARK,TOWN OF NEW DENMARK Wards 1-3,Original,940,598,294,4,30,9,0,0,0,3,0,0,0,0,0,0,0,2
BROWN ,TOWN OF PITTSFIELD,TOWN OF PITTSFIELD Wards 1-3,Original,1645,1077,480,3,64,10,1,0,0,5,0,0,0,0,0,0,0,5
BROWN ,TOWN OF ROCKLAND,TOWN OF ROCKLAND Wards 1-3,Original,1095,692,338,10,37,7,0,0,0,4,2,0,0,0,0,0,0,5
BROWN ,TOWN OF SCOTT,TOWN OF SCOTT Wards 1-4,Original,2274,1294,868,8,58,18,1,2,0,0,0,0,0,0,0,0,0,25
BROWN ,TOWN OF WRIGHTSTOWN,TOWN OF WRIGHTSTOWN Wards 1-3,Original,1250,820,365,4,39,9,0,0,0,3,1,0,0,0,0,0,0,9
BROWN ,VILLAGE OF ALLOUEZ,VILLAGE OF ALLOUEZ Ward 1-2,Original,2057,857,1013,11,106,35,0,1,0,12,0,0,0,0,0,0,0,22
BROWN ,VILLAGE OF ALLOUEZ,VILLAGE OF ALLOUEZ Ward 3-4,Original,1792,848,850,4,55,9,0,2,0,3,0,0,1,0,0,0,0,20
BROWN ,VILLAGE OF ALLOUEZ,VILLAGE OF ALLOUEZ Ward 5-6,Original,2277,1134,988,6,85,11,2,2,0,17,0,0,0,0,0,0,0,32
BROWN ,VILLAGE OF ALLOUEZ,VILLAGE OF ALLOUEZ Ward 7-9,Original,1849,926,801,3,64,19,2,2,0,13,0,0,0,0,0,0,0,19
BROWN ,VILLAGE OF ALLOUEZ,VILLAGE OF ALLOUEZ Ward 10,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 1-2,Original,1234,592,521,12,69,19,1,1,0,2,0,0,0,0,0,0,0,17
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 3-4,Original,1259,668,501,10,46,21,0,0,0,0,0,0,0,0,0,0,0,13
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 5-6,Original,1476,738,642,8,60,14,0,1,0,0,0,0,0,0,0,0,0,13
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 7-8,Original,1747,964,681,3,64,14,0,1,0,6,0,0,0,0,0,0,0,14
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 9-10,Original,1943,1106,721,5,74,16,0,0,0,5,0,0,0,0,0,0,0,16
BROWN ,VILLAGE OF ASHWAUBENON,VILLAGE OF ASHWAUBENON Wards 11-12,Original,1647,804,735,3,62,16,0,1,0,7,0,0,0,0,0,0,0,19
BROWN ,VILLAGE OF BELLEVUE,VILLAGE OF BELLEVUE Wards 1-6,Original,3726,1816,1689,15,137,36,1,1,0,2,0,0,0,0,0,0,0,29
BROWN ,VILLAGE OF BELLEVUE,VILLAGE OF BELLEVUE Wards 7-10,Original,4261,2406,1628,15,145,27,1,0,0,0,3,0,0,0,0,0,0,36
BROWN ,VILLAGE OF DENMARK,VILLAGE OF DENMARK Wards 1-3,Original,1067,645,361,1,38,11,0,2,0,4,0,0,0,0,0,0,0,5
BROWN ,VILLAGE OF HOBART,VILLAGE OF HOBART Wards 1-8,Original,4615,2623,1701,16,166,46,3,1,0,1,0,0,0,0,0,0,0,58
BROWN ,VILLAGE OF HOBART,VILLAGE OF HOBART Ward 9,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWN ,VILLAGE OF HOWARD,"VILLAGE OF HOWARD Wards 1,12",Original,1108,640,399,5,38,11,1,1,0,2,0,0,0,0,0,0,0,11
BROWN ,VILLAGE OF HOWARD,"VILLAGE OF HOWARD Wards 2,8,11",Original,2487,1408,944,7,80,16,1,0,0,8,0,0,0,0,0,0,0,23
BROWN ,VILLAGE OF HOWARD,"VILLAGE OF HOWARD Wards 3-4,6",Original,1339,691,556,1,54,22,2,0,0,0,0,0,0,0,0,0,0,13
BROWN ,VILLAGE OF HOWARD,VILLAGE OF HOWARD Ward 5,Original,379,229,129,0,15,2,0,0,0,0,0,0,0,0,0,0,0,4
BROWN ,VILLAGE OF HOWARD,VILLAGE OF HOWARD Ward 7,Original,678,406,239,4,22,3,0,0,0,0,0,0,0,0,0,0,0,4
BROWN ,VILLAGE OF HOWARD,"VILLAGE OF HOWARD Wards 9-10,18",Original,1768,956,712,2,68,16,1,0,0,9,0,0,0,0,0,0,0,4
BROWN ,VILLAGE OF HOWARD,VILLAGE OF HOWARD Wards 13-14,Original,1116,678,382,7,37,6,0,0,0,1,0,0,0,0,0,0,0,5
BROWN ,VILLAGE OF HOWARD,VILLAGE OF HOWARD Wards 15-16,Original,1476,908,490,5,49,12,0,0,0,0,0,0,0,0,0,0,0,12
BROWN ,VILLAGE OF PULASKI,"VILLAGE OF PULASKI Wards 1-3,6",Original,1525,912,523,6,56,15,3,2,0,3,1,0,0,0,0,0,0,4
BROWN ,VILLAGE OF SUAMICO,VILLAGE OF SUAMICO Ward 1-4,Original,3351,2233,959,11,98,13,0,1,0,9,0,0,0,0,0,0,0,27
BROWN ,VILLAGE OF SUAMICO,VILLAGE OF SUAMICO Ward 5-8,Original,3980,2515,1241,10,161,19,1,0,0,8,2,0,0,0,0,0,0,23
BROWN ,VILLAGE OF WRIGHTSTOWN,VILLAGE OF WRIGHTSTOWN Wards 1-3,Original,1374,836,448,5,61,12,1,1,0,6,0,0,0,0,0,0,0,4
BROWN ,CITY OF DE PERE,CITY OF DE PERE Wards 1-4,Original,3558,1698,1645,9,136,30,2,0,0,4,1,0,0,0,2,0,0,31
BROWN ,CITY OF DE PERE,CITY OF DE PERE Ward 5,Original,231,88,131,1,6,3,0,0,0,0,0,0,0,0,0,0,0,2
BROWN ,CITY OF DE PERE,CITY OF DE PERE Wards 6-8,Original,2511,1189,1113,13,120,36,1,2,0,8,0,0,0,0,0,0,0,29
BROWN ,CITY OF DE PERE,"CITY OF DE PERE Wards 9,18",Original,645,312,285,1,25,9,0,0,0,5,0,0,0,0,0,0,0,8
BROWN ,CITY OF DE PERE,CITY OF DE PERE Wards 10-12,Original,3070,1485,1348,12,143,37,2,1,0,0,0,0,0,0,0,0,0,42
BROWN ,CITY OF DE PERE,CITY OF DE PERE Wards 13-15,Original,3220,1712,1292,12,136,22,0,8,0,11,0,0,0,0,0,0,0,27
BROWN ,CITY OF DE PERE,CITY OF DE PERE Wards 16-17,Original,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY Ward 1,Original,14,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY Ward 2,Original,1226,641,511,3,45,8,0,0,0,4,0,0,0,0,0,0,0,14
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY Ward 3,Original,1769,675,900,8,106,49,1,3,0,4,0,0,0,0,0,0,0,23
