County,,,Muni,HINDI,ward,Voter Count,
ASHLAND COUNTY,,,TOWN OF CHIPPEWA - ASHLAND COUNTY,02006,Town of Chippewa - Ward 1,234,
ASHLAND COUNTY,,,TOWN OF GINGLES - ASHLAND COUNTY,02008,Town of Gingles - Ward 1,489,
ASHLAND COUNTY,,,TOWN OF GORDON - ASHLAND COUNTY,02010,Town of Gordon - Ward 1,50,
ASHLAND COUNTY,,,TOWN OF GORDON - ASHLAND COUNTY,02010,Town Of Gordon - Ward 2,122,
ASHLAND COUNTY,,,TOWN OF JACOBS - ASHLAND COUNTY,02012,Town of Jacobs - Ward 1,454,
ASHLAND COUNTY,,,TOWN OF LA POINTE - ASHLAND COUNTY,02014,Town of La Pointe - Ward 1,310,
ASHLAND COUNTY,,,TOWN OF MARENGO - ASHLAND COUNTY,02016,Town of Marengo - Ward 1,110,
ASHLAND COUNTY,,,TOWN OF MARENGO - ASHLAND COUNTY,02016,Town Of Marengo - Ward 2,138,
ASHLAND COUNTY,,,TOWN OF MORSE - ASHLAND COUNTY,02018,Town of Morse - Ward 1,277,
ASHLAND COUNTY,,,TOWN OF MORSE - ASHLAND COUNTY,02018,Town of Morse - Ward 2,53,
ASHLAND COUNTY,,,TOWN OF MORSE - ASHLAND COUNTY,02018,Town Of Morse - Ward 3,26,
ASHLAND COUNTY,,,TOWN OF PEEKSVILLE - ASHLAND COUNTY,02020,Town of Peeksville - Ward 1,60,
ASHLAND COUNTY,,,TOWN OF PEEKSVILLE - ASHLAND COUNTY,02020,Town Of Peeksville - Ward 2,61,
ASHLAND COUNTY,,,TOWN OF SANBORN - ASHLAND COUNTY,02022,Town of Sanborn - Ward 1,258,
ASHLAND COUNTY,,,TOWN OF SANBORN - ASHLAND COUNTY,02022,Town of Sanborn - Ward 2,406,
ASHLAND COUNTY,,,TOWN OF SHANAGOLDEN - ASHLAND COUNTY,02024,Town of Jacobs - Ward 1,2,
ASHLAND COUNTY,,,TOWN OF SHANAGOLDEN - ASHLAND COUNTY,02024,Town of Shanagolden - Ward 1,86,
ASHLAND COUNTY,,,TOWN OF WHITE RIVER - ASHLAND COUNTY,02026,Town Of Marengo - Ward 2,1,
ASHLAND COUNTY,,,TOWN OF WHITE RIVER - ASHLAND COUNTY,02026,Town of White River - Ward 1,469,
ASHLAND COUNTY,,,TOWN OF WHITE RIVER - ASHLAND COUNTY,02026,Town of White River - Ward 2,57,
ASHLAND COUNTY,,,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,02106,Village of Butternut - Ward 1,27,
ASHLAND COUNTY,,,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,02106,Village of Butternut - Ward 2,155,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 1,561,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 10,449,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 11,501,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 2,416,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 3,373,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 4,547,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 5,468,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 6,458,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 7,718,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 8,446,
ASHLAND COUNTY,,,CITY OF ASHLAND - MULTIPLE COUNTIES,02201,City of Ashland - Ward 9,354,
ASHLAND COUNTY,,,CITY OF MELLEN - ASHLAND COUNTY,02251,City of Mellen - Ward 1,350,
BARRON COUNTY,,,TOWN OF ALMENA - BARRON COUNTY,03002,Town of Almena - Ward 1,398,
BARRON COUNTY,,,TOWN OF ALMENA - BARRON COUNTY,03002,Town of Almena - Ward 2,198,
BARRON COUNTY,,,TOWN OF ARLAND - BARRON COUNTY,03004,Town of Arland - Ward 1,361,
BARRON COUNTY,,,TOWN OF BARRON - BARRON COUNTY,03006,Town of Barron - Ward 1,208,
BARRON COUNTY,,,TOWN OF BARRON - BARRON COUNTY,03006,Town of Barron - Ward 2,236,
BARRON COUNTY,,,TOWN OF BEAR LAKE - BARRON COUNTY,03008,Town of Bear Lake - Ward 1,448,
BARRON COUNTY,,,TOWN OF CEDAR LAKE - BARRON COUNTY,03010,Town of Cedar Lake - Ward 1,800,
BARRON COUNTY,,,TOWN OF CHETEK - BARRON COUNTY,03012,Town of Chetek - Ward 1,741,
BARRON COUNTY,,,TOWN OF CHETEK - BARRON COUNTY,03012,Town of Chetek - Ward 2,465,
BARRON COUNTY,,,TOWN OF CLINTON - BARRON COUNTY,03014,Town of Clinton - Ward 1,392,
BARRON COUNTY,,,TOWN OF CRYSTAL LAKE - BARRON COUNTY,03016,Town of Crystal Lake - Ward 1,494,
BARRON COUNTY,,,TOWN OF CUMBERLAND - BARRON COUNTY,03018,Town of Cumberland - Ward 1,525,
BARRON COUNTY,,,TOWN OF DALLAS - BARRON COUNTY,03020,Town of Dallas - Ward 1,311,
BARRON COUNTY,,,TOWN OF DOVRE - BARRON COUNTY,03022,Town of Dovre - Ward 1,465,
BARRON COUNTY,,,TOWN OF DOYLE - BARRON COUNTY,03024,Town of Doyle - Ward 1,167,
BARRON COUNTY,,,TOWN OF DOYLE - BARRON COUNTY,03024,Town Of Doyle - Ward 2,186,
BARRON COUNTY,,,TOWN OF LAKELAND - BARRON COUNTY,03026,Town of Lakeland - Ward 1,133,
BARRON COUNTY,,,TOWN OF LAKELAND - BARRON COUNTY,03026,Town of Lakeland - Ward 2,520,
BARRON COUNTY,,,TOWN OF MAPLE GROVE - BARRON COUNTY,03028,Town of Maple Grove - Ward 1,364,
BARRON COUNTY,,,TOWN OF MAPLE GROVE - BARRON COUNTY,03028,Town of Maple Grove - Ward 2,207,
BARRON COUNTY,,,TOWN OF MAPLE PLAIN - BARRON COUNTY,03030,Town of Crystal Lake - Ward 1,1,
BARRON COUNTY,,,TOWN OF MAPLE PLAIN - BARRON COUNTY,03030,Town of Maple Plain - Ward 1,559,
BARRON COUNTY,,,TOWN OF OAK GROVE - BARRON COUNTY,03032,Town of Oak Grove - Ward 1,237,
BARRON COUNTY,,,TOWN OF OAK GROVE - BARRON COUNTY,03032,Town of Oak Grove - Ward 2,309,
BARRON COUNTY,,,TOWN OF PRAIRIE FARM - BARRON COUNTY,03034,Town of Prairie Farm - Ward 1,201,
BARRON COUNTY,,,TOWN OF PRAIRIE FARM - BARRON COUNTY,03034,Town of Prairie Farm - Ward 2,126,
BARRON COUNTY,,,TOWN OF PRAIRIE LAKE - BARRON COUNTY,03036,Town of Prairie Lake - Ward 1,566,
BARRON COUNTY,,,TOWN OF PRAIRIE LAKE - BARRON COUNTY,03036,Town of Prairie Lake - Ward 2,456,
BARRON COUNTY,,,TOWN OF RICE LAKE - BARRON COUNTY,03038,Town of Rice Lake - Ward 1,568,
BARRON COUNTY,,,TOWN OF RICE LAKE - BARRON COUNTY,03038,Town of Rice Lake - Ward 2,505,
BARRON COUNTY,,,TOWN OF RICE LAKE - BARRON COUNTY,03038,Town of Rice Lake - Ward 3,408,
BARRON COUNTY,,,TOWN OF RICE LAKE - BARRON COUNTY,03038,Town of Rice Lake - Ward 4,397,
BARRON COUNTY,,,TOWN OF SIOUX CREEK - BARRON COUNTY,03040,Town of Sioux Creek - Ward 1,382,
BARRON COUNTY,,,TOWN OF STANFOLD - BARRON COUNTY,03042,Town of Stanfold - Ward 1,399,
BARRON COUNTY,,,TOWN OF STANLEY - BARRON COUNTY,03044,Town of Stanley - Ward 1,391,
BARRON COUNTY,,,TOWN OF STANLEY - BARRON COUNTY,03044,Town of Stanley - Ward 2,512,
BARRON COUNTY,,,TOWN OF STANLEY - BARRON COUNTY,03044,Town of Stanley - Ward 3,344,
BARRON COUNTY,,,TOWN OF STANLEY - BARRON COUNTY,03044,Town Of Stanley - Ward 4,347,
BARRON COUNTY,,,TOWN OF SUMNER - BARRON COUNTY,03046,Town of Sumner - Ward 1,461,
BARRON COUNTY,,,TOWN OF TURTLE LAKE - BARRON COUNTY,03048,Town of Turtle Lake - Ward 1,345,
BARRON COUNTY,,,TOWN OF VANCE CREEK - BARRON COUNTY,03050,Town of Vance Creek - Ward 1,382,
BARRON COUNTY,,,VILLAGE OF ALMENA - BARRON COUNTY,03101,Village of Almena - Ward 1,336,
BARRON COUNTY,,,VILLAGE OF CAMERON - BARRON COUNTY,03111,Village of Cameron - Ward 1,622,
BARRON COUNTY,,,VILLAGE OF CAMERON - BARRON COUNTY,03111,Village of Cameron - Ward 2,229,
BARRON COUNTY,,,VILLAGE OF CAMERON - BARRON COUNTY,03111,Village Of Cameron - Ward 3,81,
BARRON COUNTY,,,VILLAGE OF DALLAS - BARRON COUNTY,03116,Village of Dallas - Ward 1,203,
BARRON COUNTY,,,VILLAGE OF HAUGEN - BARRON COUNTY,03136,Village of Haugen - Ward 1,177,
BARRON COUNTY,,,VILLAGE OF PRAIRIE FARM - BARRON COUNTY,03171,Village of Prairie Farm - Ward 1,254,
BARRON COUNTY,,,VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES,03186,Village of Turtle Lake - Ward 1,447,
BARRON COUNTY,,,VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES,03186,Village Of Turtle Lake - Ward 2A,41,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 1,547,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 2,312,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 3,116,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 4,192,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 5,290,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 6,55,
BARRON COUNTY,,,CITY OF BARRON - BARRON COUNTY,03206,City of Barron - Ward 7,167,
BARRON COUNTY,,,CITY OF CHETEK - BARRON COUNTY,03211,City of Chetek - Ward 1,303,
BARRON COUNTY,,,CITY OF CHETEK - BARRON COUNTY,03211,City of Chetek - Ward 2,299,
BARRON COUNTY,,,CITY OF CHETEK - BARRON COUNTY,03211,City of Chetek - Ward 3,281,
BARRON COUNTY,,,CITY OF CHETEK - BARRON COUNTY,03211,City of Chetek - Ward 4,337,
BARRON COUNTY,,,CITY OF CUMBERLAND - BARRON COUNTY,03212,City of Cumberland - Ward 1,320,
BARRON COUNTY,,,CITY OF CUMBERLAND - BARRON COUNTY,03212,City of Cumberland - Ward 2,393,
BARRON COUNTY,,,CITY OF CUMBERLAND - BARRON COUNTY,03212,City of Cumberland - Ward 3,327,
BARRON COUNTY,,,CITY OF CUMBERLAND - BARRON COUNTY,03212,City of Cumberland - Ward 4,291,
BARRON COUNTY,,,CITY OF CUMBERLAND - BARRON COUNTY,03212,Village of Sussex - Ward 2,1,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 1,256,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 10,431,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 11,436,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 12,555,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 13,232,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 2,436,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 3,437,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 4,368,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 5,611,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 6,361,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 7,264,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 8,338,
BARRON COUNTY,,,CITY OF RICE LAKE - BARRON COUNTY,03276,City of Rice Lake - Ward 9,250,
BAYFIELD COUNTY,,,TOWN OF BARKSDALE - BAYFIELD COUNTY,04002,Town of Barksdale - Ward 1,583,
BAYFIELD COUNTY,,,TOWN OF BARNES - BAYFIELD COUNTY,04004,Town of Barnes - Ward 1,644,
BAYFIELD COUNTY,,,TOWN OF BAYFIELD - BAYFIELD COUNTY,04006,Town of Bayfield - Ward 1,618,
BAYFIELD COUNTY,,,TOWN OF BAYVIEW - BAYFIELD COUNTY,04008,Town of Bayview - Ward 1,400,
BAYFIELD COUNTY,,,TOWN OF BELL - BAYFIELD COUNTY,04010,Town of Bell - Ward 1,260,
BAYFIELD COUNTY,,,TOWN OF CABLE - BAYFIELD COUNTY,04012,Town of Cable - Ward 1,606,
BAYFIELD COUNTY,,,TOWN OF CLOVER - BAYFIELD COUNTY,04014,Town of Clover - Ward 1,207,
BAYFIELD COUNTY,,,TOWN OF DELTA - BAYFIELD COUNTY,04016,Town of Delta - Ward 1,223,
BAYFIELD COUNTY,,,TOWN OF DRUMMOND - BAYFIELD COUNTY,04018,Town of Drummond - Ward 1,389,
BAYFIELD COUNTY,,,TOWN OF EILEEN - BAYFIELD COUNTY,04020,Town of Eileen - Ward 1,340,
BAYFIELD COUNTY,,,TOWN OF EILEEN - BAYFIELD COUNTY,04020,Town of Eileen - Ward 2,125,
BAYFIELD COUNTY,,,TOWN OF GRAND VIEW - BAYFIELD COUNTY,04021,Town of Grand View - Ward 1,336,
BAYFIELD COUNTY,,,TOWN OF HUGHES - BAYFIELD COUNTY,04022,Town of Hughes - Ward 1,332,
BAYFIELD COUNTY,,,TOWN OF IRON RIVER - BAYFIELD COUNTY,04024,Town of Iron River - Ward 1,239,
BAYFIELD COUNTY,,,TOWN OF IRON RIVER - BAYFIELD COUNTY,04024,Town of Iron River - Ward 2,613,
BAYFIELD COUNTY,,,TOWN OF KELLY - BAYFIELD COUNTY,04026,Town of Kelly - Ward 1,282,
BAYFIELD COUNTY,,,TOWN OF KEYSTONE - BAYFIELD COUNTY,04028,Town of Keystone - Ward 1,228,
BAYFIELD COUNTY,,,TOWN OF LINCOLN - BAYFIELD COUNTY,04030,Town of Lincoln - Ward 1,212,
BAYFIELD COUNTY,,,TOWN OF MASON - BAYFIELD COUNTY,04032,Town of Mason - Ward 1,181,
BAYFIELD COUNTY,,,TOWN OF NAMAKAGON - BAYFIELD COUNTY,04034,Town of Namakagon - Ward 1,237,
BAYFIELD COUNTY,,,TOWN OF ORIENTA - BAYFIELD COUNTY,04036,Town of Orienta - Ward 1,98,
BAYFIELD COUNTY,,,TOWN OF OULU - BAYFIELD COUNTY,04038,Town of Oulu - Ward 1,385,
BAYFIELD COUNTY,,,TOWN OF PILSEN - BAYFIELD COUNTY,04040,Town of Pilsen - Ward 1,169,
BAYFIELD COUNTY,,,TOWN OF PORT WING - BAYFIELD COUNTY,04042,Town of Port Wing - Ward 1,327,
BAYFIELD COUNTY,,,TOWN OF RUSSELL - BAYFIELD COUNTY,04046,Town of Russell - Ward 1,611,
BAYFIELD COUNTY,,,TOWN OF RUSSELL - BAYFIELD COUNTY,04046,Town of Russell - Ward 2,241,
BAYFIELD COUNTY,,,TOWN OF TRIPP - BAYFIELD COUNTY,04048,Town of Tripp - Ward 1,162,
BAYFIELD COUNTY,,,TOWN OF WASHBURN - BAYFIELD COUNTY,04050,Town of Washburn - Ward 1,378,
BAYFIELD COUNTY,,,VILLAGE OF MASON - BAYFIELD COUNTY,04151,Village of Mason - Ward 1,50,
BAYFIELD COUNTY,,,CITY OF BAYFIELD - BAYFIELD COUNTY,04206,City of Bayfield - Ward 1,89,
BAYFIELD COUNTY,,,CITY OF BAYFIELD - BAYFIELD COUNTY,04206,City of Bayfield - Ward 2,127,
BAYFIELD COUNTY,,,CITY OF BAYFIELD - BAYFIELD COUNTY,04206,City of Bayfield - Ward 3,96,
BAYFIELD COUNTY,,,CITY OF BAYFIELD - BAYFIELD COUNTY,04206,City of Bayfield - Ward 4,128,
BAYFIELD COUNTY,,,CITY OF WASHBURN - BAYFIELD COUNTY,04291,City of Washburn - Ward 1,508,
BAYFIELD COUNTY,,,CITY OF WASHBURN - BAYFIELD COUNTY,04291,City of Washburn - Ward 2,237,
BAYFIELD COUNTY,,,CITY OF WASHBURN - BAYFIELD COUNTY,04291,City of Washburn - Ward 3,218,
BAYFIELD COUNTY,,,CITY OF WASHBURN - BAYFIELD COUNTY,04291,City of Washburn - Ward 4,491,
BROWN COUNTY,,,TOWN OF EATON - BROWN COUNTY,05010,Town of Eaton - Ward 1,383,
BROWN COUNTY,,,TOWN OF EATON - BROWN COUNTY,05010,Town of Eaton - Ward 2,721,
BROWN COUNTY,,,TOWN OF GLENMORE - BROWN COUNTY,05012,Town of Glenmore - Ward 1,519,
BROWN COUNTY,,,TOWN OF GLENMORE - BROWN COUNTY,05012,Town of Glenmore - Ward 2,240,
BROWN COUNTY,,,TOWN OF GREEN BAY - BROWN COUNTY,05014,Town of Green Bay - Ward 1,500,
BROWN COUNTY,,,TOWN OF GREEN BAY - BROWN COUNTY,05014,Town of Green Bay - Ward 2,453,
BROWN COUNTY,,,TOWN OF GREEN BAY - BROWN COUNTY,05014,Town Of Green Bay - Ward 3,382,
BROWN COUNTY,,,TOWN OF HOLLAND - BROWN COUNTY,05018,Town of Holland - Ward 1,436,
BROWN COUNTY,,,TOWN OF HOLLAND - BROWN COUNTY,05018,Town of Holland - Ward 2,598,
BROWN COUNTY,,,TOWN OF HUMBOLDT - BROWN COUNTY,05022,Town of Humboldt - Ward 1,670,
BROWN COUNTY,,,TOWN OF HUMBOLDT - BROWN COUNTY,05022,Town of Humboldt - Ward 2,263,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town of Lawrence - Ward 1,697,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town of Lawrence - Ward 2,614,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town of Lawrence - Ward 3,473,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town Of Lawrence - Ward 4,606,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town Of Lawrence - Ward 5,620,
BROWN COUNTY,,,TOWN OF LAWRENCE - BROWN COUNTY,05024,Town Of Lawrence - Ward 6,759,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town of Ledgeview - Ward 1,96,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 10,737,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town of Ledgeview - Ward 2,442,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town of Ledgeview - Ward 3,308,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town of Ledgeview - Ward 4,573,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 5,539,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 6,778,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 7,459,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 8,562,
BROWN COUNTY,,,TOWN OF LEDGEVIEW - BROWN COUNTY,05025,Town Of Ledgeview - Ward 9,569,
BROWN COUNTY,,,TOWN OF MORRISON - BROWN COUNTY,05026,Town of Morrison - Ward 1,457,
BROWN COUNTY,,,TOWN OF MORRISON - BROWN COUNTY,05026,Town of Morrison - Ward 2,586,
BROWN COUNTY,,,TOWN OF NEW DENMARK - BROWN COUNTY,05028,Town of New Denmark - Ward 1,324,
BROWN COUNTY,,,TOWN OF NEW DENMARK - BROWN COUNTY,05028,Town of New Denmark - Ward 2,466,
BROWN COUNTY,,,TOWN OF NEW DENMARK - BROWN COUNTY,05028,Town of New Denmark - Ward 3,268,
BROWN COUNTY,,,TOWN OF PITTSFIELD - BROWN COUNTY,05030,Town of Pittsfield - Ward 1,610,
BROWN COUNTY,,,TOWN OF PITTSFIELD - BROWN COUNTY,05030,Town of Pittsfield - Ward 2,527,
BROWN COUNTY,,,TOWN OF PITTSFIELD - BROWN COUNTY,05030,Town of Pittsfield - Ward 3,647,
BROWN COUNTY,,,TOWN OF ROCKLAND - BROWN COUNTY,05034,Town of Rockland - Ward 1,339,
BROWN COUNTY,,,TOWN OF ROCKLAND - BROWN COUNTY,05034,Town of Rockland - Ward 2,325,
BROWN COUNTY,,,TOWN OF ROCKLAND - BROWN COUNTY,05034,Town Of Rockland - Ward 3,574,
BROWN COUNTY,,,TOWN OF SCOTT - BROWN COUNTY,05036,Town of Scott - Ward 1,615,
BROWN COUNTY,,,TOWN OF SCOTT - BROWN COUNTY,05036,Town of Scott - Ward 2,612,
BROWN COUNTY,,,TOWN OF SCOTT - BROWN COUNTY,05036,Town of Scott - Ward 3,600,
BROWN COUNTY,,,TOWN OF SCOTT - BROWN COUNTY,05036,Town of Scott - Ward 4,737,
BROWN COUNTY,,,TOWN OF WRIGHTSTOWN - BROWN COUNTY,05040,Town of Wrightstown - Ward 1,632,
BROWN COUNTY,,,TOWN OF WRIGHTSTOWN - BROWN COUNTY,05040,Town of Wrightstown - Ward 2,389,
BROWN COUNTY,,,TOWN OF WRIGHTSTOWN - BROWN COUNTY,05040,Town of Wrightstown - Ward 3,354,
BROWN COUNTY,,,VILLAGE OF ALLOUEZ - BROWN COUNTY,05102,Village of Allouez - Ward 1,866,
BROWN COUNTY,,,VILLAGE OF ALLOUEZ - BROWN COUNTY,05102,Village of Allouez - Ward 2,1510,
