"","muni_county","county","municipality","registrants","late_registrants","edrs","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","absentee_issued","absentee_undeliverable","counted_absent","rejected_absent","fwab_counted","fwab_rejected","military_issued","military_undeliverable","military_counted","military_rejected","overseas_issued","overseas_undeliverable","overseas_counted","overseas_rejected","total_ballots_2008"
"17","CITY OF BARRON BARRON","BARRON","CITY OF BARRON",1545,105,220,1467,1468,3,1006,458,395,5,390,0,3,0,4,0,3,0,4,0,3,0,1467
"18","CITY OF BAYFIELD BAYFIELD","BAYFIELD","CITY OF BAYFIELD",391,11,30,340,340,0,0,340,76,0,71,0,0,0,0,0,0,0,0,0,0,0,340
"19","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",8317,1137,352,7322,7321,0,7318,5,1134,2,984,6,9,0,13,1,7,0,8,0,5,0,7322
"20","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",18906,799,2703,15472,15472,0,15472,253,3264,8,3219,5,13,0,29,0,12,0,29,0,0,0,15472
"21","CITY OF BERLIN GREEN LAKE","GREEN LAKE","CITY OF BERLIN",3162,67,371,2339,2339,0,2025,314,370,0,366,0,1,0,0,0,0,0,0,0,0,0,2339
"22","CITY OF BERLIN WAUSHARA","WAUSHARA","CITY OF BERLIN",69,1,3,51,51,0,38,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,51
"23","CITY OF BLACK RIVER FALLS JACKSON","JACKSON","CITY OF BLACK RIVER FALLS",1589,71,316,1715,1715,0,1687,28,239,0,234,3,1,0,1,0,1,0,0,0,0,0,1715
"24","CITY OF BLAIR TREMPEALEAU","TREMPEALEAU","CITY OF BLAIR",504,19,112,502,501,59,0,443,59,0,59,0,0,0,1,0,1,0,0,0,0,0,502
"25","CITY OF BLOOMER CHIPPEWA","CHIPPEWA","CITY OF BLOOMER",1771,120,291,1741,1740,0,1740,0,461,0,459,0,3,0,1,0,1,0,0,0,0,0,1741
"26","CITY OF BOSCOBEL GRANT","GRANT","CITY OF BOSCOBEL",1000,30,201,1177,1177,0,1177,0,141,0,138,0,0,0,3,0,1,0,0,0,0,0,1177
"27","CITY OF BRILLION CALUMET","CALUMET","CITY OF BRILLION",1308,83,326,1578,1578,0,1526,52,253,0,253,1,1,0,1,0,1,0,1,0,0,0,1578
"28","CITY OF BRODHEAD GREEN","GREEN","CITY OF BRODHEAD",1434,57,294,1444,1444,0,1444,0,198,2,192,2,1,0,1,0,1,0,0,0,0,0,1444
"29","CITY OF BRODHEAD ROCK","ROCK","CITY OF BRODHEAD",23,10,7,31,31,0,31,0,16,1,15,0,0,0,0,0,0,0,0,0,0,0,31
"30","CITY OF BROOKFIELD WAUKESHA","WAUKESHA","CITY OF BROOKFIELD",28014,823,1648,25196,25199,0,25196,0,9221,12,8849,17,22,0,48,6,33,0,14,0,5,0,25196
"31","CITY OF BUFFALO CITY BUFFALO","BUFFALO","CITY OF BUFFALO CITY",653,6,85,643,643,142,0,501,44,0,41,0,0,0,0,0,0,0,0,0,0,0,643
"32","CITY OF BURLINGTON RACINE","RACINE","CITY OF BURLINGTON",6260,94,285,5182,5182,0,5182,0,1371,0,1344,0,4,0,11,0,6,0,7,0,2,0,5182
"33","CITY OF BURLINGTON WALWORTH","WALWORTH","CITY OF BURLINGTON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CITY OF CEDARBURG OZAUKEE","OZAUKEE","CITY OF CEDARBURG",8439,319,620,7056,7053,0,7056,1,2081,1969,1966,1,29,0,13,9,9,0,5,0,0,0,7056
"35","CITY OF CHETEK BARRON","BARRON","CITY OF CHETEK",975,52,54,1081,1081,0,859,222,156,151,151,1,0,0,2,1,1,1,0,0,0,0,1081
"36","CITY OF CHILTON CALUMET","CALUMET","CITY OF CHILTON",2054,103,231,1830,1829,0,1579,251,285,259,259,0,1,0,3,0,1,0,3,0,1,0,1830
"37","CITY OF CHIPPEWA FALLS CHIPPEWA","CHIPPEWA","CITY OF CHIPPEWA FALLS",8356,165,1083,6215,6215,1,6211,5,1604,0,1575,3,6,0,13,0,13,0,13,0,0,0,6215
"38","CITY OF CLINTONVILLE WAUPACA","WAUPACA","CITY OF CLINTONVILLE",2734,72,175,1989,1992,0,1611,378,357,5,343,0,1,0,7,0,4,0,0,0,0,0,1989
"39","CITY OF COLBY CLARK","CLARK","CITY OF COLBY",596,17,95,562,562,562,0,0,65,0,57,2,0,0,0,0,0,0,2,0,2,0,562
"40","CITY OF COLBY MARATHON","MARATHON","CITY OF COLBY",224,12,47,244,244,244,0,0,23,0,21,1,0,0,0,0,0,0,0,0,0,0,244
"41","CITY OF COLUMBUS COLUMBIA","COLUMBIA","CITY OF COLUMBUS",2528,119,471,2588,2588,0,2588,0,480,0,471,3,4,0,4,0,2,0,2,0,0,0,2588
"42","CITY OF COLUMBUS DODGE","DODGE","CITY OF COLUMBUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","CITY OF CORNELL CHIPPEWA","CHIPPEWA","CITY OF CORNELL",650,26,128,682,682,0,681,1,85,0,83,0,0,0,1,0,0,0,0,0,0,0,682
"44","CITY OF CRANDON FOREST","FOREST","CITY OF CRANDON",1248,13,107,836,836,607,0,229,71,0,68,1,0,0,6,0,3,0,0,0,0,0,836
"45","CITY OF CUBA CITY GRANT","GRANT","CITY OF CUBA CITY",995,25,146,958,958,0,758,200,138,1,133,0,0,0,1,0,0,0,0,0,0,0,958
"46","CITY OF CUBA CITY LAFAYETTE","LAFAYETTE","CITY OF CUBA CITY",129,0,16,116,121,0,80,36,15,0,15,0,0,0,0,0,0,0,0,0,0,0,116
"47","CITY OF CUDAHY MILWAUKEE","MILWAUKEE","CITY OF CUDAHY",12531,197,1430,9592,9592,0,9592,0,2283,6,1857,8,13,1,18,0,16,0,8,0,4,0,9592
"48","CITY OF CUMBERLAND BARRON","BARRON","CITY OF CUMBERLAND",23,34,171,1155,1158,1,910,248,185,177,177,2,1,0,2,1,1,0,0,0,0,0,1155
"49","CITY OF DARLINGTON LAFAYETTE","LAFAYETTE","CITY OF DARLINGTON",993,35,193,1085,1085,0,1085,0,130,5,122,0,0,0,0,0,0,0,0,0,0,0,1085
"50","CITY OF DE PERE BROWN","BROWN","CITY OF DE PERE",14993,1804,1934,12865,12865,0,12865,0,5511,1,5222,0,10,0,16,2,3,0,16,1,2,0,12865
"51","CITY OF DELAFIELD WAUKESHA","WAUKESHA","CITY OF DELAFIELD",5041,316,481,4259,4259,0,4259,0,1542,6,1506,6,0,0,18,4,12,4,0,0,0,0,4259
"52","CITY OF DELAVAN WALWORTH","WALWORTH","CITY OF DELAVAN",5935,137,566,3400,3400,0,3397,3,939,0,901,2,6,0,12,0,7,0,5,0,0,0,3400
"53","CITY OF DODGEVILLE IOWA","IOWA","CITY OF DODGEVILLE",2128,90,373,2206,2206,506,0,1700,481,0,478,1,0,0,2,0,2,0,0,0,0,0,2206
"54","CITY OF DURAND PEPIN","PEPIN","CITY OF DURAND",1089,1120,128,962,962,165,0,798,164,0,164,0,1,0,1,0,1,0,0,0,0,0,962
"55","CITY OF EAGLE RIVER VILAS","VILAS","CITY OF EAGLE RIVER",631,25,114,661,661,0,661,0,131,0,130,0,2,0,2,0,2,0,0,0,0,0,661
"56","CITY OF EAU CLAIRE CHIPPEWA","CHIPPEWA","CITY OF EAU CLAIRE",1294,39,187,974,958,0,820,154,157,0,156,1,0,0,1,0,1,0,0,0,0,0,974
"57","CITY OF EAU CLAIRE EAU CLAIRE","EAU CLAIRE","CITY OF EAU CLAIRE",44509,1981,6207,36459,36398,11,34265,2597,8750,132,8547,67,28,1,66,6,54,0,32,7,1,1,36459
"58","CITY OF EDGERTON DANE","DANE","CITY OF EDGERTON",7,4,11,22,23,0,11,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,22
"59","CITY OF EDGERTON ROCK","ROCK","CITY OF EDGERTON",2371,153,445,2688,2688,1,2687,0,877,3,839,1,5,0,4,0,1,0,0,0,0,0,2688
"60","CITY OF ELKHORN WALWORTH","WALWORTH","CITY OF ELKHORN",6518,330,614,4420,4421,0,4420,0,1756,36,1707,4,4,0,13,0,11,1,5,2,1,0,4420
"61","CITY OF ELROY JUNEAU","JUNEAU","CITY OF ELROY",752,18,85,635,635,379,0,256,80,0,79,1,1,0,2,0,2,0,0,0,0,0,635
"62","CITY OF EVANSVILLE ROCK","ROCK","CITY OF EVANSVILLE",2696,119,295,2578,2578,0,2578,2,737,1,734,1,0,0,0,0,0,0,0,0,0,0,2578
"63","CITY OF FENNIMORE GRANT","GRANT","CITY OF FENNIMORE",1074,18,178,1088,1088,656,0,432,171,0,169,0,0,0,2,0,0,0,0,0,0,0,1088
"64","CITY OF FITCHBURG DANE","DANE","CITY OF FITCHBURG",14228,374,1768,12289,12289,0,12061,0,4596,0,4483,23,9,0,6,0,5,0,6,0,6,0,12289
"65","CITY OF FOND DU LAC FOND DU LAC","FOND DU LAC","CITY OF FOND DU LAC",23705,931,3021,20247,20241,0,19987,243,5269,8,5108,24,31,0,58,9,24,0,42,1,0,0,20247
"66","CITY OF FORT ATKINSON JEFFERSON","JEFFERSON","CITY OF FORT ATKINSON",6663,344,752,6171,6179,0,6171,0,1640,5,1613,14,13,1,26,2,14,0,19,2,6,0,6171
"67","CITY OF FOUNTAIN CITY BUFFALO","BUFFALO","CITY OF FOUNTAIN CITY",517,8,74,489,489,296,0,193,57,1,52,1,0,0,0,0,0,0,0,0,0,0,489
"68","CITY OF FOX LAKE DODGE","DODGE","CITY OF FOX LAKE",752,45,82,723,723,0,721,2,67,0,65,0,0,0,2,0,0,0,2,0,0,0,723
"69","CITY OF FRANKLIN MILWAUKEE","MILWAUKEE","CITY OF FRANKLIN",23942,828,2006,19323,19328,0,19550,273,9310,141,5641,8,24,0,20,0,14,0,56,1,50,0,19323
"70","CITY OF GALESVILLE TREMPEALEAU","TREMPEALEAU","CITY OF GALESVILLE",810,41,95,774,777,777,0,0,138,0,133,2,2,0,2,0,0,0,1,0,1,0,774
"71","CITY OF GILLETT OCONTO","OCONTO","CITY OF GILLETT",575,21,81,590,590,0,384,206,82,0,81,0,0,0,1,0,1,0,0,0,0,0,590
"72","CITY OF GLENDALE MILWAUKEE","MILWAUKEE","CITY OF GLENDALE",10149,404,764,9156,9155,0,9150,6,3612,6,3495,0,36,0,5,0,3,0,0,0,0,0,9156
"73","CITY OF GLENWOOD CITY ST. CROIX","ST. CROIX","CITY OF GLENWOOD CITY",559,18,144,569,569,0,501,68,45,0,45,0,0,0,1,0,1,0,0,0,0,0,569
"74","CITY OF GREEN BAY BROWN","BROWN","CITY OF GREEN BAY",57127,1166,8728,47460,47458,0,47461,0,8335,20,8029,1,57,0,80,0,50,0,69,0,2,0,47460
"75","CITY OF GREEN LAKE GREEN LAKE","GREEN LAKE","CITY OF GREEN LAKE",634,16,50,591,590,0,428,163,100,0,98,4,1,1,0,0,0,0,0,0,0,0,591
"76","CITY OF GREENFIELD MILWAUKEE","MILWAUKEE","CITY OF GREENFIELD",23158,614,3163,20099,20095,0,20099,0,4984,65,4787,8,8,0,27,3,14,0,20,1,4,0,20099
"77","CITY OF GREENWOOD CLARK","CLARK","CITY OF GREENWOOD",589,3,49,521,521,437,0,84,40,0,40,0,0,0,0,0,0,0,0,0,0,0,521
"78","CITY OF HARTFORD WASHINGTON","WASHINGTON","CITY OF HARTFORD",7990,390,1032,7036,7045,0,7036,0,1968,3,1938,7,1,0,13,2,7,0,0,0,0,0,7036
"79","CITY OF HAYWARD SAWYER","SAWYER","CITY OF HAYWARD",1481,69,211,1055,1055,222,0,833,225,0,221,0,0,0,1,0,1,0,0,0,0,0,1055
"80","CITY OF HILLSBORO VERNON","VERNON","CITY OF HILLSBORO",673,34,95,606,605,360,0,245,86,0,82,2,0,0,0,0,0,0,0,0,0,0,606
"81","CITY OF HORICON DODGE","DODGE","CITY OF HORICON",1770,128,241,1816,1816,0,1816,0,455,2,449,0,0,0,6,2,3,0,4,1,1,0,1816
"82","CITY OF HUDSON ST. CROIX","ST. CROIX","CITY OF HUDSON",7949,525,1410,7055,7055,0,7051,4,1964,1,1780,8,11,0,19,3,10,0,15,0,3,0,7055
"83","CITY OF HURLEY IRON","IRON","CITY OF HURLEY",1006,0,69,772,772,431,0,341,146,0,143,0,0,0,3,0,2,0,0,0,0,0,772
"84","CITY OF INDEPENDENCE TREMPEALEAU","TREMPEALEAU","CITY OF INDEPENDENCE",574,28,79,538,538,399,0,139,66,1,63,0,2,0,5,1,2,0,0,0,0,0,538
"85","CITY OF JANESVILLE ROCK","ROCK","CITY OF JANESVILLE",25972,1229,4556,31837,31868,0,31837,0,8624,47,8425,17,15,0,129,18,54,0,117,23,5,0,31837
"86","CITY OF JEFFERSON JEFFERSON","JEFFERSON","CITY OF JEFFERSON",4540,175,506,3644,3644,0,3644,0,677,0,651,6,2,2,3,0,3,0,1,0,1,1,3644
"87","CITY OF JUNEAU DODGE","DODGE","CITY OF JUNEAU",887,53,217,1026,1026,0,1027,0,119,0,116,2,0,0,2,0,1,1,1,0,0,0,1026
"88","CITY OF KAUKAUNA OUTAGAMIE","OUTAGAMIE","CITY OF KAUKAUNA",9670,388,1025,7745,7745,0,7674,71,2912,0,2876,5,6,0,10,2,7,0,4,0,0,0,7745
"89","CITY OF KENOSHA KENOSHA","KENOSHA","CITY OF KENOSHA",53086,1543,7679,44783,44783,0,32842,156,11933,0,11730,24,17,0,120,4,57,1,87,2,12,0,44783
"90","CITY OF KEWAUNEE KEWAUNEE","KEWAUNEE","CITY OF KEWAUNEE",1682,40,160,1473,1473,0,1473,0,245,0,243,2,3,0,3,0,2,0,1,0,0,0,1473
"91","CITY OF KIEL CALUMET","CALUMET","CITY OF KIEL",128,10,32,147,147,0,141,6,46,0,46,0,0,0,0,0,0,0,0,0,0,0,147
"92","CITY OF KIEL MANITOWOC","MANITOWOC","CITY OF KIEL",1604,170,295,1892,1893,0,375,0,542,0,538,0,0,0,10,0,8,0,1,0,1,0,1892
"93","CITY OF LA CROSSE LA CROSSE","LA CROSSE","CITY OF LA CROSSE",33925,2033,6205,28925,28919,1,28924,0,8045,98,7916,31,21,0,55,16,21,0,58,23,10,1,28925
"94","CITY OF LADYSMITH RUSK","RUSK","CITY OF LADYSMITH",1729,47,192,1511,1511,3,1501,7,255,1,241,1,1,0,4,1,2,0,0,0,0,0,1511
"95","CITY OF LAKE GENEVA WALWORTH","WALWORTH","CITY OF LAKE GENEVA",4849,85,458,3288,3288,0,881,2407,1553,4,1490,9,9,1,1,0,0,0,0,0,0,0,3288
"96","CITY OF LAKE MILLS JEFFERSON","JEFFERSON","CITY OF LAKE MILLS",3312,178,536,3186,3186,0,3186,0,783,0,783,2,10,0,7,0,6,0,5,0,2,0,3186
"97","CITY OF LANCASTER GRANT","GRANT","CITY OF LANCASTER",1833,116,245,1861,1861,0,1748,113,653,0,644,3,0,0,5,0,4,0,0,0,0,0,1861
"98","CITY OF LODI COLUMBIA","COLUMBIA","CITY OF LODI",1433,119,225,1596,1596,0,1956,0,484,1,483,2,2,0,7,1,6,2,0,0,0,0,1596
"99","CITY OF LOYAL CLARK","CLARK","CITY OF LOYAL",701,20,100,623,623,577,0,57,54,44,44,0,0,0,0,0,0,0,0,0,0,0,623
"100","CITY OF MADISON DANE","DANE","CITY OF MADISON",181459,12646,27894,141578,141577,64,141485,0,32722,69,28669,328,414,82,119,2,66,0,12,0,5,1,141578
"101","CITY OF MANAWA WAUPACA","WAUPACA","CITY OF MANAWA",533,26,134,563,563,298,0,265,79,0,76,0,0,0,2,0,2,0,2,0,0,0,563
"102","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",20337,802,1813,16302,16302,0,15831,410,3683,30,3596,0,10,0,52,5,32,0,40,1,7,0,16302
"103","CITY OF MARINETTE MARINETTE","MARINETTE","CITY OF MARINETTE",6338,101,688,5126,5127,0,3578,1548,681,0,667,2,9,0,10,0,9,0,4,0,1,0,5126
"104","CITY OF MARION SHAWANO","SHAWANO","CITY OF MARION",14,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"105","CITY OF MARION WAUPACA","WAUPACA","CITY OF MARION",644,18,78,548,549,0,274,274,57,0,54,0,0,0,0,0,0,0,0,0,0,0,548
"106","CITY OF MARKESAN GREEN LAKE","GREEN LAKE","CITY OF MARKESAN",783,35,81,710,710,1,505,204,112,0,110,1,1,0,1,0,1,0,0,0,0,0,710
"107","CITY OF MARSHFIELD MARATHON","MARATHON","CITY OF MARSHFIELD",408,39,46,377,377,0,377,0,115,0,110,1,0,0,1,0,0,0,0,0,0,0,377
"108","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",11193,316,1117,9522,9522,0,9522,0,1808,16,1775,7,4,0,14,6,7,1,11,5,0,0,9522
"109","CITY OF MAUSTON JUNEAU","JUNEAU","CITY OF MAUSTON",1610,92,354,1641,1639,0,1242,399,336,0,332,0,4,0,5,0,3,0,3,0,1,0,1641
"110","CITY OF MAYVILLE DODGE","DODGE","CITY OF MAYVILLE",3038,106,360,2566,2567,0,2566,0,492,2,483,0,3,0,6,1,3,0,4,1,2,0,2566
"111","CITY OF MEDFORD TAYLOR","TAYLOR","CITY OF MEDFORD",2167,104,324,2035,2034,0,2004,31,425,0,407,1,0,0,0,0,0,0,0,0,0,0,2035
"112","CITY OF MELLEN ASHLAND","ASHLAND","CITY OF MELLEN",442,4,55,374,374,374,0,0,45,43,43,0,0,0,0,0,0,0,0,0,0,0,374
"113","CITY OF MENASHA CALUMET","CALUMET","CITY OF MENASHA",1281,54,162,1132,1132,0,1131,1,296,1,291,0,3,0,1,0,1,0,1,0,0,0,1132
"114","CITY OF MENASHA WINNEBAGO","WINNEBAGO","CITY OF MENASHA",10118,199,1133,7352,7352,0,7182,171,2018,0,1998,3,10,0,20,3,10,0,20,1,4,0,7352
"115","CITY OF MENOMONIE DUNN","DUNN","CITY OF MENOMONIE",11454,549,2629,8699,8699,0,7493,1204,1593,0,1583,5,20,0,14,0,8,0,10,0,1,0,8699
"116","CITY OF MEQUON OZAUKEE","OZAUKEE","CITY OF MEQUON",19535,447,1208,14938,14938,0,14882,56,6125,10,5734,345,37,4,14,2,5,0,14,0,0,0,14938
"117","CITY OF MERRILL LINCOLN","LINCOLN","CITY OF MERRILL",6480,196,542,4587,4587,4587,0,0,762,12,730,0,0,0,10,1,4,0,0,0,0,0,4587
"118","CITY OF MIDDLETON DANE","DANE","CITY OF MIDDLETON",14496,825,1151,10476,10476,0,10474,0,4960,2,4917,5,2,1,8,0,7,0,51,4,43,3,10476
"119","CITY OF MILTON ROCK","ROCK","CITY OF MILTON",3309,69,347,2894,2894,0,2894,0,946,0,934,0,1,0,8,1,1,0,8,1,1,0,2894
"120","CITY OF MILWAUKEE MILWAUKEE","MILWAUKEE","CITY OF MILWAUKEE",342375,6543,62256,275042,275239,0,274387,300,46917,408,45124,141,273,1,394,12,221,5,128,2,0,0,275042
"121","CITY OF MILWAUKEE WASHINGTON","WASHINGTON","CITY OF MILWAUKEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","CITY OF MILWAUKEE WAUKESHA","WAUKESHA","CITY OF MILWAUKEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","CITY OF MINERAL POINT IOWA","IOWA","CITY OF MINERAL POINT",1344,16,223,1359,1359,1285,0,74,145,1,139,1,1,1,1,0,1,0,0,0,0,0,1359
"124","CITY OF MONDOVI BUFFALO","BUFFALO","CITY OF MONDOVI",1234,46,215,1184,1184,3,982,199,202,0,200,0,1,0,2,0,2,0,0,0,0,0,1184
"125","CITY OF MONONA DANE","DANE","CITY OF MONONA",6080,191,415,5139,5149,0,5139,0,1681,0,1681,4,8,0,5,0,5,0,5,0,1,0,5139
"126","CITY OF MONROE GREEN","GREEN","CITY OF MONROE",5883,279,572,5097,5091,0,5097,0,1001,1,988,0,9,0,6,0,3,0,0,0,0,0,5097
"127","CITY OF MONTELLO MARQUETTE","MARQUETTE","CITY OF MONTELLO",698,40,111,706,706,368,0,338,139,0,139,0,1,0,1,0,1,0,0,0,0,0,706
"128","CITY OF MONTREAL IRON","IRON","CITY OF MONTREAL",540,6,29,461,461,285,0,176,51,2,49,49,0,0,1,0,1,0,0,0,0,0,461
"129","CITY OF MOSINEE MARATHON","MARATHON","CITY OF MOSINEE",3050,69,248,2199,2199,0,2199,0,394,0,394,0,0,0,0,0,0,0,0,0,0,0,2199
"130","CITY OF MUSKEGO WAUKESHA","WAUKESHA","CITY OF MUSKEGO",15629,591,1369,14578,14578,0,14267,306,5337,5,5184,21,7,0,41,0,23,0,33,0,9,1,14578
"131","CITY OF NEENAH WINNEBAGO","WINNEBAGO","CITY OF NEENAH",15650,512,1922,13329,13327,0,12561,768,4535,1,4459,4,9,0,11,1,7,0,11,1,2,2,13329
"132","CITY OF NEILLSVILLE CLARK","CLARK","CITY OF NEILLSVILLE",1192,31,158,1181,1182,0,1181,2,148,0,141,0,1,0,3,0,2,0,2,0,0,0,1181
"133","CITY OF NEKOOSA WOOD","WOOD","CITY OF NEKOOSA",1270,22,179,1141,1141,0,1141,0,131,0,129,0,0,0,5,0,5,0,1,0,0,0,1141
"134","CITY OF NEW BERLIN WAUKESHA","WAUKESHA","CITY OF NEW BERLIN",28256,1140,2439,24980,24980,0,24974,6,8264,9,7906,189,5,0,29,0,13,0,13,3,0,0,24980
"135","CITY OF NEW HOLSTEIN CALUMET","CALUMET","CITY OF NEW HOLSTEIN",1810,66,229,1800,1800,0,1509,291,326,1,324,8,3,1,0,0,0,0,0,0,0,0,1800
"136","CITY OF NEW LISBON JUNEAU","JUNEAU","CITY OF NEW LISBON",742,23,61,606,609,363,0,243,82,0,82,0,1,0,0,0,0,0,0,0,0,0,606
"137","CITY OF NEW LONDON OUTAGAMIE","OUTAGAMIE","CITY OF NEW LONDON",742,82,101,661,661,0,517,144,89,0,87,0,1,0,1,0,1,0,0,0,0,0,661
"138","CITY OF NEW LONDON WAUPACA","WAUPACA","CITY OF NEW LONDON",2843,81,390,2592,2592,0,1753,839,395,1,388,0,5,0,2,0,1,0,0,0,0,0,2592
"139","CITY OF NEW RICHMOND ST. CROIX","ST. CROIX","CITY OF NEW RICHMOND",4276,277,808,4004,4004,0,3551,453,1124,0,1103,0,1,0,4,0,3,0,0,0,0,0,4004
"140","CITY OF NIAGARA MARINETTE","MARINETTE","CITY OF NIAGARA",823,7,128,761,761,228,0,533,143,0,139,0,0,0,3,0,2,0,0,0,0,0,761
"141","CITY OF OAK CREEK MILWAUKEE","MILWAUKEE","CITY OF OAK CREEK",19023,851,2946,17672,17679,0,18352,320,4641,10,4552,3,14,0,37,2,18,0,31,7,6,0,17672
"142","CITY OF OCONOMOWOC WAUKESHA","WAUKESHA","CITY OF OCONOMOWOC",10348,461,1053,8659,8661,0,8657,2,3039,8,2987,1,14,0,5,0,1,0,5,0,3,0,8659
"143","CITY OF OCONTO FALLS OCONTO","OCONTO","CITY OF OCONTO FALLS",1513,12,192,1232,1232,0,1024,208,164,0,157,3,1,0,2,0,2,0,0,0,0,0,1232
"144","CITY OF OCONTO OCONTO","OCONTO","CITY OF OCONTO",2149,81,223,2064,2064,2,1462,601,377,0,370,0,0,0,3,0,2,0,0,0,0,0,2064
"145","CITY OF OMRO WINNEBAGO","WINNEBAGO","CITY OF OMRO",1764,75,286,1661,1661,0,1661,0,39,0,387,0,0,0,3,0,1,0,0,0,0,0,1661
"146","CITY OF ONALASKA LA CROSSE","LA CROSSE","CITY OF ONALASKA",11670,723,1335,9675,9675,0,9675,0,4024,3,3910,1,5,0,18,0,7,0,16,4,7,4,9675
"147","CITY OF OSHKOSH WINNEBAGO","WINNEBAGO","CITY OF OSHKOSH",43839,1525,6896,33262,33262,0,31073,2108,2594,0,2381,22,38,4,64,1,41,1,0,0,0,0,33262
"148","CITY OF OSSEO TREMPEALEAU","TREMPEALEAU","CITY OF OSSEO",820,18,150,810,816,19,0,618,73,0,71,1,0,0,0,0,0,0,0,0,0,0,810
"149","CITY OF OWEN CLARK","CLARK","CITY OF OWEN",481,20,74,463,463,463,0,0,51,0,50,0,0,0,1,0,0,0,0,0,0,0,463
"150","CITY OF PARK FALLS PRICE","PRICE","CITY OF PARK FALLS",1308,0,192,1326,1326,1069,0,257,209,0,209,0,0,0,3,0,2,0,1,0,0,1,1326
