ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTYNO,COUNTY,MUNICIPALITY_TYPE,MUNICIPALITYNO,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Joe Biden Barack Obama,Sarah Palin John McCain,Rosa Clemente Cynthia McKinney,Wayne A. Root Bob Barr,Stewart A. Alexander Brian Moore,Robert Moses Gloria LaRiva,Matt Gonzalez Ralph Nader,Darrell L. Castle Chuck Baldwin,David J. Klimisch Jeffrey J. Wamboldt,Scattering 
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,8,Ward 8,252,96,2,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,9,Ward 9,252,63,1,0,0,0,1,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,10,Ward 10,261,112,0,0,0,0,5,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,11,Ward 11,311,108,0,0,0,0,3,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,251,Mellen,2251,2,Wards 1 - 3,266,98,1,0,0,0,3,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,2,Almena,3002,2,Wards 1 - 3,218,202,1,2,0,0,4,2,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,4,Arland,3004,2,,154,131,0,4,0,0,3,2,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,6,Barron,3006,2,Wards 1 & 2,166,257,0,2,0,0,4,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,8,Bear Lake,3008,2,,202,157,2,0,0,0,5,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,10,Cedar Lake,3010,2,,292,315,2,3,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,12,Chetek,3012,2,Wards 1 - 3,505,491,0,1,0,0,7,2,0,5
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,14,Clinton,3014,2,Wards 1 & 2,147,187,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,16,Crystal Lake,3016,2,,231,187,0,1,0,0,3,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,18,Cumberland,3018,2,,228,204,1,3,0,1,3,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,20,Dallas,3020,2,Wards 1 & 2,138,150,0,0,0,0,2,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,22,Dovre,3022,2,,222,167,0,1,0,0,4,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,24,Doyle,3024,2,,134,141,1,1,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,26,Lakeland,3026,2,Wards 1 & 2,296,241,1,2,0,0,4,1,1,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,28,Maple Grove,3028,2,Wards 1 - 3,200,270,0,5,0,0,4,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,30,Maple Plain,3030,2,,258,213,0,1,0,0,4,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,32,Oak Grove,3032,2,Wards 1 & 2,285,202,0,1,0,0,1,3,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,34,Prairie Farm,3034,2,Wards 1 & 2,150,124,0,2,0,0,3,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,36,Prairie Lake,3036,2,Wards 1 & 2,387,408,0,3,0,0,2,1,0,3
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,38,Rice Lake,3038,2,Wards 1 - 4,821,778,3,2,0,0,5,2,0,4
04-Nov-08,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,40,Sioux Creek,3040,2,,155,168,1,4,0,0,1,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,42,Stanfold,3042,2,,177,170,1,5,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,44,Stanley,3044,2,Wards 1 - 3,633,674,0,2,0,0,7,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,46,Sumner,3046,2,Wards 1 & 2,210,184,0,1,0,0,4,0,1,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,48,Turtle Lake,3048,2,,160,125,1,1,0,0,1,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,50,Vance Creek,3050,2,,183,141,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,101,Almena,3101,2,,157,137,1,2,0,0,6,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,111,Cameron,3111,2,Wards 1 & 2,402,343,0,0,0,0,8,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Village,116,Dallas,3116,2,,86,88,0,0,0,0,1,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,136,Haugen,3136,2,,94,60,1,1,0,0,2,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Village,151,New Auburn,3151,2,Ward 2,2,5,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,171,Prairie Farm,3171,2,,120,88,0,1,0,0,1,1,1,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,186,Turtle Lake,3186,2,Ward 1,258,141,1,0,0,0,2,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,206,Barron,3206,2,Wards 1 - 7,780,649,3,3,0,0,6,4,1,5
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,211,Chetek,3211,2,Wards 1 - 4,598,468,2,2,0,0,1,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,212,Cumberland,3212,2,Wards 1 - 5,708,416,4,4,0,2,12,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,City,276,Rice Lake,3276,,Wards 1 - 17,2321,1775,8,12,3,0,23,6,0,11
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,2,Barksdale,4002,,,274,194,2,1,0,0,6,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,4,Barnes,4004,2,,315,262,1,1,0,1,4,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,6,Bayfield,4006,2,,318,151,1,1,0,0,2,2,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,8,Bayview,4008,2,,207,134,0,0,0,0,3,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,10,Bell,4010,2,,119,72,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,12,Cable,4012,2,,257,243,0,1,0,0,7,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,14,Clover,4014,2,,95,72,1,0,0,0,2,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,16,Delta,4016,2,,113,94,0,1,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,18,Drummond,4018,2,,223,118,0,1,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,20,Eileen,4020,2,Wards 1 & 2,257,162,0,0,0,0,2,0,0,6
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,21,Grand View,4021,2,,189,103,1,0,0,0,4,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,22,Hughes,4022,2,,152,106,2,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,24,Iron River,4024,2,Wards 1 & 2,426,285,1,2,0,0,3,0,1,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,26,Kelly,4026,2,,134,105,0,0,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,28,Keystone,4028,2,,130,80,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,30,Lincoln,4030,2,,110,66,0,0,0,0,1,1,1,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,32,Mason,4032,2,,90,85,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,34,Namakagon,4034,2,,99,127,0,1,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,36,Orienta,4036,2,,48,32,0,0,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,38,Oulu,4038,2,,173,128,0,0,0,0,1,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,40,Pilsen,4040,2,,110,40,0,0,0,0,0,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,42,Port Wing,4042,2,,177,96,0,1,0,0,4,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,46,Russell,4046,2,Wards 1 & 2,499,58,1,0,0,0,3,0,1,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,48,Tripp,4048,2,,52,51,0,0,0,0,2,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Town,50,Washburn,4050,2,,250,90,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,Village,151,Mason,4151,2,,36,15,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,201,Ashland,4201,1,Ward 12,0,0,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,206,Bayfield,4206,,Wards 1 - 4,251,85,0,0,0,0,1,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,4,Bayfield,City,291,Washburn,4291,8,Wards 1 - 4,868,311,1,5,0,0,8,1,1,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,10,Eaton,5010,3,Wards 1 & 2,483,379,1,2,0,0,4,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,12,Glenmore,5012,4,Wards 1 & 2,301,335,2,1,0,0,5,0,1,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,14,Green Bay,5014,2,Wards 1 & 2,557,569,0,1,0,0,2,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,3,3,5,Brown,Town,18,Holland,5018,2,Wards 1 & 2,408,419,3,6,0,0,10,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,22,Humboldt,5022,2,Wards 1 & 2,364,336,1,1,0,0,6,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Town,24,Lawrence,5024,2,Wards 1 - 3,1046,1216,1,7,0,0,14,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,25,Ledgeview,5025,2,Wards 1 - 4,1548,1877,3,4,0,1,18,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,3,3,5,Brown,Town,26,Morrison,5026,2,Wards 1 & 2,354,521,2,1,1,0,3,6,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,28,New Denmark,5028,2,Wards 1 - 3,438,468,0,4,0,0,6,1,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Town,30,Pittsfield,5030,2,Wards 1 - 4,670,836,1,6,1,0,6,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,34,Rockland,5034,2,Wards 1 & 2,443,556,2,2,0,0,3,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,1,3,5,Brown,Town,36,Scott,5036,2,Wards 1 - 4,1113,958,3,9,0,0,12,6,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,Town,36,Scott,5036,3,Ward 5,35,28,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Town,40,Wrightstown,5040,4,Wards 1 - 3,583,561,2,7,0,0,3,6,1,1
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,5,Wards 1 & 2,1021,626,3,4,0,0,6,1,0,5
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,6,Wards 3 & 4,1205,947,5,7,0,1,9,2,1,7
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,7,Wards 5 & 6,1071,1197,0,12,0,0,14,4,1,4
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,102,Allouez,5102,9,Wards 7 - 9,926,865,0,13,1,0,11,3,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,10,Wards 1 & 2,741,483,1,4,0,0,7,1,2,5
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,11,Wards 3 & 4,762,571,1,2,1,0,7,1,0,6
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,12,Wards 5 & 6,795,690,4,3,0,0,13,1,1,2
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,13,Wards 7 & 8,754,776,1,4,0,0,7,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Village,104,Ashwaubenon,5104,14,Ward 9,298,299,0,0,0,0,1,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,15,Ward 10,564,538,0,4,0,0,4,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,Village,104,Ashwaubenon,5104,16,Wards 11 & 12,891,908,1,9,0,0,10,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,106,Bellevue,5106,1,Wards 1 - 6,1923,1606,1,14,0,0,22,3,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,106,Bellevue,5106,2,Wards 7 - 10,1946,1887,3,10,0,1,14,2,0,4
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,116,Denmark,5116,3,Wards 1 - 3,630,441,1,5,0,0,4,2,1,1
04-Nov-08,FALL,GENERAL,PRES,President,8,2,5,3,5,Brown,Village,126,Hobart,5126,1,Wards 1 - 7,1619,1897,2,8,0,1,15,7,0,5
04-Nov-08,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,136,Howard,5136,11,"Wards 1 - 4, 11 & 12",1378,1177,4,10,0,0,10,5,0,4
04-Nov-08,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,136,Howard,5136,12,Wards 5 - 10,1580,1634,7,16,0,3,11,5,0,11
04-Nov-08,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,136,Howard,5136,13,Wards 13 - 16,1448,1590,4,4,1,2,10,1,0,5
04-Nov-08,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,171,Pulaski,5171,2,Wards 1 - 3 & 6,787,681,2,9,0,0,12,4,1,2
04-Nov-08,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,178,Suamico,5178,1,Wards 1 - 3 & 10,953,1248,2,8,0,0,9,2,1,5
04-Nov-08,FALL,GENERAL,PRES,President,8,30,90,3,5,Brown,Village,178,Suamico,5178,2,Ward 7,281,514,0,3,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,30,89,3,5,Brown,Village,178,Suamico,5178,3,"Wards 4 - 6, 8 & 9",1514,1696,1,10,0,0,11,5,0,4
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,Village,191,Wrightstown,5191,2,Wards 1 & 2,612,598,2,4,0,0,5,9,0,2
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,10,Wards 1 - 3,1740,1596,2,4,0,1,15,4,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,11,Wards 4 - 7,1684,1328,2,11,1,0,15,8,0,7
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,12,Wards 8 - 10,1567,1083,5,10,0,1,20,1,0,7
04-Nov-08,FALL,GENERAL,PRES,President,8,2,4,3,5,Brown,City,216,De Pere,5216,13,Wards 11 - 14,1842,1662,4,18,0,2,13,5,0,5
04-Nov-08,FALL,GENERAL,PRES,President,8,1,2,3,5,Brown,City,216,De Pere,5216,15,Wards 15 - 17,60,51,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,49,Ward 1,712,625,0,1,0,0,4,2,0,2
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,50,Ward 2,876,412,3,3,1,0,12,0,0,5
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,51,Ward 3,583,588,2,5,0,1,1,1,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,52,Ward 4,642,405,2,3,0,0,5,2,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,53,Ward 5,878,744,2,3,0,0,6,2,0,2
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,54,Ward 6,560,254,0,4,0,0,2,0,0,3
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,55,Ward 7,814,665,0,1,0,1,2,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,56,Ward 8,713,605,1,9,0,0,7,0,1,3
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,57,Ward 9,507,462,1,0,0,0,8,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,58,Ward 10,576,572,2,3,0,0,10,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,59,Ward 11,631,361,0,5,0,0,8,2,0,0
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,60,Ward 12,408,206,1,1,0,0,7,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,8,30,88,3,5,Brown,City,231,Green Bay,5231,61,Ward 13,482,250,1,2,1,0,3,1,0,2
