"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","other.nonas","decided.total","trump.defs","clinton.defs","other.defs"
"52","--","NBC/SurveyMonkey",2016-10-31,"2016-11-06","2016-11-07T12:04:56Z",70194,"Likely Voters","Internet",41,47,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770","https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,3,91,45.0549450549451,51.6483516483517,3.2967032967033
"53","--","Politico/Morning Consult",2016-11-04,"2016-11-05","2016-11-06T12:47:24Z",1482,"Likely Voters","Internet",42,45,4,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,NA,4,91,46.1538461538462,49.4505494505495,4.3956043956044
"57","--","NBC/WSJ",2016-11-03,"2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",40,44,5,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1,NA,5,89,44.9438202247191,49.438202247191,5.61797752808989
"58","--","NBC/WSJ",2016-11-03,"2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",43,48,3,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?",2,NA,3,94,45.7446808510638,51.063829787234,3.19148936170213
"59","--","Franklin Pierce/RKM/Boston Herald",2016-11-01,"2016-11-05","2016-11-07T12:53:13Z",1009,"Likely Voters","Live Phone",44,48,3,1,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win","Nonpartisan","None","",1,NA,3,95,46.3157894736842,50.5263157894737,3.15789473684211
"63","--","Angus Reid/MARU-Matchbox",2016-11-01,"2016-11-04","2016-11-07T20:44:02Z",1113,"Likely Voters","Internet",44,48,2,NA,"http://elections.huffingtonpost.com/pollster/polls/angus-reid-maru-matchbox-26804","http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf","Nonpartisan","None","Which one of the following candidates are you most likely to support on Election Day? ",1,NA,2,94,46.8085106382979,51.063829787234,2.12765957446809
"64","--","McClatchy/Marist",2016-11-01,"2016-11-03","2016-11-05T15:16:08Z",940,"Likely Voters","Live Phone",44,46,8,2,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If next  week's (November's) presidential election were held today, whom would you support if the candidates are:",1,NA,8,98,44.8979591836735,46.9387755102041,8.16326530612245
"68","--","McClatchy/Marist",2016-11-01,"2016-11-03","2016-11-05T15:16:08Z",940,"Likely Voters","Live Phone",43,44,5,2,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-26734","http://maristpoll.marist.edu/114-mcclatchy-marist-poll/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+PebblesAndPundits+%28Pebbles+and+Pundits%29","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2,NA,5,92,46.7391304347826,47.8260869565217,5.43478260869565
"72","--","FOX",2016-11-01,"2016-11-03","2016-11-04T22:16:34Z",1107,"Likely Voters","Live Phone",43,45,4,4,"http://elections.huffingtonpost.com/pollster/polls/fox-26728","http://www.foxnews.com/politics/interactive/2016/11/04/fox-news-poll-results-11416/","Nonpartisan","None","",1,NA,4,92,46.7391304347826,48.9130434782609,4.34782608695652
"76","--","FOX",2016-11-01,"2016-11-03","2016-11-04T22:16:34Z",1107,"Likely Voters","Live Phone",45,46,1,6,"http://elections.huffingtonpost.com/pollster/polls/fox-26728","http://www.foxnews.com/politics/interactive/2016/11/04/fox-news-poll-results-11416/","Nonpartisan","None","",2,NA,1,92,48.9130434782609,50,1.08695652173913
"80","--","Lucid/The Times-Picayune",2016-11-01,"2016-11-03","2016-11-04T18:56:13Z",873,"Likely Voters","Internet",39,44,2,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26717","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,85,45.8823529411765,51.7647058823529,2.35294117647059
"81","--","IBD/TIPP",2016-10-30,"2016-11-03","2016-11-04T11:48:24Z",898,"Likely Voters","Live Phone",44,44,4,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26691","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,NA,4,92,47.8260869565217,47.8260869565217,4.34782608695652
"82","--","IBD/TIPP",2016-10-30,"2016-11-03","2016-11-04T11:48:24Z",898,"Likely Voters","Live Phone",44,45,4,7,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26691","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",2,NA,4,93,47.3118279569892,48.3870967741936,4.3010752688172
"83","--","ABC/Post",2016-10-30,"2016-11-02","2016-11-04T11:45:19Z",1151,"Likely Voters","Live Phone",44,47,4,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26690","http://abcnews.go.com/Politics/hint-momentum-clinton-issues-defining-factor-poll/story?id=43281152","Nonpartisan","None","",1,NA,4,95,46.3157894736842,49.4736842105263,4.21052631578947
"84","--","ABC/Post",2016-10-30,"2016-11-02","2016-11-04T11:45:19Z",1151,"Likely Voters","Live Phone",46,49,2,3,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26690","http://abcnews.go.com/Politics/hint-momentum-clinton-issues-defining-factor-poll/story?id=43281152","Nonpartisan","None","",2,NA,2,97,47.4226804123711,50.5154639175258,2.06185567010309
"85","--","YouGov/Economist",2016-10-30,"2016-11-01","2016-11-02T14:26:40Z",1233,"Likely Voters","Internet",43,46,4,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,4,93,46.2365591397849,49.4623655913978,4.3010752688172
"89","--","YouGov/Economist",2016-10-30,"2016-11-01","2016-11-02T14:26:40Z",1233,"Likely Voters","Internet",45,48,7,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26618","https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/","Nonpartisan","None","",2,NA,7,100,45,48,7
"93","--","Rasmussen",2016-10-30,"2016-11-01","2016-11-02T12:36:26Z",1500,"Likely Voters","IVR/Online",44,44,4,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26615","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_30_31_november_1_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,4,92,47.8260869565217,47.8260869565217,4.34782608695652
"94","--","CBS/Times",2016-10-28,"2016-11-01","2016-11-03T12:15:46Z",1333,"Likely Voters","Live Phone",44,47,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",1,NA,5,96,45.8333333333333,48.9583333333333,5.20833333333333
"98","--","CBS/Times",2016-10-28,"2016-11-01","2016-11-03T12:15:46Z",NA,"Likely Voters","Live Phone",42,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26647","https://www.scribd.com/document/329861949/CBS-News-New-York-Times-Poll-Nov-3-2016#from_embed","Nonpartisan","None","",2,NA,5,92,45.6521739130435,48.9130434782609,5.43478260869565
"102","--","Gravis Marketing/OANN",2016-10-31,"2016-10-31","2016-11-04T12:47:21Z",5360,"Registered Voters","IVR/Online",50,50,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-26695","http://www.oann.com/pollnational/","Sponsor","Rep","",1,NA,0,100,50,50,NA
"103","--","Gravis Marketing/OANN",2016-10-31,"2016-10-31","2016-11-04T12:47:21Z",5360,"Registered Voters","IVR/Online",45,46,2,3,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-26695","http://www.oann.com/pollnational/","Sponsor","Rep","",2,NA,2,93,48.3870967741936,49.4623655913978,2.1505376344086
"104","--","Lucid/The Times-Picayune",2016-10-29,"2016-10-31","2016-11-01T18:05:16Z",866,"Likely Voters","Internet",40,42,2,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26602","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,84,47.6190476190476,50,2.38095238095238
"105","--","Politico/Morning Consult",2016-10-29,"2016-10-30","2016-10-31T11:49:31Z",1772,"Likely Voters","Internet",43,46,NA,11,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26556","http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519","Nonpartisan","None","",1,NA,0,89,48.314606741573,51.685393258427,NA
"109","--","Politico/Morning Consult",2016-10-29,"2016-10-30","2016-10-31T11:49:31Z",1772,"Likely Voters","Internet",39,42,5,6,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26556","http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519","Nonpartisan","None","",2,NA,5,86,45.3488372093023,48.8372093023256,5.81395348837209
"113","--","Politico/Morning Consult",2016-10-27,"2016-10-30","2016-11-03T15:33:20Z",1249,"Likely Voters","Live Phone",47,52,NA,1,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26662","https://morningconsult.com/wp-content/uploads/2016/11/MCModeStudyFinalToplines.pdf","Nonpartisan","None","",1,NA,0,99,47.4747474747475,52.5252525252525,NA
"114","--","Politico/Morning Consult",2016-10-27,"2016-10-30","2016-11-03T15:32:16Z",825,"Likely Voters","Internet",48,51,NA,1,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26661","https://morningconsult.com/wp-content/uploads/2016/11/MCModeStudyFinalToplines.pdf","Nonpartisan","None","",1,NA,0,99,48.4848484848485,51.5151515151515,NA
"115","--","UPI/CVOTER",2016-10-24,"2016-10-30","2016-11-01T15:51:21Z",1299,"Likely Voters","Internet",48,49,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26598","https://www.documentcloud.org/documents/3211544-UPI-CVoter-30-Oct-2016.html","Nonpartisan","None","",1,NA,3,100,48,49,3
"116","--","NBC/SurveyMonkey",2016-10-24,"2016-10-30","2016-10-31T20:12:40Z",40816,"Likely Voters","Internet",44,51,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26584","https://www.scribd.com/document/329549003/NBC-News-SurveyMonkey-Toplines-and-Methodology-1024-1030?secret_password=LnCL1BQpi23OCLNwYALQ","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates, for whom would you vote?   ",1,NA,0,95,46.3157894736842,53.6842105263158,NA
"117","--","NBC/SurveyMonkey",2016-10-24,"2016-10-30","2016-10-31T20:12:40Z",40816,"Likely Voters","Internet",41,47,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26584","https://www.scribd.com/document/329549003/NBC-News-SurveyMonkey-Toplines-and-Methodology-1024-1030?secret_password=LnCL1BQpi23OCLNwYALQ","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,3,91,45.0549450549451,51.6483516483517,3.2967032967033
"118","--","ABC/Post",2016-10-26,"2016-10-29","2016-10-31T11:42:49Z",1695,"Likely Voters","Live Phone",45,46,4,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26555","https://www.washingtonpost.com/news/the-fix/wp/2016/10/31/clinton-loses-popularity-edge-in-tight-race-with-trump-new-post-abc-tracking-poll-finds/","Nonpartisan","None","",1,NA,4,95,47.3684210526316,48.4210526315789,4.21052631578947
"119","--","ABC/Post",2016-10-26,"2016-10-29","2016-10-31T11:42:49Z",1695,"Likely Voters","Live Phone",47,49,2,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26555","https://www.washingtonpost.com/news/the-fix/wp/2016/10/31/clinton-loses-popularity-edge-in-tight-race-with-trump-new-post-abc-tracking-poll-finds/","Nonpartisan","None","",2,NA,2,98,47.9591836734694,50,2.04081632653061
"120","--","IBD/TIPP",2016-10-24,"2016-10-29","2016-10-30T14:40:50Z",1039,"Likely Voters","Live Phone",42,44,4,4,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26550","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,NA,4,90,46.6666666666667,48.8888888888889,4.44444444444444
"121","--","IBD/TIPP",2016-10-24,"2016-10-29","2016-10-30T14:40:50Z",1039,"Likely Voters","Live Phone",41,45,5,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26550","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",2,NA,5,91,45.0549450549451,49.4505494505495,5.49450549450549
"122","--","Lucid/The Times-Picayune",2016-10-26,"2016-10-28","2016-10-31T17:48:32Z",865,"Likely Voters","Internet",40,43,3,8,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26580","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,3,86,46.5116279069767,50,3.48837209302326
"123","--","Rasmussen",2016-10-25,"2016-10-27","2016-10-28T13:00:11Z",1500,"Likely Voters","IVR/Online",45,45,4,2,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26517","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_25_27_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,4,94,47.8723404255319,47.8723404255319,4.25531914893617
"124","--","Saint Leo University",2016-10-22,"2016-10-26","2016-10-28T17:28:16Z",1050,"Likely Voters","Internet",34,45,2,12,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-26530","http://polls.saintleo.edu/wp-content/uploads/2016/10/SLU-Polling-Institute-Report-October-National.pdf","Nonpartisan","None","If the November presidential election was held today between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, which candidate would you support or which have you already supported in early voting?",1,NA,2,81,41.9753086419753,55.5555555555556,2.46913580246914
"125","--","Saint Leo University",2016-10-22,"2016-10-26","2016-10-28T17:28:16Z",1050,"Likely Voters","Internet",32,43,7,13,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-26530","http://polls.saintleo.edu/wp-content/uploads/2016/10/SLU-Polling-Institute-Report-October-National.pdf","Nonpartisan","None","If the November presidential election was held today and Evan McMullin, the Independent Conservative from Utah was also on your ballot, which candidate would you support or which have you supported if you already voted in early voting?",2,NA,7,82,39.0243902439024,52.4390243902439,8.53658536585366
"126","--","YouGov/Economist",2016-10-22,"2016-10-26","2016-10-27T17:52:01Z",1209,"Likely Voters","Internet",41,46,3,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26504","https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,3,90,45.5555555555556,51.1111111111111,3.33333333333333
"130","--","YouGov/Economist",2016-10-22,"2016-10-26","2016-10-27T17:52:01Z",1209,"Likely Voters","Internet",46,49,5,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26504","https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/","Nonpartisan","None","",2,NA,5,100,46,49,5
"134","--","Lucid/The Times-Picayune",2016-10-23,"2016-10-25","2016-10-26T19:10:12Z",875,"Likely Voters","Internet",39,43,2,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26482","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,84,46.4285714285714,51.1904761904762,2.38095238095238
"135","--","ABC/Post",2016-10-22,"2016-10-25","2016-10-27T12:21:38Z",1135,"Likely Voters","Live Phone",42,48,1,3,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26490","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-tracking-poll-october-22-25/2111/","Nonpartisan","None","",1,NA,1,91,46.1538461538462,52.7472527472528,1.0989010989011
"136","--","ABC/Post",2016-10-22,"2016-10-25","2016-10-27T12:21:38Z",1135,"Likely Voters","Live Phone",44,51,3,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26490","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-tracking-poll-october-22-25/2111/","Nonpartisan","None","",2,NA,3,98,44.8979591836735,52.0408163265306,3.06122448979592
"137","--","FOX",2016-10-22,"2016-10-25","2016-10-26T22:34:49Z",1221,"Likely Voters","Live Phone",41,44,4,4,"http://elections.huffingtonpost.com/pollster/polls/fox-26488","http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/","Nonpartisan","None","",1,NA,4,89,46.0674157303371,49.438202247191,4.49438202247191
"141","--","FOX",2016-10-22,"2016-10-25","2016-10-26T22:34:49Z",1221,"Likely Voters","Live Phone",44,49,1,7,"http://elections.huffingtonpost.com/pollster/polls/fox-26488","http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/","Nonpartisan","None","",2,NA,1,94,46.8085106382979,52.1276595744681,1.06382978723404
"145","--","Pew",2016-10-20,"2016-10-25","2016-10-27T19:03:34Z",2120,"Registered Voters","Live Phone",40,46,5,4,"http://elections.huffingtonpost.com/pollster/polls/pew-26507","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/","Nonpartisan","None","",1,NA,5,91,43.956043956044,50.5494505494505,5.49450549450549
