G.A.B. Canvass Reporting System,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ward by Ward Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2014 GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GOVERNOR/LIEUTENANT GOVERNOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Total Votes Cast,DEM,REP,IND,IND,,IND,REP,CON,IND,IND,REP,
,TOWN OF WHITE RIVER Wards 1-2,394,155,237,2,0,,0,0,0,0,0,0,0
,VILLAGE OF BUTTERNUT Wards 1-2,142,80,60,0,2,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 1,398,197,199,0,2,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 2,218,154,56,5,3,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 3,256,165,87,1,3,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 4,374,234,136,0,4,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 5,328,234,93,0,1,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 6,245,184,52,3,5,,0,0,0,1,0,0,0
,CITY OF ASHLAND WARD 7,321,260,52,1,7,,1,0,0,0,0,0,0
,CITY OF ASHLAND WARD 8,260,170,87,2,1,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 9,211,160,46,1,4,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 10,280,197,78,1,4,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 11,305,209,95,0,1,,0,0,0,0,0,0,0
,CITY OF MELLEN Ward 1,238,157,80,0,1,,0,0,0,0,0,0,0
,County Totals:,"6,566","4,150","2,333",26,55,,1,0,0,1,0,0,0
BARRON ,TOWN OF ALMENA Wards 1-2,347,157,189,0,1,,0,0,0,0,0,0,0
,TOWN OF ARLAND WARD 1,235,102,128,1,4,,0,0,0,0,0,0,0
,TOWN OF BARRON Wards 1-2,284,80,200,1,3,,0,0,0,0,0,0,0
,TOWN OF BEAR LAKE Ward 1,269,106,163,0,0,,0,0,0,0,0,0,0
,TOWN OF CEDAR LAKE Ward 1,535,183,345,3,3,,1,0,0,0,0,0,0
,TOWN OF CHETEK Wards 1 - 2,806,305,496,2,3,,0,0,0,0,0,0,0
,TOWN OF CLINTON Ward 1,256,102,152,0,2,,0,0,0,0,0,0,0
,TOWN OF CRYSTAL LAKE Ward 1,297,132,163,0,2,,0,0,0,0,0,0,0
,TOWN OF CUMBERLAND Ward 1,340,137,200,0,3,,0,0,0,0,0,0,0
,TOWN OF DALLAS Ward 1,220,69,149,0,2,,0,0,0,0,0,0,0
,TOWN OF DOVRE Ward 1,290,112,176,1,1,,0,0,0,0,0,0,0
,TOWN OF DOYLE Wards 1-2,211,67,143,0,1,,0,0,0,0,0,0,0
,TOWN OF LAKELAND Wards 1-2,437,178,254,1,3,,0,0,0,0,0,0,1
,TOWN OF MAPLE GROVE Wards 1-2,365,111,250,1,3,,0,0,0,0,0,0,0
,TOWN OF MAPLE PLAIN Ward 1,374,172,201,0,1,,0,0,0,0,0,0,0
,TOWN OF OAK GROVE Wards 1-2,374,153,214,1,6,,0,0,0,0,0,0,0
,TOWN OF PRAIRIE FARM Wards 1-2,212,90,119,0,3,,0,0,0,0,0,0,0
,TOWN OF PRAIRIE LAKE WARDS 1 & 2,657,237,417,0,3,,0,0,0,0,0,0,0
,TOWN OF RICE LAKE WARDS 1-4,"1,244",518,720,4,2,,0,0,0,0,0,0,0
,TOWN OF SIOUX CREEK Ward 1,238,84,150,1,3,,0,0,0,0,0,0,0
,TOWN OF STANFOLD Ward 1,280,107,169,4,0,,0,0,0,0,0,0,0
,TOWN OF STANLEY Wards 1-4,"1,041",376,655,3,7,,0,0,0,0,0,0,0
,TOWN OF SUMNER Ward 1,298,131,163,1,3,,0,0,0,0,0,0,0
,TOWN OF TURTLE LAKE Ward 1,206,77,125,1,2,,0,0,0,0,0,0,1
,TOWN OF VANCE CREEK Ward 1,222,99,116,3,4,,0,0,0,0,0,0,0
,VILLAGE OF ALMENA Ward 1,207,77,124,3,3,,0,0,0,0,0,0,0
,VILLAGE OF CAMERON Wards 1-3,551,220,324,1,6,,0,0,0,0,0,0,0
,VILLAGE OF DALLAS Ward 1,127,43,78,1,5,,0,0,0,0,0,0,0
,VILLAGE OF HAUGEN Ward 1,116,63,53,0,0,,0,0,0,0,0,0,0
,VILLAGE OF NEW AUBURN WARD 2,4,3,1,0,0,,0,0,0,0,0,0,0
,VILLAGE OF NEW AUBURN WARD 3,0,0,0,0,0,,0,0,0,0,0,0,0
,VILLAGE OF PRAIRIE FARM Ward 1,123,57,64,1,1,,0,0,0,0,0,0,0
,VILLAGE OF TURTLE LAKE Ward 1,245,122,117,1,5,,0,0,0,0,0,0,0
,CITY OF BARRON WARDS 1 - 7,981,408,559,4,10,,0,0,0,0,0,0,0
,CITY OF CHETEK WARDS 1 - 4,710,274,411,4,21,,0,0,0,0,0,0,0
,CITY OF CUMBERLAND WARDS 1 - 4,763,382,364,9,7,,1,0,0,0,0,0,0
,CITY OF RICE LAKE Wards 1-13,"2,884","1,298","1,544",15,23,,0,0,0,0,0,0,4
,County Totals:,"16,749","6,832","9,696",67,146,,2,0,0,0,0,0,6
BAYFIELD ,TOWN OF BARKSDALE Ward 1,422,249,171,0,2,,0,0,0,0,0,0,0
,TOWN OF BARNES Ward 1,484,257,225,1,1,,0,0,0,0,0,0,0
,TOWN OF BAYFIELD Ward 1,454,311,139,2,2,,0,0,0,0,0,0,0
,TOWN OF BAYVIEW WARD 1,327,202,124,1,0,,0,0,0,0,0,0,0
,TOWN OF BELL WARD 1,193,127,65,0,1,,0,0,0,0,0,0,0
,TOWN OF CABLE WARD 1,431,187,240,1,3,,0,0,0,0,0,0,0
,TOWN OF CLOVER WARD 1,155,87,67,0,1,,0,0,0,0,0,0,0
,TOWN OF DELTA WARD 1,176,80,95,0,1,,0,0,0,0,0,0,0
,TOWN OF DRUMMOND WARD 1,253,149,103,0,1,,0,0,0,0,0,0,0
,TOWN OF EILEEN WARDS 1-2,325,170,154,0,1,,0,0,0,0,0,0,0
,TOWN OF GRAND VIEW WARD 1,229,146,83,0,0,,0,0,0,0,0,0,0
,TOWN OF HUGHES WARD 1,229,125,103,0,1,,0,0,0,0,0,0,0
,TOWN OF IRON RIVER WARDS 1-2,542,298,237,3,4,,0,0,0,0,0,0,0
,TOWN OF KELLY WARD 1,206,117,87,1,0,,0,0,0,0,0,0,1
,TOWN OF KEYSTONE WARD 1,160,85,72,1,2,,0,0,0,0,0,0,0
,TOWN OF LINCOLN WARD 1,157,82,73,0,2,,0,0,0,0,0,0,0
,TOWN OF MASON WARD 1,148,80,68,0,0,,0,0,0,0,0,0,0
,TOWN OF NAMAKAGON WARD 1,191,71,117,1,2,,0,0,0,0,0,0,0
,TOWN OF ORIENTA WARD 1,69,36,33,0,0,,0,0,0,0,0,0,0
,TOWN OF OULU WARD 1,271,129,140,1,1,,0,0,0,0,0,0,0
,TOWN OF PILSEN Ward 1,126,78,48,0,0,,0,0,0,0,0,0,0
,TOWN OF PORT WING Ward 1,235,132,101,1,1,,0,0,0,0,0,0,0
,TOWN OF RUSSELL Wards 1 - 2,492,417,67,2,6,,0,0,0,0,0,0,0
,TOWN OF TRIPP Ward 1,113,50,61,0,2,,0,0,0,0,0,0,0
,TOWN OF WASHBURN Ward 1,302,196,103,0,1,,0,0,0,0,0,0,2
,VILLAGE OF MASON Ward 1,36,27,9,0,0,,0,0,0,0,0,0,0
,CITY OF ASHLAND WARD 12,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF BAYFIELD WARDS 1 - 4,314,245,68,0,1,,0,0,0,0,0,0,0
,CITY OF WASHBURN Wards 1 - 4,983,755,222,2,4,,0,0,0,0,0,0,0
,County Totals:,"8,023","4,888","3,075",17,40,,0,0,0,0,0,0,3
BROWN ,TOWN OF EATON Wards 1-2,768,287,475,1,5,,0,0,0,0,0,0,0
,TOWN OF GLENMORE Wards 1 - 2,509,143,363,1,2,,0,0,0,0,0,0,0
,TOWN OF GREEN BAY Wards 1 - 3,"1,023",317,700,1,5,,0,0,0,0,0,0,0
,TOWN OF HOLLAND Wards 1 - 2,761,215,540,1,4,,0,0,0,0,0,0,1
,TOWN OF HUMBOLDT Wards 1 - 2,628,230,396,1,1,,0,0,0,0,0,0,0
,TOWN OF LAWRENCE Wards 1 - 6,"2,311",712,"1,577",11,10,,0,0,0,0,0,0,1
,"TOWN OF LEDGEVIEW WARDS 1-3, 8-10","1,729",542,"1,169",2,16,,0,0,0,0,0,0,0
,TOWN OF LEDGEVIEW WARDS 4-7,"1,571",516,"1,048",1,6,,0,0,0,0,0,0,0
,TOWN OF MORRISON Wards 1-2,788,173,611,2,1,,0,0,0,0,0,0,1
,TOWN OF NEW DENMARK Wards 1 - 3,758,282,469,3,4,,0,0,0,0,0,0,0
,TOWN OF PITTSFIELD Wards 1 - 3,"1,384",436,933,6,8,,0,0,0,0,0,0,1
,TOWN OF ROCKLAND Wards 1 - 3,945,270,671,1,2,,0,0,0,0,0,0,1
,TOWN OF SCOTT Wards 1-4,"1,911",772,"1,129",2,8,,0,0,0,0,0,0,0
,TOWN OF WRIGHTSTOWN Wards 1 - 3,"1,029",312,713,2,2,,0,0,0,0,0,0,0
,VILLAGE OF ALLOUEZ Wards 1 - 2,"1,628",831,783,3,11,,0,0,0,0,0,0,0
,VILLAGE OF ALLOUEZ Wards 3 - 4,"1,510",718,780,3,6,,0,0,0,0,0,0,3
,VILLAGE OF ALLOUEZ Wards 5 - 6,"1,937",759,"1,157",5,15,,0,0,0,0,0,0,1
,VILLAGE OF ALLOUEZ Wards 7 - 9,"1,509",613,882,4,9,,0,0,0,0,0,0,1
,VILLAGE OF ASHWAUBENON WD 1&2,905,388,501,6,10,,0,0,0,0,0,0,0
,VILLAGE OF ASHWAUBENON WD 3&4,"1,060",438,617,0,5,,0,0,0,0,0,0,0
,VILLAGE OF ASHWAUBENON WD 5&6,"1,217",508,695,6,8,,0,0,0,0,0,0,0
,VILLAGE OF ASHWAUBENON WD 7&8,"1,443",532,896,2,12,,0,0,0,0,0,0,1
,VILLAGE OF ASHWAUBENON WD 9&10,"1,634",594,"1,027",5,8,,0,0,0,0,0,0,0
,VILLAGE OF ASHWAUBENON WD 11&12,"1,148",495,644,3,6,,0,0,0,0,0,0,0
,VILLAGE OF BELLEVUE Wards 1-6,"2,777","1,169","1,586",5,17,,0,0,0,0,0,0,0
,VILLAGE OF BELLEVUE Wards 7-10,"3,305","1,225","2,048",9,22,,0,0,0,0,0,0,1
,VILLAGE OF DENMARK Wards 1 - 3,874,316,546,5,7,,0,0,0,0,0,0,0
,VILLAGE OF HOBART WARDS 1-8,"3,433","1,126","2,273",7,23,,0,0,0,0,0,0,4
,VILLAGE OF HOBART WARD 9,0,0,0,0,0,,0,0,0,0,0,0,0
,VILLAGE OF HOWARD Wards 1 & 12,830,290,534,1,5,,0,0,0,0,0,0,0
,"VILLAGE OF HOWARD Wards 2, 8 & 11","2,011",740,"1,256",6,9,,0,0,0,0,0,0,0
,"VILLAGE OF HOWARD Ward 3, 4 & 6",983,433,541,4,5,,0,0,0,0,0,0,0
,VILLAGE OF HOWARD Ward 5,277,121,150,1,3,,0,0,0,0,0,0,2
,VILLAGE OF HOWARD Ward 7,503,164,336,1,2,,0,0,0,0,0,0,0
,"VILLAGE OF HOWARD Ward 9, 10 & 18","1,450",582,856,2,8,,0,0,0,0,0,0,2
,VILLAGE OF HOWARD Ward 13&14,847,278,560,6,3,,0,0,0,0,0,0,0
,VILLAGE OF HOWARD Ward 15&16,"1,054",359,692,1,2,,0,0,0,0,0,0,0
,VILLAGE OF PULASKI WARDS 1-3 & 6,"1,130",423,688,7,12,,0,0,0,0,0,0,0
,VILLAGE OF SUAMICO Ward 1-4,"2,651",770,"1,862",7,10,,0,0,0,1,0,0,1
,VILLAGE OF SUAMICO Ward 5-8,"3,085",986,"2,069",12,15,,0,0,0,0,0,0,3
,VILLAGE OF WRIGHTSTOWN Wards 1 - 3,"1,040",323,709,4,4,,0,0,0,0,0,0,0
,CITY OF DE PERE WARDS 1 - 4,"2,946","1,273","1,644",7,19,,0,0,0,0,0,0,3
,CITY OF DE PERE WARD 5,180,87,92,0,1,,0,0,0,0,0,0,0
,CITY OF DE PERE WARDS 6 - 8,"1,978",878,"1,086",2,7,,0,0,0,0,0,0,5
,CITY OF DE PERE WARD 9 & 18,458,182,273,1,2,,0,0,0,0,0,0,0
,CITY OF DE PERE WARDS 10 - 12,"2,029",854,"1,145",9,21,,0,0,0,0,0,0,0
,CITY OF DE PERE WARDS 13 - 15,"2,563",937,"1,591",5,25,,0,0,0,0,0,0,5
,CITY OF DE PERE WARDS 16 - 17,5,2,3,0,0,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 1,16,5,11,0,0,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 2,984,450,532,0,2,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 3,"1,217",555,625,10,25,,0,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 4,"1,390",540,837,3,9,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 5,610,279,325,2,4,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 6,"1,359",532,817,2,8,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 7,696,298,395,1,1,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 8,"1,297",584,694,3,14,,0,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 9,392,198,190,1,3,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 10,520,275,241,1,3,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 11,561,247,308,1,5,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 12,452,217,224,2,8,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 13,488,285,194,2,7,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 14,532,250,275,3,4,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 15,908,492,398,7,10,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 16,791,483,292,5,11,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 17,663,385,273,1,4,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 18,711,331,369,3,8,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 19,434,227,197,3,4,,1,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 20,515,284,217,4,8,,0,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 21,407,234,165,2,5,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 22,215,125,87,1,2,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 23,475,242,226,2,5,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 24,646,365,274,0,7,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 25,639,324,303,4,7,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 26,462,285,170,2,5,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 27,205,128,71,2,4,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 28,573,326,233,5,9,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 29,813,392,396,9,16,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 30,713,435,260,6,10,,0,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 31,796,381,397,3,15,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 32,675,324,333,7,11,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 33,488,255,225,4,3,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 34,996,453,521,5,16,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 35,682,312,365,2,3,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 36,376,200,167,4,4,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 37,669,292,362,4,10,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 38,876,442,419,4,11,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 39,980,478,488,4,10,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 40,679,328,337,4,9,,0,0,0,0,0,0,1
,CITY OF GREEN BAY WARD 41,401,168,230,0,3,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 42,507,248,254,0,5,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 43,941,443,481,6,11,,0,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 44,"1,304",569,716,7,10,,0,0,0,0,0,0,2
,CITY OF GREEN BAY WARD 45,"1,505",528,968,4,4,,1,0,0,0,0,0,0
,CITY OF GREEN BAY WARD 46,991,485,487,2,14,,0,0,0,0,0,0,3
,CITY OF GREEN BAY WARD 47,"1,226",471,743,3,8,,0,0,0,0,0,0,1
,County Totals:,"100,291","40,751","58,408",324,741,,2,0,0,1,0,0,64
BUFFALO ,TOWN OF ALMA Ward 1,149,81,68,0,0,,0,0,0,0,0,0,0
,TOWN OF BELVIDERE Ward 1,206,86,120,0,0,,0,0,0,0,0,0,0
,TOWN OF BUFFALO Ward 1,320,120,192,5,3,,0,0,0,0,0,0,0
,TOWN OF CANTON Ward 1,110,52,58,0,0,,0,0,0,0,0,0,0
,TOWN OF CROSS Ward 1,144,53,90,0,1,,0,0,0,0,0,0,0
,TOWN OF DOVER Ward 1,160,63,95,1,1,,0,0,0,0,0,0,0
,TOWN OF GILMANTON Ward 1,153,63,88,1,1,,0,0,0,0,0,0,0
,TOWN OF GLENCOE Ward 1,195,53,142,0,0,,0,0,0,0,0,0,0
,TOWN OF LINCOLN Ward 1,107,35,69,1,2,,0,0,0,0,0,0,0
,TOWN OF MAXVILLE Ward 1,149,45,103,0,1,,0,0,0,0,0,0,0
,TOWN OF MILTON Ward 1,249,102,144,2,1,,0,0,0,0,0,0,0
,TOWN OF MODENA Ward 1,150,63,84,0,2,,0,1,0,0,0,0,0
,TOWN OF MONDOVI Ward 1,203,76,126,0,1,,0,0,0,0,0,0,0
,TOWN OF MONTANA Ward 1,122,28,94,0,0,,0,0,0,0,0,0,0
,TOWN OF NAPLES Ward 1,299,104,189,1,4,,0,0,0,0,0,0,1
,TOWN OF NELSON Ward 1,248,96,151,0,1,,0,0,0,0,0,0,0
,TOWN OF WAUMANDEE Ward 1,230,66,160,3,1,,0,0,0,0,0,0,0
,VILLAGE OF COCHRANE Ward 1,156,64,90,1,1,,0,0,0,0,0,0,0
,VILLAGE OF NELSON Ward 1,121,66,50,2,3,,0,0,0,0,0,0,0
,CITY OF ALMA WARDS 1 - 2,348,175,170,1,1,,0,0,0,0,0,0,1
,CITY OF BUFFALO CITY WARD 1,423,184,234,1,4,,0,0,0,0,0,0,0
,CITY OF FOUNTAIN CITY WARDS 1 - 2,342,162,176,2,2,,0,0,0,0,0,0,0
,CITY OF MONDOVI Wards 1-3,920,430,476,3,11,,0,0,0,0,0,0,0
,County Totals:,"5,504","2,267","3,169",24,41,,0,1,0,0,0,0,2
BURNETT ,TOWN OF ANDERSON Ward 1,177,56,119,2,0,,0,0,0,0,0,0,0
,TOWN OF BLAINE Ward 1,76,35,41,0,0,,0,0,0,0,0,0,0
,TOWN OF DANIELS Ward 1,294,103,190,0,1,,0,0,0,0,0,0,0
,TOWN OF DEWEY Ward 1,209,80,128,0,1,,0,0,0,0,0,0,0
,TOWN OF GRANTSBURG Wards 1-3,403,144,257,0,2,,0,0,0,0,0,0,0
,TOWN OF JACKSON Ward 1,458,205,252,0,1,,0,0,0,0,0,0,0
,TOWN OF LA FOLLETTE Wards 1-2,222,97,123,2,0,,0,0,0,0,0,0,0
,TOWN OF LINCOLN Ward 1,120,46,73,1,0,,0,0,0,0,0,0,0
,TOWN OF MEENON Wards 1-3,382,145,236,0,1,,0,0,0,0,0,0,0
,TOWN OF OAKLAND Wards 1-2,414,220,191,1,2,,0,0,0,0,0,0,0
,TOWN OF ROOSEVELT Ward 1,81,34,44,0,3,,0,0,0,0,0,0,0
,TOWN OF RUSK Ward 1,186,71,114,0,1,,0,0,0,0,0,0,0
,TOWN OF SAND LAKE Ward 1,211,102,105,0,4,,0,0,0,0,0,0,0
,TOWN OF SCOTT Wards 1-2,317,126,186,1,4,,0,0,0,0,0,0,0
,TOWN OF SIREN Wards 1-2,402,176,221,1,4,,0,0,0,0,0,0,0
,TOWN OF SWISS Wards 1-2,284,159,122,1,2,,0,0,0,0,0,0,0
,TOWN OF TRADE LAKE Wards 1-2,369,110,254,2,3,,0,0,0,0,0,0,0
,TOWN OF UNION Ward 1,155,73,80,1,1,,0,0,0,0,0,0,0
,TOWN OF WEBB LAKE Ward 1,215,71,143,0,1,,0,0,0,0,0,0,0
,TOWN OF WEST MARSHLAND Wards 1-2,131,39,91,1,0,,0,0,0,0,0,0,0
,TOWN OF WOOD RIVER Wards 1-3,432,136,296,0,0,,0,0,0,0,0,0,0
,VILLAGE OF GRANTSBURG Wards 1- 3,499,164,331,0,4,,0,0,0,0,0,0,0
,VILLAGE OF SIREN Wards 1 & 2,271,122,144,2,3,,0,0,0,0,0,0,0
,VILLAGE OF WEBSTER Wards 1-2,229,101,127,0,1,,0,0,0,0,0,0,0
,County Totals:,"6,537","2,615","3,868",15,39,,0,0,0,0,0,0,0
CALUMET ,"TOWN OF BRILLION WARDS 1,2",681,157,517,3,4,,0,0,0,0,0,0,0
,TOWN OF BROTHERTOWN WARD 1-2,658,155,496,3,4,,0,0,0,0,0,0,0
,TOWN OF CHARLESTOWN WARD 1,390,90,297,1,2,,0,0,0,0,0,0,0
,"TOWN OF CHILTON WARDS 1, 2, 3",525,127,393,3,2,,0,0,0,0,0,0,0
,"TOWN OF HARRISON Wards 7-8, 10-12",623,254,364,3,2,,0,0,0,0,0,0,0
,"TOWN OF NEW HOLSTEIN WARD 1, 2, 3",690,177,513,0,0,,0,0,0,0,0,0,0
,TOWN OF RANTOUL WARD 1,361,74,285,0,2,,0,0,0,0,0,0,0
,TOWN OF STOCKBRIDGE WARDS 1-3,765,208,548,5,4,,0,0,0,0,0,0,0
,TOWN OF WOODVILLE WARD 1,424,108,307,4,5,,0,0,0,0,0,0,0
,VILLAGE OF HARRISON Wards 3-9,"2,048",678,"1,350",6,14,,0,0,0,0,0,0,0
,VILLAGE OF HARRISON Wards 10-16,"2,138",659,"1,465",6,8,,0,0,0,0,0,0,0
,VILLAGE OF HILBERT Wards 1 & 2,461,101,353,2,5,,0,0,0,0,0,0,0
,VILLAGE OF POTTER WARD 1,129,21,105,3,0,,0,0,0,0,0,0,0
,VILLAGE OF SHERWOOD Wards 1 - 5,"1,478",474,986,1,17,,0,0,0,0,0,0,0
,VILLAGE OF STOCKBRIDGE WARD 1,342,108,224,4,6,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 12,189,93,95,0,1,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 13,729,331,389,5,4,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 14,615,254,357,1,3,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 26,891,394,484,6,7,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 44,874,386,473,7,8,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 45,"1,115",469,632,4,10,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 46,79,31,48,0,0,,0,0,0,0,0,0,0
,CITY OF APPLETON WARD 47,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF BRILLION WARDS 1 - 4,"1,275",398,860,6,11,,0,0,0,0,0,0,0
,CITY OF CHILTON WARDS 1 - 5,"1,422",500,904,10,8,,0,0,0,0,0,0,0
